Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557893461423, 470679, 345, 340, 437
1557893461443, 470700, 349, 332, 440
1557893461465, 470721, 348, 336, 451
1557893461484, 470742, 347, 344, 459
1557893461509, 470762, 344, 341, 457
1557893461529, 470784, 344, 335, 447
1557893461550, 470804, 344, 333, 442
1557893461570, 470824, 344, 337, 437
1557893461591, 470846, 344, 337, 436
1557893461612, 470866, 343, 341, 432
1557893461632, 470887, 340, 351, 427
1557893461652, 470907, 339, 356, 426
1557893461673, 470929, 337, 359, 420
1557893461694, 470949, 335, 367, 407
1557893461714, 470970, 334, 374, 394
1557893461734, 470991, 334, 374, 382
1557893461758, 471012, 333, 364, 371
1557893461779, 471032, 333, 352, 362
1557893461800, 471054, 333, 352, 358
1557893461819, 471074, 332, 343, 361
1557893461841, 471095, 334, 319, 366
1557893461861, 471116, 336, 289, 358
1557893461881, 471137, 345, 273, 344
1557893461901, 471157, 352, 273, 335
1557893461922, 471179, 358, 266, 343
1557893461942, 471199, 364, 264, 347
1557893461963, 471220, 367, 248, 352
1557893461983, 471240, 371, 240, 354
1557893462004, 471262, 375, 240, 348
1557893462029, 471282, 375, 223, 353
1557893462049, 471303, 375, 208, 353
1557893462070, 471324, 371, 211, 350
1557893462092, 471345, 366, 227, 354
1557893462111, 471365, 363, 238, 365
1557893462130, 471387, 359, 242, 365
1557893462152, 471407, 355, 248, 366
1557893462172, 471428, 352, 258, 357
1557893462194, 471449, 345, 270, 352
1557893462213, 471470, 337, 297, 353
1557893462234, 471490, 335, 334, 362
1557893462254, 471512, 339, 368, 376
1557893462279, 471532, 347, 373, 380
1557893462300, 471553, 351, 366, 366
1557893462320, 471573, 353, 360, 354
1557893462340, 471595, 355, 377, 353
1557893462360, 471615, 358, 402, 359
1557893462381, 471635, 361, 417, 374
1557893462401, 471657, 368, 420, 379
1557893462423, 471677, 370, 420, 374
1557893462443, 471698, 372, 435, 372
1557893462464, 471719, 373, 455, 372
1557893462484, 471740, 372, 470, 375
1557893462504, 471760, 371, 469, 376
1557893462525, 471782, 369, 460, 380
1557893462549, 471802, 367, 453, 377
1557893462569, 471823, 367, 450, 370
1557893462590, 471844, 365, 449, 364
1557893462611, 471865, 361, 446, 359
1557893462630, 471885, 353, 435, 363
1557893462652, 471906, 345, 412, 363
1557893462671, 471927, 340, 397, 360
1557893462693, 471948, 335, 388, 359
1557893462712, 471968, 330, 372, 365
1557893462733, 471990, 325, 355, 368
1557893462754, 472010, 321, 331, 365
1557893462775, 472031, 320, 299, 355
1557893462799, 472052, 326, 272, 344
1557893462819, 472073, 335, 260, 344
1557893462839, 472093, 341, 257, 354
1557893462861, 472115, 347, 248, 358
1557893462881, 472135, 351, 245, 352
1557893462902, 472156, 354, 257, 351
1557893462922, 472177, 357, 241, 358
1557893462943, 472198, 362, 199, 367
1557893462963, 472218, 371, 168, 356
1557893462983, 472239, 375, 190, 347
1557893463004, 472260, 379, 218, 357
1557893463024, 472281, 378, 202, 369
1557893463045, 472301, 376, 186, 362
1557893463070, 472323, 371, 178, 357
1557893463090, 472343, 367, 204, 351
1557893463110, 472364, 362, 220, 353
1557893463130, 472385, 353, 224, 364
1557893463152, 472406, 347, 238, 364
1557893463171, 472426, 341, 256, 367
1557893463192, 472448, 337, 274, 375
1557893463213, 472468, 338, 285, 378
1557893463233, 472488, 337, 288, 376
1557893463254, 472510, 335, 291, 377
1557893463275, 472530, 328, 322, 367
1557893463295, 472551, 329, 369, 357
1557893463320, 472571, 339, 402, 369
1557893463340, 472593, 351, 417, 376
1557893463360, 472613, 358, 413, 369
1557893463380, 472634, 360, 405, 354
1557893463401, 472655, 361, 419, 357
1557893463423, 472676, 364, 449, 366
1557893463443, 472696, 368, 465, 372
1557893463463, 472718, 371, 453, 362
1557893463483, 472738, 372, 443, 347
1557893463504, 472759, 375, 434, 343
1557893463524, 472780, 377, 438, 345
1557893463544, 472801, 377, 432, 344
1557893463569, 472821, 376, 421, 348
1557893463589, 472843, 377, 411, 346
1557893463610, 472863, 376, 408, 341
1557893463630, 472884, 374, 408, 339
1557893463651, 472904, 371, 410, 340
1557893463671, 472926, 369, 402, 340
1557893463691, 472946, 365, 391, 341
1557893463712, 472967, 362, 367, 345
1557893463734, 472988, 362, 345, 356
1557893463753, 473009, 364, 333, 360
1557893463774, 473029, 363, 320, 358
1557893463794, 473051, 367, 281, 361
1557893463815, 473071, 373, 259, 361
1557893463839, 473092, 376, 266, 354
1557893463860, 473113, 376, 286, 356
1557893463880, 473134, 373, 297, 364
1557893463901, 473154, 373, 284, 369
1557893463922, 473176, 374, 265, 362
1557893463942, 473196, 378, 266, 358
1557893463962, 473217, 376, 282, 363
1557893463983, 473237, 373, 292, 368
1557893464003, 473259, 373, 290, 376
1557893464024, 473279, 373, 289, 378
1557893464045, 473299, 372, 293, 376
1557893464065, 473321, 368, 301, 379
1557893464089, 473341, 367, 310, 379
1557893464109, 473362, 367, 316, 381
1557893464131, 473383, 361, 318, 382
1557893464151, 473404, 359, 314, 384
1557893464172, 473424, 360, 317, 384
1557893464192, 473446, 356, 322, 383
1557893464212, 473466, 350, 333, 387
1557893464232, 473487, 349, 332, 401
1557893464253, 473508, 354, 341, 402
1557893464273, 473529, 351, 349, 399
1557893464294, 473549, 348, 348, 405
1557893464315, 473570, 345, 341, 405
1557893464335, 473591, 341, 346, 420
1557893464359, 473612, 339, 352, 442
1557893464380, 473632, 344, 354, 442
1557893464400, 473654, 342, 357, 421
1557893464421, 473674, 340, 358, 425
1557893464441, 473695, 340, 360, 446
1557893464461, 473716, 340, 365, 449
1557893464483, 473737, 344, 361, 432
1557893464503, 473757, 346, 352, 420
1557893464523, 473779, 346, 338, 416
1557893464544, 473799, 346, 333, 423
1557893464564, 473820, 345, 338, 428
1557893464586, 473841, 343, 345, 429
