Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557893065860, 75285, 339, 343, 408
1557893065881, 75304, 339, 335, 408
1557893065900, 75324, 337, 329, 406
1557893065921, 75344, 337, 331, 403
1557893065942, 75364, 336, 329, 398
1557893065958, 75383, 336, 321, 406
1557893065978, 75403, 335, 308, 414
1557893065999, 75423, 335, 306, 413
1557893066020, 75443, 335, 306, 414
1557893066041, 75462, 335, 303, 415
1557893066063, 75483, 335, 296, 418
1557893066077, 75502, 334, 295, 417
1557893066097, 75522, 332, 302, 413
1557893066117, 75541, 330, 307, 413
1557893066138, 75561, 331, 308, 413
1557893066158, 75581, 329, 311, 414
1557893066175, 75600, 329, 313, 415
1557893066195, 75621, 329, 314, 416
1557893066216, 75640, 328, 311, 415
1557893066236, 75660, 329, 307, 415
1557893066257, 75680, 329, 303, 415
1557893066278, 75700, 329, 303, 412
1557893066293, 75719, 328, 303, 410
1557893066314, 75739, 326, 305, 410
1557893066334, 75759, 325, 308, 411
1557893066356, 75779, 323, 311, 414
1557893066376, 75798, 320, 317, 415
1557893066396, 75819, 318, 320, 410
1557893066412, 75838, 318, 323, 405
1557893066433, 75857, 316, 323, 398
1557893066454, 75878, 314, 330, 401
1557893066474, 75897, 311, 338, 410
1557893066494, 75917, 311, 346, 408
1557893066512, 75936, 313, 349, 401
1557893066531, 75957, 314, 343, 396
1557893066552, 75976, 317, 337, 400
1557893066572, 75996, 315, 349, 397
1557893066593, 76016, 314, 369, 399
1557893066613, 76036, 317, 375, 398
1557893066629, 76055, 321, 357, 395
1557893066650, 76075, 319, 353, 389
1557893066670, 76095, 318, 368, 385
1557893066691, 76114, 319, 384, 384
1557893066711, 76134, 319, 387, 386
1557893066731, 76154, 320, 387, 385
1557893066748, 76174, 320, 387, 379
1557893066770, 76193, 317, 399, 379
1557893066789, 76214, 311, 418, 385
1557893066809, 76233, 309, 429, 392
1557893066830, 76253, 302, 437, 389
1557893066850, 76272, 297, 441, 386
1557893066868, 76293, 291, 444, 389
1557893066888, 76312, 288, 446, 399
1557893066908, 76332, 281, 438, 405
1557893066929, 76352, 269, 421, 408
1557893066949, 76371, 254, 404, 409
1557893066966, 76391, 244, 397, 400
1557893066985, 76411, 241, 406, 397
1557893067007, 76431, 234, 422, 401
1557893067026, 76450, 222, 429, 413
1557893067047, 76470, 201, 424, 432
1557893067068, 76490, 178, 392, 447
1557893067084, 76510, 160, 360, 436
1557893067105, 76529, 147, 335, 420
1557893067125, 76550, 154, 298, 402
1557893067146, 76569, 164, 260, 396
1557893067167, 76589, 185, 195, 412
1557893067186, 76609, 226, 197, 436
1557893067203, 76628, 245, 250, 446
1557893067224, 76648, 265, 254, 444
1557893067244, 76667, 286, 243, 421
1557893067265, 76688, 307, 226, 418
1557893067286, 76707, 328, 231, 415
1557893067306, 76727, 336, 254, 406
1557893067322, 76747, 338, 268, 404
1557893067343, 76767, 343, 275, 406
1557893067363, 76786, 348, 284, 385
1557893067384, 76806, 346, 293, 399
1557893067403, 76826, 343, 305, 401
1557893067419, 76846, 346, 310, 399
1557893067441, 76865, 345, 327, 401
1557893067460, 76886, 350, 326, 400
1557893067481, 76905, 349, 318, 401
1557893067502, 76924, 348, 311, 399
1557893067523, 76945, 346, 319, 400
1557893067539, 76964, 346, 328, 398
1557893067560, 76984, 346, 329, 403
1557893067581, 77003, 346, 322, 416
1557893067600, 77024, 346, 311, 420
1557893067621, 77043, 344, 317, 416
1557893067640, 77063, 344, 326, 407
1557893067658, 77083, 345, 326, 403
1557893067678, 77103, 344, 317, 409
1557893067698, 77122, 344, 316, 412
1557893067719, 77143, 339, 326, 411
1557893067739, 77162, 338, 332, 406
1557893067760, 77181, 338, 333, 403
1557893067776, 77201, 338, 321, 404
1557893067797, 77221, 336, 318, 406
1557893067817, 77241, 333, 329, 408
1557893067838, 77260, 331, 340, 409
1557893067859, 77281, 332, 336, 408
1557893067878, 77300, 336, 325, 403
1557893067894, 77320, 334, 333, 400
1557893067915, 77339, 333, 337, 400
1557893067937, 77360, 334, 344, 404
1557893067957, 77379, 335, 346, 407
1557893067977, 77399, 335, 341, 406
1557893067994, 77419, 336, 334, 407
1557893068013, 77438, 334, 342, 404
1557893068035, 77458, 335, 350, 405
1557893068056, 77478, 337, 350, 409
1557893068075, 77498, 339, 342, 416
1557893068096, 77517, 339, 338, 411
1557893068112, 77537, 339, 343, 406
1557893068133, 77557, 341, 348, 406
1557893068153, 77577, 339, 353, 410
1557893068173, 77596, 338, 352, 414
1557893068193, 77617, 339, 342, 415
1557893068214, 77636, 339, 338, 417
1557893068231, 77656, 339, 344, 410
1557893068251, 77676, 339, 349, 408
1557893068272, 77696, 338, 353, 409
1557893068293, 77715, 340, 347, 416
1557893068313, 77734, 339, 344, 419
1557893068334, 77755, 339, 346, 417
1557893068349, 77774, 340, 355, 410
1557893068369, 77794, 341, 355, 405
1557893068391, 77814, 342, 359, 406
1557893068410, 77834, 342, 358, 414
1557893068432, 77853, 343, 352, 418
1557893068447, 77874, 343, 350, 418
1557893068469, 77893, 345, 349, 409
1557893068488, 77913, 346, 346, 404
1557893068509, 77932, 346, 344, 402
1557893068529, 77953, 345, 341, 410
1557893068551, 77972, 346, 335, 413
1557893068567, 77991, 345, 334, 414
1557893068588, 78012, 345, 336, 408
