Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557893116440, 125841, 360, 332, 396
1557893116460, 125861, 362, 329, 384
1557893116481, 125883, 363, 327, 376
1557893116501, 125903, 361, 325, 365
1557893116523, 125924, 359, 322, 355
1557893116543, 125945, 352, 323, 356
1557893116562, 125966, 341, 329, 357
1557893116583, 125986, 336, 327, 360
1557893116604, 126008, 325, 326, 358
1557893116629, 126028, 317, 325, 349
1557893116649, 126049, 309, 322, 343
1557893116669, 126070, 296, 324, 341
1557893116690, 126091, 281, 321, 348
1557893116711, 126111, 272, 318, 361
1557893116731, 126133, 263, 316, 363
1557893116751, 126153, 249, 326, 373
1557893116772, 126174, 243, 333, 385
1557893116792, 126195, 240, 332, 385
1557893116813, 126216, 237, 330, 384
1557893116834, 126236, 237, 327, 384
1557893116855, 126257, 235, 329, 383
1557893116878, 126278, 232, 324, 384
1557893116899, 126299, 228, 321, 379
1557893116919, 126319, 226, 319, 383
1557893116939, 126341, 224, 326, 393
1557893116961, 126361, 222, 331, 394
1557893116981, 126382, 222, 329, 393
1557893117000, 126403, 224, 321, 379
1557893117022, 126424, 224, 323, 373
1557893117041, 126444, 224, 329, 374
1557893117063, 126466, 223, 335, 391
1557893117082, 126486, 226, 346, 403
1557893117104, 126507, 237, 338, 390
1557893117127, 126528, 238, 335, 371
1557893117148, 126548, 242, 332, 357
1557893117169, 126569, 243, 338, 366
1557893117189, 126589, 248, 346, 395
1557893117209, 126611, 257, 341, 404
1557893117230, 126631, 263, 336, 391
1557893117251, 126652, 268, 340, 370
1557893117271, 126673, 270, 343, 362
1557893117292, 126694, 274, 349, 371
1557893117313, 126714, 281, 335, 392
1557893117333, 126736, 282, 323, 392
1557893117354, 126756, 278, 327, 380
1557893117374, 126777, 276, 341, 376
1557893117398, 126798, 271, 350, 388
1557893117419, 126819, 268, 343, 396
1557893117439, 126839, 265, 340, 407
1557893117459, 126860, 255, 338, 416
1557893117480, 126881, 245, 334, 412
1557893117500, 126902, 234, 337, 418
1557893117521, 126922, 220, 340, 428
1557893117541, 126944, 203, 335, 437
1557893117562, 126964, 173, 338, 451
1557893117583, 126985, 147, 334, 445
1557893117603, 127006, 124, 325, 426
1557893117623, 127027, 105, 324, 415
1557893117644, 127047, 81, 318, 421
1557893117665, 127068, 75, 301, 406
1557893117685, 127087, 75, 280, 414
1557893117706, 127107, 72, 286, 435
1557893117725, 127126, 81, 306, 391
1557893117747, 127147, 116, 318, 348
1557893117766, 127167, 162, 317, 335
1557893117787, 127187, 184, 312, 343
1557893117808, 127209, 213, 309, 340
1557893117828, 127229, 234, 317, 326
1557893117849, 127250, 257, 318, 317
1557893117870, 127271, 278, 317, 312
1557893117890, 127292, 293, 317, 307
1557893117910, 127312, 302, 329, 307
1557893117931, 127334, 309, 344, 321
1557893117951, 127354, 315, 340, 341
1557893117976, 127375, 322, 330, 369
1557893117997, 127396, 335, 320, 390
1557893118017, 127417, 342, 339, 371
1557893118037, 127437, 345, 341, 355
1557893118057, 127458, 351, 321, 366
1557893118079, 127479, 357, 303, 398
1557893118100, 127500, 360, 319, 415
1557893118119, 127520, 359, 328, 405
1557893118140, 127542, 360, 329, 389
1557893118161, 127562, 364, 329, 382
1557893118181, 127583, 368, 321, 388
1557893118201, 127604, 366, 317, 400
1557893118222, 127625, 362, 322, 412
1557893118246, 127645, 360, 330, 407
1557893118267, 127667, 364, 332, 391
1557893118287, 127687, 364, 322, 392
1557893118307, 127708, 361, 317, 400
1557893118328, 127729, 357, 320, 407
1557893118349, 127750, 357, 326, 408
1557893118368, 127770, 354, 326, 405
1557893118389, 127791, 357, 322, 404
1557893118410, 127812, 356, 322, 402
1557893118431, 127833, 358, 327, 402
1557893118451, 127853, 356, 325, 406
1557893118472, 127875, 354, 323, 408
1557893118495, 127895, 358, 324, 402
1557893118516, 127916, 358, 328, 398
1557893118538, 127937, 358, 330, 402
1557893118557, 127958, 357, 330, 402
1557893118578, 127978, 357, 329, 399
1557893118599, 128000, 357, 330, 397
1557893118619, 128020, 356, 330, 393
1557893118640, 128040, 357, 323, 399
