Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557856896952, 888954, 334, 349, 410
1557856896966, 888968, 334, 350, 411
1557856896979, 888980, 334, 349, 410
1557856896992, 888993, 334, 349, 410
1557856897005, 889007, 334, 349, 411
1557856897018, 889020, 334, 349, 411
1557856897031, 889032, 333, 349, 411
1557856897044, 889046, 334, 348, 410
1557856897057, 889059, 334, 348, 410
1557856897070, 889072, 334, 348, 410
1557856897083, 889084, 334, 348, 410
1557856897096, 889098, 334, 348, 410
1557856897109, 889111, 334, 349, 411
1557856897122, 889124, 334, 350, 411
1557856897135, 889137, 334, 349, 410
1557856897148, 889150, 334, 349, 410
1557856897162, 889163, 334, 349, 410
1557856897175, 889177, 334, 349, 410
1557856897188, 889189, 334, 348, 409
1557856897201, 889202, 334, 348, 409
1557856897214, 889216, 334, 348, 410
1557856897227, 889229, 334, 350, 411
1557856897240, 889242, 334, 350, 411
1557856897253, 889254, 334, 349, 410
1557856897266, 889268, 334, 348, 410
1557856897279, 889281, 334, 348, 410
1557856897292, 889294, 335, 348, 410
1557856897305, 889307, 335, 348, 410
1557856897318, 889320, 335, 348, 409
1557856897331, 889333, 335, 348, 409
1557856897344, 889347, 335, 349, 411
1557856897358, 889359, 335, 350, 411
1557856897371, 889372, 334, 349, 411
1557856897384, 889385, 335, 348, 409
1557856897397, 889399, 335, 348, 409
1557856897410, 889411, 335, 349, 409
1557856897423, 889424, 336, 349, 410
1557856897436, 889438, 335, 350, 410
1557856897449, 889451, 336, 350, 410
1557856897462, 889463, 336, 350, 411
1557856897475, 889477, 336, 351, 411
1557856897488, 889490, 336, 350, 412
1557856897501, 889503, 336, 350, 412
1557856897514, 889516, 337, 350, 413
1557856897527, 889529, 337, 349, 413
1557856897540, 889542, 338, 350, 413
1557856897554, 889555, 338, 350, 413
1557856897567, 889569, 338, 351, 414
1557856897580, 889581, 337, 350, 414
1557856897593, 889594, 337, 349, 414
1557856897606, 889608, 336, 347, 414
1557856897619, 889621, 336, 345, 413
1557856897632, 889633, 336, 344, 411
1557856897645, 889647, 337, 342, 411
1557856897658, 889660, 337, 343, 410
1557856897671, 889673, 336, 342, 410
1557856897684, 889686, 336, 344, 409
1557856897697, 889699, 336, 344, 409
1557856897710, 889712, 337, 345, 409
1557856897723, 889725, 336, 346, 409
1557856897736, 889738, 336, 345, 407
1557856897749, 889751, 336, 344, 405
1557856897763, 889764, 336, 344, 405
1557856897776, 889778, 337, 344, 406
1557856897789, 889790, 337, 344, 406
1557856897802, 889803, 338, 345, 406
1557856897815, 889817, 339, 346, 409
1557856897828, 889830, 338, 350, 412
1557856897841, 889842, 339, 354, 413
1557856897854, 889856, 339, 352, 412
1557856897867, 889869, 339, 352, 410
1557856897880, 889882, 339, 352, 409
1557856897893, 889894, 340, 351, 408
1557856897906, 889908, 340, 350, 409
1557856897919, 889921, 340, 349, 409
1557856897932, 889934, 340, 346, 409
1557856897945, 889948, 340, 342, 409
1557856897959, 889960, 340, 340, 411
1557856897972, 889973, 340, 339, 412
1557856897985, 889987, 339, 338, 411
1557856897998, 890000, 339, 339, 412
1557856898011, 890012, 339, 343, 413
1557856898024, 890025, 339, 346, 412
1557856898037, 890039, 339, 346, 410
1557856898050, 890052, 339, 348, 409
1557856898063, 890064, 338, 349, 410
1557856898076, 890078, 338, 351, 409
1557856898089, 890091, 337, 352, 408
1557856898102, 890104, 337, 352, 408
1557856898115, 890117, 337, 353, 408
1557856898128, 890130, 337, 353, 409
1557856898141, 890143, 337, 352, 410
1557856898155, 890157, 337, 351, 410
1557856898168, 890169, 337, 351, 411
1557856898181, 890182, 338, 350, 411
1557856898194, 890195, 338, 349, 411
1557856898207, 890209, 338, 349, 411
1557856898220, 890221, 338, 349, 412
1557856898233, 890234, 337, 352, 413
