Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557856810666, 802670, 347, 327, 405
1557856810679, 802682, 346, 327, 407
1557856810693, 802696, 347, 326, 410
1557856810706, 802709, 347, 326, 414
1557856810719, 802722, 347, 325, 417
1557856810732, 802735, 347, 324, 418
1557856810745, 802748, 349, 315, 414
1557856810758, 802761, 352, 290, 410
1557856810771, 802775, 349, 277, 409
1557856810784, 802787, 345, 285, 417
1557856810797, 802800, 343, 308, 435
1557856810810, 802813, 342, 331, 452
1557856810823, 802827, 340, 345, 452
1557856810836, 802840, 343, 345, 444
1557856810849, 802852, 345, 340, 436
1557856810862, 802866, 346, 338, 434
1557856810875, 802879, 348, 339, 442
1557856810889, 802892, 344, 346, 448
1557856810902, 802905, 342, 350, 448
1557856810915, 802918, 342, 357, 450
1557856810928, 802931, 341, 368, 456
1557856810941, 802945, 340, 380, 464
1557856810954, 802957, 341, 383, 469
1557856810967, 802970, 341, 378, 468
1557856810980, 802983, 339, 373, 464
1557856810993, 802997, 336, 366, 458
1557856811006, 803009, 333, 360, 454
1557856811019, 803022, 330, 358, 452
1557856811032, 803036, 327, 360, 453
1557856811045, 803049, 326, 353, 445
1557856811058, 803061, 321, 346, 436
1557856811071, 803075, 317, 342, 431
1557856811085, 803088, 316, 344, 429
1557856811098, 803101, 316, 336, 428
1557856811111, 803113, 319, 320, 426
1557856811124, 803127, 320, 299, 418
1557856811137, 803140, 317, 287, 400
1557856811150, 803153, 317, 278, 376
1557856811163, 803167, 315, 282, 363
1557856811176, 803179, 315, 288, 351
1557856811189, 803192, 319, 292, 347
1557856811202, 803206, 323, 298, 348
1557856811216, 803219, 327, 303, 351
1557856811228, 803231, 330, 303, 349
1557856811241, 803245, 336, 295, 339
1557856811254, 803258, 339, 289, 334
1557856811268, 803271, 341, 285, 317
1557856811281, 803283, 343, 280, 304
1557856811294, 803297, 346, 280, 294
1557856811307, 803310, 349, 277, 284
1557856811320, 803323, 353, 274, 271
1557856811333, 803336, 355, 269, 264
1557856811346, 803349, 355, 265, 258
1557856811359, 803362, 353, 265, 257
1557856811372, 803376, 351, 268, 257
1557856811386, 803388, 349, 274, 258
1557856811398, 803401, 346, 285, 264
1557856811411, 803415, 341, 297, 269
1557856811424, 803428, 337, 309, 275
1557856811437, 803441, 333, 317, 276
1557856811450, 803453, 331, 320, 274
1557856811463, 803467, 329, 318, 268
1557856811477, 803480, 329, 317, 268
1557856811490, 803493, 329, 317, 269
1557856811503, 803506, 330, 316, 271
1557856811516, 803519, 333, 315, 272
1557856811529, 803532, 337, 313, 272
1557856811542, 803546, 340, 310, 271
1557856811555, 803558, 343, 305, 266
1557856811568, 803571, 349, 300, 262
1557856811581, 803585, 353, 294, 254
1557856811594, 803598, 357, 288, 245
1557856811607, 803610, 361, 287, 249
1557856811621, 803623, 367, 281, 249
1557856811633, 803637, 371, 276, 248
1557856811646, 803650, 376, 271, 245
1557856811660, 803662, 381, 268, 239
1557856811673, 803676, 382, 266, 235
1557856811686, 803689, 384, 264, 236
1557856811699, 803702, 383, 263, 238
1557856811712, 803715, 386, 261, 245
1557856811725, 803728, 391, 258, 259
1557856811738, 803741, 395, 255, 271
1557856811751, 803755, 402, 255, 285
1557856811764, 803768, 406, 255, 300
1557856811777, 803780, 414, 249, 315
1557856811790, 803793, 422, 232, 338
1557856811803, 803807, 430, 202, 361
1557856811816, 803820, 432, 186, 388
1557856811829, 803832, 420, 200, 411
1557856811842, 803846, 412, 242, 431
1557856811856, 803859, 401, 298, 436
1557856811869, 803872, 401, 296, 432
1557856811882, 803885, 400, 265, 439
1557856811895, 803898, 394, 249, 449
1557856811908, 803911, 381, 244, 441
1557856811921, 803924, 382, 247, 430
1557856811934, 803937, 385, 280, 448
1557856811947, 803950, 384, 324, 471
1557856811960, 803963, 383, 352, 482
1557856811973, 803977, 383, 352, 482
1557856811986, 803989, 381, 328, 479
1557856811999, 804002, 376, 300, 473
1557856812012, 804016, 365, 283, 463
1557856812025, 804029, 359, 279, 450
1557856812038, 804041, 357, 282, 438
1557856812052, 804055, 362, 288, 434
1557856812065, 804068, 368, 298, 438
1557856812078, 804081, 375, 311, 449
1557856812091, 804094, 372, 315, 453
1557856812104, 804107, 373, 303, 448
1557856812117, 804120, 370, 293, 445
1557856812130, 804133, 365, 289, 443
1557856812143, 804147, 364, 291, 444
1557856812156, 804159, 365, 295, 443
1557856812169, 804172, 368, 298, 435
1557856812182, 804186, 367, 309, 433
1557856812195, 804199, 368, 315, 433
1557856812208, 804211, 366, 314, 428
1557856812221, 804225, 368, 306, 423
1557856812234, 804238, 367, 300, 418
1557856812247, 804251, 367, 298, 420
1557856812261, 804263, 367, 301, 423
1557856812274, 804277, 368, 302, 424
1557856812287, 804290, 368, 306, 422
1557856812300, 804303, 368, 310, 421
1557856812313, 804316, 369, 312, 420
1557856812326, 804329, 369, 312, 419
1557856812339, 804342, 369, 308, 416
1557856812352, 804356, 368, 304, 411
1557856812365, 804368, 368, 302, 407
1557856812378, 804381, 370, 301, 404
1557856812391, 804395, 369, 303, 406
1557856812404, 804408, 369, 306, 408
1557856812417, 804420, 368, 308, 409
1557856812430, 804433, 369, 309, 408
1557856812443, 804447, 371, 305, 407
1557856812457, 804460, 371, 301, 404
1557856812470, 804473, 371, 299, 401
1557856812483, 804486, 372, 298, 399
1557856812496, 804499, 372, 298, 399
1557856812509, 804512, 371, 299, 398
1557856812522, 804526, 371, 299, 396
1557856812535, 804538, 371, 301, 396
1557856812548, 804551, 371, 303, 395
1557856812561, 804564, 371, 305, 394
1557856812574, 804578, 372, 304, 395
1557856812587, 804590, 370, 305, 397
1557856812600, 804603, 369, 307, 398
1557856812613, 804617, 370, 307, 397
1557856812626, 804630, 370, 306, 395
1557856812639, 804642, 369, 306, 393
1557856812653, 804656, 370, 306, 394
1557856812666, 804669, 370, 308, 394
1557856812679, 804682, 371, 308, 395
1557856812692, 804695, 370, 308, 395
1557856812705, 804708, 369, 308, 395
1557856812718, 804721, 369, 308, 394
1557856812731, 804734, 369, 309, 395
1557856812744, 804748, 370, 310, 395
1557856812757, 804760, 370, 311, 397
1557856812770, 804773, 370, 314, 399
1557856812783, 804787, 370, 314, 400
1557856812796, 804800, 372, 315, 402
1557856812809, 804812, 372, 315, 405
1557856812822, 804826, 372, 314, 405
1557856812835, 804839, 373, 313, 405
1557856812849, 804852, 374, 312, 405
1557856812862, 804865, 374, 313, 406
1557856812875, 804878, 374, 313, 404
