Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557856731388, 723392, 318, 344, 410
1557856731401, 723405, 318, 344, 409
1557856731414, 723419, 319, 345, 409
1557856731427, 723432, 319, 346, 410
1557856731440, 723444, 319, 346, 411
1557856731453, 723458, 320, 347, 410
1557856731467, 723471, 320, 347, 410
1557856731480, 723484, 320, 347, 410
1557856731493, 723496, 320, 347, 410
1557856731505, 723510, 320, 346, 410
1557856731518, 723523, 320, 347, 410
1557856731531, 723536, 321, 348, 410
1557856731545, 723549, 322, 349, 409
1557856731557, 723562, 321, 349, 408
1557856731571, 723575, 321, 348, 407
1557856731584, 723589, 321, 348, 408
1557856731597, 723602, 321, 348, 409
1557856731610, 723614, 321, 348, 410
1557856731623, 723628, 321, 349, 411
1557856731636, 723641, 321, 349, 411
1557856731649, 723654, 321, 350, 411
1557856731662, 723666, 321, 351, 411
1557856731676, 723680, 320, 351, 411
1557856731688, 723693, 320, 351, 411
1557856731701, 723706, 321, 354, 413
1557856731714, 723719, 322, 358, 416
1557856731727, 723732, 323, 363, 420
1557856731740, 723745, 324, 366, 422
1557856731753, 723759, 325, 371, 422
1557856731767, 723771, 326, 377, 419
1557856731780, 723784, 327, 380, 419
1557856731793, 723798, 328, 386, 419
1557856731806, 723811, 329, 389, 420
1557856731819, 723823, 331, 393, 420
1557856731832, 723836, 333, 395, 414
1557856731845, 723850, 335, 395, 408
1557856731858, 723863, 336, 395, 404
1557856731871, 723875, 338, 395, 406
1557856731884, 723889, 339, 396, 407
1557856731897, 723902, 341, 392, 404
1557856731911, 723915, 339, 390, 400
1557856731923, 723929, 341, 390, 401
1557856731936, 723941, 343, 390, 403
1557856731950, 723954, 344, 386, 402
1557856731963, 723968, 344, 381, 400
1557856731976, 723981, 344, 375, 399
1557856731989, 723993, 343, 371, 402
1557856732002, 724006, 342, 371, 408
1557856732015, 724020, 341, 368, 411
1557856732028, 724033, 342, 367, 410
1557856732041, 724045, 342, 364, 408
1557856732054, 724059, 343, 363, 411
1557856732067, 724072, 344, 357, 410
1557856732080, 724085, 343, 351, 407
1557856732093, 724098, 341, 345, 403
1557856732106, 724111, 339, 341, 402
