Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557856907719, 899721, 323, 352, 412
1557856907732, 899734, 323, 356, 413
1557856907745, 899747, 323, 358, 413
1557856907758, 899760, 322, 359, 414
1557856907771, 899773, 320, 358, 414
1557856907785, 899786, 319, 356, 413
1557856907798, 899800, 318, 356, 412
1557856907811, 899812, 317, 354, 413
1557856907824, 899825, 316, 354, 416
1557856907837, 899838, 315, 352, 416
1557856907850, 899852, 312, 348, 413
1557856907863, 899864, 311, 345, 413
1557856907876, 899877, 310, 340, 413
1557856907889, 899891, 308, 336, 413
1557856907902, 899904, 307, 332, 410
1557856907915, 899916, 306, 330, 405
1557856907928, 899930, 305, 330, 406
1557856907941, 899943, 306, 328, 409
1557856907954, 899956, 306, 325, 409
1557856907967, 899969, 307, 321, 407
1557856907981, 899982, 307, 316, 403
1557856907994, 899995, 307, 313, 394
1557856908007, 900008, 308, 310, 386
1557856908020, 900021, 309, 312, 382
1557856908033, 900034, 314, 317, 384
1557856908046, 900047, 319, 321, 389
1557856908059, 900061, 324, 328, 395
1557856908072, 900074, 325, 332, 389
1557856908085, 900086, 327, 335, 378
1557856908098, 900100, 328, 338, 370
1557856908111, 900113, 333, 340, 367
1557856908124, 900126, 337, 343, 373
1557856908137, 900139, 341, 349, 387
1557856908150, 900152, 345, 356, 400
1557856908163, 900165, 347, 361, 406
1557856908177, 900178, 348, 361, 401
1557856908190, 900191, 348, 356, 391
1557856908204, 900204, 349, 351, 385
1557856908216, 900217, 350, 350, 387
1557856908229, 900231, 352, 349, 394
1557856908242, 900243, 353, 350, 402
1557856908255, 900256, 353, 352, 409
1557856908268, 900270, 354, 355, 412
1557856908281, 900283, 354, 354, 413
1557856908294, 900295, 355, 353, 411
1557856908307, 900308, 356, 348, 409
1557856908320, 900322, 356, 340, 409
1557856908333, 900335, 357, 335, 410
1557856908346, 900347, 360, 330, 412
1557856908359, 900361, 363, 332, 416
1557856908373, 900374, 366, 337, 423
1557856908386, 900387, 368, 344, 429
1557856908399, 900401, 368, 348, 430
1557856908412, 900413, 369, 347, 425
1557856908425, 900426, 367, 348, 423
1557856908438, 900440, 368, 348, 426
1557856908451, 900453, 368, 350, 430
1557856908464, 900465, 367, 351, 429
1557856908477, 900478, 367, 349, 426
1557856908490, 900492, 366, 345, 422
1557856908503, 900505, 364, 341, 419
1557856908516, 900517, 360, 339, 419
1557856908529, 900531, 360, 336, 424
1557856908542, 900544, 359, 335, 427
1557856908556, 900557, 361, 335, 433
1557856908569, 900570, 364, 341, 442
1557856908582, 900583, 364, 349, 447
1557856908595, 900596, 364, 353, 445
1557856908608, 900610, 363, 347, 437
1557856908621, 900622, 360, 336, 432
1557856908634, 900635, 356, 326, 432
1557856908647, 900648, 356, 319, 437
1557856908660, 900662, 355, 322, 448
1557856908673, 900675, 356, 330, 456
1557856908686, 900687, 357, 339, 458
1557856908699, 900701, 355, 338, 450
1557856908712, 900714, 352, 330, 439
1557856908725, 900727, 349, 326, 439
1557856908738, 900740, 347, 324, 443
1557856908752, 900753, 346, 325, 445
1557856908765, 900766, 346, 327, 447
1557856908778, 900780, 346, 328, 445
1557856908791, 900792, 346, 328, 439
1557856908804, 900805, 343, 325, 436
1557856908817, 900818, 342, 320, 437
1557856908830, 900832, 341, 318, 441
1557856908843, 900844, 339, 316, 443
1557856908856, 900857, 338, 316, 441
1557856908869, 900871, 336, 316, 437
1557856908882, 900884, 335, 318, 428
1557856908895, 900896, 337, 327, 427
1557856908908, 900910, 337, 334, 431
1557856908921, 900923, 338, 334, 437
1557856908934, 900936, 338, 334, 439
1557856908948, 900948, 336, 330, 435
1557856908961, 900962, 334, 325, 424
1557856908974, 900975, 333, 321, 416
1557856908987, 900988, 335, 327, 416
1557856909000, 901002, 336, 342, 423
1557856909013, 901014, 337, 346, 423
1557856909026, 901027, 335, 342, 417
1557856909039, 901041, 335, 330, 412
1557856909052, 901054, 329, 323, 408
1557856909065, 901066, 331, 320, 406
1557856909078, 901080, 331, 327, 405
1557856909091, 901093, 334, 338, 412
1557856909104, 901106, 333, 344, 413
1557856909117, 901118, 331, 342, 400
1557856909130, 901132, 327, 335, 389
1557856909144, 901145, 325, 330, 385
1557856909157, 901158, 323, 325, 384
1557856909170, 901171, 323, 327, 384
1557856909183, 901184, 322, 328, 385
1557856909196, 901197, 322, 329, 384
1557856909209, 901211, 321, 330, 384
1557856909222, 901223, 320, 332, 384
1557856909235, 901236, 321, 333, 382
1557856909248, 901250, 321, 336, 379
1557856909261, 901263, 323, 339, 380
1557856909274, 901276, 323, 345, 385
1557856909287, 901288, 326, 351, 387
1557856909300, 901302, 326, 356, 385
1557856909313, 901315, 326, 361, 384
1557856909326, 901328, 326, 364, 386
1557856909340, 901341, 327, 364, 389
1557856909353, 901354, 325, 366, 392
1557856909366, 901367, 326, 369, 392
1557856909379, 901381, 325, 373, 393
1557856909392, 901393, 324, 377, 394
1557856909405, 901406, 323, 378, 391
1557856909418, 901420, 322, 379, 389
1557856909431, 901433, 322, 379, 388
1557856909444, 901445, 323, 382, 394
1557856909457, 901458, 322, 381, 397
1557856909470, 901472, 323, 381, 401
1557856909483, 901485, 323, 379, 401
1557856909496, 901497, 322, 376, 397
1557856909509, 901511, 320, 372, 394
1557856909522, 901524, 319, 370, 391
1557856909535, 901537, 319, 367, 389
1557856909549, 901550, 319, 368, 394
1557856909562, 901563, 321, 369, 398
1557856909575, 901576, 322, 370, 401
1557856909588, 901590, 321, 364, 402
1557856909601, 901602, 319, 362, 403
1557856909614, 901615, 318, 359, 401
1557856909627, 901628, 318, 358, 400
1557856909640, 901642, 317, 359, 402
1557856909653, 901655, 317, 360, 401
1557856909666, 901667, 318, 361, 405
1557856909679, 901681, 318, 361, 408
1557856909692, 901694, 318, 359, 405
1557856909705, 901707, 317, 356, 404
1557856909718, 901720, 317, 355, 405
1557856909731, 901733, 316, 355, 404
1557856909745, 901746, 315, 356, 404
1557856909758, 901760, 316, 360, 406
1557856909771, 901772, 317, 361, 409
1557856909784, 901785, 318, 362, 414
1557856909797, 901798, 318, 360, 416
1557856909810, 901812, 317, 357, 415
1557856909823, 901824, 315, 353, 411
1557856909836, 901837, 314, 352, 407
1557856909849, 901851, 314, 351, 405
1557856909862, 901864, 314, 352, 408
1557856909875, 901876, 314, 354, 409
1557856909888, 901890, 314, 355, 410
1557856909901, 901903, 313, 353, 408
1557856909914, 901916, 314, 351, 407
