Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557857023906, 1015905, 320, 351, 409
1557857023919, 1015918, 319, 351, 406
1557857023932, 1015931, 319, 351, 406
1557857023945, 1015944, 320, 354, 408
1557857023958, 1015957, 320, 354, 409
1557857023971, 1015970, 319, 353, 407
1557857023984, 1015984, 319, 351, 406
1557857023997, 1015997, 318, 348, 406
1557857024010, 1016010, 319, 346, 407
1557857024024, 1016023, 319, 344, 407
1557857024037, 1016036, 319, 344, 405
1557857024050, 1016049, 320, 346, 407
1557857024063, 1016062, 321, 350, 411
1557857024076, 1016076, 322, 352, 411
1557857024089, 1016088, 321, 350, 409
1557857024102, 1016101, 321, 348, 406
1557857024115, 1016115, 321, 347, 407
1557857024128, 1016128, 321, 348, 408
1557857024142, 1016141, 321, 350, 409
1557857024155, 1016154, 319, 351, 408
1557857024168, 1016167, 319, 352, 409
1557857024181, 1016180, 320, 353, 412
1557857024194, 1016194, 318, 355, 414
1557857024207, 1016207, 316, 353, 414
1557857024220, 1016219, 315, 351, 415
1557857024233, 1016232, 314, 350, 417
1557857024246, 1016246, 314, 350, 417
1557857024259, 1016259, 313, 350, 417
1557857024273, 1016272, 310, 349, 419
1557857024286, 1016285, 307, 349, 421
1557857024299, 1016298, 306, 347, 424
1557857024312, 1016311, 306, 344, 426
1557857024325, 1016325, 305, 339, 426
1557857024338, 1016338, 304, 335, 426
1557857024351, 1016350, 301, 331, 423
1557857024364, 1016364, 299, 326, 421
1557857024377, 1016377, 298, 321, 422
1557857024391, 1016390, 297, 317, 421
1557857024404, 1016403, 299, 314, 417
1557857024417, 1016416, 299, 312, 411
1557857024430, 1016429, 300, 312, 406
1557857024443, 1016442, 301, 313, 403
1557857024456, 1016456, 302, 316, 401
1557857024469, 1016469, 304, 318, 396
1557857024482, 1016481, 306, 319, 390
1557857024495, 1016495, 309, 320, 385
1557857024509, 1016508, 311, 323, 383
1557857024522, 1016521, 314, 326, 384
1557857024535, 1016535, 318, 331, 387
1557857024548, 1016547, 322, 337, 390
1557857024561, 1016560, 326, 344, 394
1557857024574, 1016573, 329, 349, 395
1557857024587, 1016587, 331, 351, 391
1557857024600, 1016599, 333, 352, 388
1557857024613, 1016612, 334, 352, 386
1557857024626, 1016626, 337, 349, 383
1557857024640, 1016639, 338, 349, 383
1557857024653, 1016652, 340, 353, 387
1557857024666, 1016665, 343, 356, 390
1557857024679, 1016678, 346, 359, 394
1557857024692, 1016691, 349, 364, 399
1557857024705, 1016705, 352, 370, 403
1557857024718, 1016718, 354, 378, 404
1557857024731, 1016730, 355, 385, 401
1557857024744, 1016743, 354, 388, 396
1557857024758, 1016757, 353, 389, 395
1557857024771, 1016770, 353, 386, 400
1557857024784, 1016783, 354, 383, 403
1557857024797, 1016796, 354, 384, 406
1557857024810, 1016809, 354, 385, 407
1557857024823, 1016822, 353, 389, 403
1557857024836, 1016836, 352, 393, 398
1557857024849, 1016849, 352, 395, 395
1557857024862, 1016861, 353, 394, 400
1557857024875, 1016875, 356, 389, 406
1557857024889, 1016888, 354, 383, 409
1557857024902, 1016901, 354, 380, 407
1557857024915, 1016914, 351, 382, 403
1557857024928, 1016927, 350, 382, 403
1557857024941, 1016940, 348, 382, 408
1557857024954, 1016953, 346, 377, 409
1557857024967, 1016967, 345, 370, 407
1557857024980, 1016980, 345, 364, 406
1557857024993, 1016992, 344, 360, 408
1557857025006, 1017006, 342, 357, 411
1557857025020, 1017019, 340, 354, 413
1557857025033, 1017032, 339, 352, 414
1557857025046, 1017046, 338, 352, 415
1557857025059, 1017058, 337, 352, 419
1557857025072, 1017071, 338, 349, 419
1557857025085, 1017084, 336, 345, 418
1557857025098, 1017098, 336, 338, 419
1557857025111, 1017111, 333, 335, 422
1557857025124, 1017123, 329, 330, 421
1557857025138, 1017137, 325, 327, 414
1557857025151, 1017150, 322, 326, 402
1557857025164, 1017163, 321, 326, 396
1557857025177, 1017177, 323, 331, 404
1557857025190, 1017189, 323, 336, 414
1557857025204, 1017202, 323, 336, 415
1557857025216, 1017216, 321, 332, 414
1557857025229, 1017229, 320, 327, 413
1557857025242, 1017242, 318, 323, 412
1557857025255, 1017254, 317, 320, 406
1557857025269, 1017268, 316, 321, 398
1557857025282, 1017281, 315, 323, 395
1557857025295, 1017294, 318, 329, 400
1557857025308, 1017308, 318, 332, 408
1557857025321, 1017320, 319, 329, 413
1557857025334, 1017333, 318, 326, 415
1557857025347, 1017347, 319, 323, 412
1557857025360, 1017360, 319, 327, 397
1557857025373, 1017373, 318, 333, 390
1557857025387, 1017385, 320, 344, 400
1557857025400, 1017399, 321, 347, 420
1557857025413, 1017412, 323, 336, 434
1557857025426, 1017425, 322, 317, 422
1557857025439, 1017439, 320, 306, 409
1557857025452, 1017451, 323, 315, 420
1557857025465, 1017464, 331, 339, 443
1557857025478, 1017478, 337, 358, 454
1557857025491, 1017491, 338, 355, 441
1557857025505, 1017504, 335, 344, 434
1557857025518, 1017517, 333, 335, 432
1557857025531, 1017530, 332, 336, 420
1557857025544, 1017543, 332, 342, 418
1557857025557, 1017556, 334, 347, 427
1557857025570, 1017570, 336, 347, 429
1557857025583, 1017582, 337, 342, 423
1557857025596, 1017595, 337, 341, 421
1557857025609, 1017609, 340, 338, 423
1557857025622, 1017622, 342, 336, 424
1557857025636, 1017634, 345, 334, 423
1557857025649, 1017648, 348, 338, 422
1557857025662, 1017661, 350, 343, 423
1557857025675, 1017674, 351, 346, 423
1557857025688, 1017688, 351, 345, 421
1557857025701, 1017700, 350, 344, 419
1557857025714, 1017713, 350, 343, 416
1557857025727, 1017726, 352, 345, 417
1557857025740, 1017740, 353, 348, 418
1557857025754, 1017753, 353, 350, 416
1557857025767, 1017765, 352, 351, 407
1557857025780, 1017779, 351, 351, 400
1557857025793, 1017792, 351, 353, 400
1557857025806, 1017805, 350, 353, 400
1557857025819, 1017819, 349, 351, 402
1557857025832, 1017831, 349, 352, 407
1557857025845, 1017844, 348, 353, 404
1557857025858, 1017858, 344, 353, 400
1557857025871, 1017871, 342, 354, 397
1557857025885, 1017884, 340, 353, 397
1557857025898, 1017896, 340, 352, 398
1557857025911, 1017910, 340, 353, 402
1557857025924, 1017923, 339, 353, 407
1557857025937, 1017936, 338, 352, 409
1557857025950, 1017950, 337, 355, 414
1557857025963, 1017962, 336, 353, 408
1557857025976, 1017975, 334, 350, 405
1557857025989, 1017989, 332, 350, 401
1557857026002, 1018002, 330, 350, 395
1557857026016, 1018015, 327, 349, 391
1557857026029, 1018028, 326, 347, 393
1557857026042, 1018041, 327, 351, 409
1557857026055, 1018054, 329, 353, 417
1557857026068, 1018067, 326, 353, 417
1557857026081, 1018081, 324, 348, 404
1557857026094, 1018093, 321, 345, 397
1557857026107, 1018106, 319, 342, 398
1557857026120, 1018120, 319, 341, 405
1557857026134, 1018133, 317, 342, 409
1557857026147, 1018146, 316, 343, 407
1557857026160, 1018159, 314, 343, 402
1557857026173, 1018172, 312, 345, 399
1557857026186, 1018185, 313, 349, 402
1557857026199, 1018199, 314, 350, 406
1557857026212, 1018212, 314, 350, 407
1557857026225, 1018224, 312, 349, 407
1557857026238, 1018237, 310, 347, 407
1557857026251, 1018251, 310, 346, 409
1557857026265, 1018264, 309, 346, 409
1557857026278, 1018277, 309, 346, 405
