Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557856770171, 762175, 293, 350, 398
1557856770184, 762188, 293, 349, 397
1557856770197, 762202, 292, 348, 396
1557856770210, 762214, 293, 348, 396
1557856770223, 762227, 292, 347, 397
1557856770236, 762241, 292, 347, 396
1557856770250, 762254, 292, 348, 397
1557856770263, 762267, 293, 349, 398
1557856770276, 762279, 293, 349, 398
1557856770289, 762293, 293, 348, 397
1557856770302, 762306, 293, 347, 396
1557856770315, 762319, 293, 346, 395
1557856770328, 762332, 293, 347, 396
1557856770341, 762345, 293, 347, 396
1557856770354, 762358, 294, 346, 395
1557856770367, 762372, 294, 345, 393
1557856770380, 762384, 295, 344, 391
1557856770393, 762397, 297, 341, 388
1557856770406, 762411, 299, 340, 386
1557856770419, 762424, 301, 340, 384
1557856770433, 762436, 303, 339, 383
1557856770446, 762449, 307, 341, 383
1557856770459, 762463, 311, 344, 383
1557856770472, 762476, 316, 347, 381
1557856770485, 762489, 321, 346, 374
1557856770498, 762502, 328, 341, 367
1557856770511, 762515, 336, 344, 371
1557856770525, 762528, 338, 352, 375
1557856770537, 762542, 342, 353, 375
1557856770550, 762554, 346, 350, 370
1557856770563, 762567, 349, 348, 368
1557856770576, 762580, 351, 347, 367
1557856770589, 762594, 353, 344, 369
1557856770602, 762606, 358, 340, 373
1557856770615, 762619, 362, 339, 378
1557856770629, 762633, 367, 339, 384
1557856770642, 762646, 371, 342, 389
1557856770655, 762658, 373, 336, 386
1557856770668, 762672, 378, 323, 393
1557856770681, 762685, 381, 307, 401
1557856770694, 762698, 384, 286, 413
1557856770708, 762711, 384, 264, 416
1557856770720, 762724, 383, 249, 407
1557856770733, 762737, 386, 248, 401
1557856770746, 762750, 389, 258, 403
1557856770760, 762763, 395, 269, 408
1557856770773, 762776, 399, 275, 408
1557856770785, 762789, 403, 274, 409
1557856770798, 762803, 404, 271, 408
1557856770811, 762816, 407, 265, 410
1557856770825, 762828, 408, 263, 413
1557856770838, 762842, 408, 264, 417
1557856770851, 762855, 409, 265, 418
1557856770864, 762868, 411, 265, 422
1557856770877, 762881, 411, 265, 428
1557856770890, 762894, 409, 266, 432
1557856770903, 762907, 408, 265, 431
1557856770916, 762920, 407, 266, 426
1557856770929, 762933, 406, 270, 421
1557856770942, 762946, 402, 276, 414
1557856770956, 762959, 400, 281, 411
1557856770968, 762973, 398, 283, 409
1557856770981, 762985, 398, 284, 406
1557856770994, 762998, 396, 285, 405
1557856771007, 763012, 395, 287, 400
1557856771021, 763025, 392, 289, 395
1557856771034, 763037, 391, 291, 393
1557856771047, 763051, 391, 294, 387
1557856771060, 763064, 388, 296, 387
1557856771073, 763077, 386, 299, 385
1557856771086, 763089, 384, 301, 382
1557856771099, 763103, 382, 304, 381
1557856771112, 763116, 382, 307, 378
1557856771125, 763129, 379, 312, 378
1557856771138, 763143, 376, 315, 377
1557856771152, 763155, 377, 313, 372
1557856771164, 763168, 380, 309, 368
1557856771177, 763182, 381, 308, 369
1557856771190, 763195, 377, 309, 370
1557856771204, 763207, 373, 312, 375
1557856771217, 763220, 371, 313, 380
1557856771230, 763234, 371, 315, 384
1557856771243, 763247, 371, 314, 384
1557856771256, 763259, 372, 312, 381
1557856771269, 763273, 373, 311, 376
1557856771282, 763286, 375, 309, 374
1557856771295, 763299, 376, 313, 379
1557856771308, 763312, 377, 315, 384
1557856771321, 763325, 378, 317, 390
1557856771334, 763338, 380, 315, 397
1557856771347, 763352, 386, 310, 404
1557856771360, 763364, 392, 303, 405
1557856771373, 763377, 397, 297, 404
1557856771386, 763390, 402, 294, 402
1557856771400, 763404, 407, 292, 401
1557856771413, 763417, 412, 293, 402
1557856771426, 763429, 415, 299, 403
1557856771439, 763443, 421, 299, 401
1557856771452, 763456, 422, 299, 404
1557856771465, 763469, 426, 294, 406
1557856771478, 763482, 430, 286, 406
1557856771491, 763495, 430, 283, 408
1557856771504, 763508, 430, 284, 410
1557856771517, 763522, 434, 283, 410
1557856771530, 763534, 436, 285, 410
1557856771543, 763547, 438, 287, 411
1557856771556, 763560, 437, 284, 408
1557856771569, 763574, 439, 278, 406
1557856771583, 763586, 436, 274, 402
1557856771596, 763599, 432, 274, 404
1557856771609, 763613, 427, 277, 406
1557856771622, 763626, 423, 281, 403
1557856771635, 763638, 421, 287, 404
1557856771648, 763652, 418, 293, 404
1557856771661, 763665, 417, 296, 404
1557856771674, 763678, 413, 297, 402
1557856771687, 763692, 408, 294, 393
