Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557764631474, 776093, 529, 583, 442
1557764631486, 776107, 529, 583, 441
1557764631499, 776119, 528, 583, 441
1557764631513, 776132, 528, 584, 441
1557764631526, 776145, 528, 584, 441
1557764631539, 776159, 528, 584, 441
1557764631552, 776171, 528, 584, 440
1557764631565, 776184, 528, 586, 440
1557764631578, 776198, 528, 586, 442
1557764631591, 776211, 527, 586, 440
1557764631605, 776223, 527, 586, 441
1557764631617, 776237, 527, 586, 440
1557764631630, 776250, 528, 585, 441
1557764631644, 776263, 527, 587, 440
1557764631656, 776275, 526, 587, 439
1557764631669, 776289, 525, 589, 439
1557764631682, 776302, 524, 592, 438
1557764631696, 776315, 521, 597, 437
1557764631708, 776329, 518, 602, 437
1557764631722, 776341, 515, 606, 436
1557764631735, 776354, 510, 613, 435
1557764631747, 776368, 505, 621, 435
1557764631761, 776381, 504, 623, 440
1557764631774, 776393, 506, 623, 445
1557764631787, 776407, 507, 622, 449
1557764631801, 776420, 507, 624, 451
1557764631814, 776433, 505, 631, 455
1557764631827, 776445, 503, 640, 458
1557764631839, 776459, 501, 648, 461
1557764631854, 776472, 499, 656, 464
1557764631865, 776485, 500, 666, 468
1557764631878, 776498, 501, 675, 472
1557764631890, 776511, 503, 681, 476
1557764631904, 776524, 505, 683, 483
1557764631918, 776538, 509, 679, 488
1557764631931, 776550, 515, 674, 494
1557764631945, 776563, 521, 674, 498
1557764631957, 776577, 527, 671, 502
1557764631970, 776590, 533, 662, 504
1557764631983, 776602, 535, 650, 501
1557764631996, 776615, 536, 639, 499
1557764632009, 776629, 539, 630, 500
1557764632023, 776642, 543, 623, 503
1557764632035, 776655, 547, 616, 507
1557764632048, 776668, 556, 611, 512
1557764632061, 776681, 562, 607, 513
1557764632074, 776694, 564, 602, 510
1557764632088, 776708, 558, 599, 500
1557764632101, 776720, 550, 596, 492
1557764632114, 776733, 544, 597, 488
1557764632127, 776747, 538, 599, 487
1557764632140, 776760, 536, 600, 487
1557764632153, 776772, 534, 594, 486
1557764632167, 776785, 531, 589, 482
1557764632179, 776799, 526, 588, 475
1557764632193, 776812, 518, 584, 471
1557764632205, 776824, 508, 581, 466
1557764632219, 776838, 501, 577, 467
1557764632232, 776851, 499, 577, 472
1557764632244, 776864, 505, 581, 483
1557764632257, 776878, 510, 586, 493
1557764632271, 776890, 512, 587, 501
1557764632284, 776903, 510, 586, 502
1557764632297, 776916, 508, 585, 498
1557764632310, 776930, 506, 583, 495
1557764632323, 776942, 505, 582, 495
1557764632336, 776955, 509, 590, 497
1557764632349, 776969, 513, 596, 502
1557764632362, 776982, 518, 596, 504
1557764632376, 776994, 521, 590, 500
1557764632388, 777008, 519, 584, 490
1557764632401, 777021, 515, 578, 478
1557764632414, 777034, 514, 571, 469
1557764632426, 777047, 512, 570, 465
1557764632440, 777060, 515, 576, 463
1557764632452, 777073, 518, 583, 464
1557764632466, 777086, 523, 588, 460
1557764632481, 777099, 524, 590, 453
1557764632493, 777112, 526, 592, 444
1557764632507, 777125, 526, 596, 433
1557764632519, 777139, 527, 604, 419
1557764632531, 777151, 533, 613, 411
1557764632545, 777164, 542, 617, 407
1557764632559, 777178, 551, 615, 404
1557764632571, 777191, 561, 616, 399
1557764632585, 777204, 568, 622, 389
1557764632597, 777217, 574, 629, 378
1557764632611, 777230, 577, 636, 368
1557764632624, 777243, 581, 641, 359
1557764632636, 777256, 591, 642, 355
1557764632649, 777269, 599, 645, 350
1557764632663, 777282, 607, 648, 346
1557764632676, 777295, 609, 659, 339
1557764632689, 777309, 605, 667, 332
1557764632701, 777321, 602, 672, 324
1557764632716, 777334, 603, 681, 324
1557764632728, 777348, 599, 698, 321
1557764632741, 777361, 596, 716, 327
1557764632754, 777373, 601, 721, 350
1557764632768, 777387, 606, 743, 376
1557764632780, 777400, 597, 758, 399
1557764632793, 777413, 582, 770, 404
1557764632807, 777426, 566, 766, 411
1557764632820, 777439, 564, 766, 438
1557764632832, 777452, 564, 764, 472
1557764632844, 777465, 548, 756, 490
1557764632859, 777479, 531, 743, 496
1557764632872, 777491, 517, 723, 497
1557764632885, 777504, 501, 697, 484
1557764632898, 777518, 490, 668, 476
1557764632911, 777531, 485, 651, 474
1557764632925, 777543, 500, 636, 484
1557764632937, 777556, 549, 618, 499
1557764632950, 777570, 542, 604, 492
1557764632964, 777583, 510, 618, 473
1557764632978, 777595, 495, 610, 465
1557764632990, 777609, 503, 575, 456
1557764633002, 777622, 517, 549, 454
1557764633016, 777635, 525, 553, 458
1557764633028, 777648, 529, 566, 478
1557764633041, 777661, 535, 571, 487
1557764633054, 777674, 525, 563, 482
1557764633068, 777688, 518, 557, 468
1557764633080, 777700, 505, 561, 458
1557764633094, 777713, 499, 557, 448
1557764633106, 777726, 494, 548, 448
1557764633120, 777740, 494, 532, 456
1557764633132, 777753, 497, 536, 463
