Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557764774438, 919053, 499, 596, 456
1557764774451, 919066, 499, 596, 456
1557764774463, 919078, 500, 596, 456
1557764774477, 919092, 499, 596, 456
1557764774489, 919105, 499, 596, 456
1557764774502, 919118, 499, 596, 456
1557764774516, 919131, 499, 596, 455
1557764774529, 919144, 499, 596, 456
1557764774542, 919157, 499, 596, 455
1557764774555, 919171, 499, 596, 456
1557764774568, 919183, 499, 596, 456
1557764774580, 919196, 499, 596, 456
1557764774594, 919209, 499, 596, 455
1557764774607, 919223, 498, 596, 455
1557764774621, 919235, 498, 596, 455
1557764774634, 919248, 499, 596, 455
1557764774646, 919262, 498, 596, 455
1557764774660, 919275, 498, 595, 455
1557764774673, 919287, 498, 595, 454
1557764774685, 919301, 497, 595, 454
1557764774699, 919314, 497, 595, 453
1557764774712, 919327, 497, 596, 453
1557764774725, 919341, 497, 596, 452
1557764774737, 919353, 497, 597, 452
1557764774751, 919366, 497, 598, 452
1557764774763, 919379, 497, 598, 451
1557764774777, 919393, 496, 600, 449
1557764774790, 919405, 496, 603, 448
1557764774804, 919418, 496, 607, 448
1557764774817, 919432, 500, 609, 450
1557764774829, 919445, 497, 613, 447
1557764774842, 919457, 495, 620, 443
1557764774856, 919471, 493, 623, 438
1557764774869, 919484, 492, 626, 431
1557764774881, 919497, 494, 630, 425
1557764774894, 919510, 497, 637, 423
1557764774908, 919523, 501, 642, 420
1557764774921, 919536, 507, 643, 418
1557764774933, 919549, 503, 653, 413
1557764774947, 919562, 504, 656, 409
1557764774960, 919575, 504, 661, 404
1557764774972, 919588, 503, 670, 405
1557764774986, 919602, 506, 670, 415
1557764774999, 919614, 516, 659, 428
1557764775012, 919627, 520, 647, 436
1557764775026, 919641, 519, 641, 440
1557764775039, 919654, 516, 643, 446
1557764775052, 919667, 511, 653, 452
1557764775064, 919680, 509, 649, 462
1557764775077, 919693, 509, 638, 471
1557764775091, 919706, 512, 624, 483
1557764775104, 919719, 515, 612, 495
1557764775117, 919732, 516, 605, 504
1557764775129, 919745, 514, 604, 511
1557764775142, 919758, 511, 601, 515
1557764775156, 919772, 505, 599, 517
1557764775169, 919784, 501, 601, 520
1557764775182, 919797, 500, 600, 525
1557764775195, 919811, 498, 592, 527
1557764775208, 919824, 495, 580, 528
1557764775222, 919836, 489, 565, 525
1557764775234, 919849, 483, 557, 521
