Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557764824174, 968788, 567, 548, 433
1557764824187, 968802, 568, 548, 434
1557764824201, 968815, 568, 547, 433
1557764824213, 968827, 569, 547, 434
1557764824228, 968841, 570, 546, 434
1557764824240, 968854, 569, 545, 432
1557764824254, 968867, 568, 543, 432
1557764824266, 968880, 569, 542, 431
1557764824280, 968893, 569, 540, 432
1557764824293, 968906, 570, 539, 431
1557764824306, 968920, 569, 540, 431
1557764824318, 968932, 568, 540, 430
1557764824331, 968945, 567, 541, 429
1557764824345, 968958, 567, 542, 428
1557764824357, 968972, 567, 542, 428
1557764824371, 968985, 567, 541, 428
1557764824383, 968997, 567, 540, 428
1557764824396, 969011, 567, 541, 429
1557764824410, 969024, 567, 541, 429
1557764824424, 969037, 566, 542, 427
1557764824436, 969050, 563, 544, 425
1557764824449, 969063, 561, 546, 423
1557764824462, 969076, 561, 547, 422
1557764824475, 969090, 560, 550, 419
1557764824488, 969102, 557, 552, 415
1557764824501, 969115, 554, 552, 410
1557764824514, 969128, 553, 553, 405
1557764824528, 969142, 551, 557, 400
1557764824540, 969154, 546, 562, 396
1557764824554, 969167, 545, 567, 392
1557764824566, 969181, 540, 568, 385
1557764824580, 969194, 536, 568, 378
1557764824593, 969206, 534, 566, 373
1557764824605, 969220, 532, 566, 370
1557764824619, 969233, 533, 566, 369
1557764824632, 969246, 531, 574, 361
1557764824644, 969259, 529, 577, 355
1557764824658, 969272, 522, 579, 350
1557764824671, 969285, 519, 583, 345
1557764824685, 969298, 516, 580, 342
1557764824697, 969312, 517, 580, 345
1557764824711, 969324, 514, 591, 343
1557764824724, 969337, 508, 597, 344
1557764824737, 969351, 498, 602, 341
1557764824749, 969364, 493, 603, 340
1557764824763, 969376, 490, 600, 342
1557764824776, 969390, 486, 597, 346
1557764824789, 969403, 485, 596, 355
1557764824802, 969416, 479, 597, 359
1557764824815, 969428, 476, 601, 366
1557764824829, 969442, 474, 600, 375
1557764824842, 969455, 480, 595, 392
1557764824854, 969468, 486, 591, 407
1557764824868, 969481, 485, 589, 416
1557764824880, 969494, 483, 586, 426
1557764824894, 969507, 482, 587, 446
1557764824907, 969521, 499, 580, 461
1557764824919, 969534, 490, 567, 464
1557764824933, 969546, 490, 565, 471
1557764824945, 969560, 492, 563, 479
1557764824959, 969573, 501, 558, 492
1557764824971, 969586, 504, 544, 506
1557764824985, 969598, 504, 531, 511
1557764824998, 969612, 495, 517, 501
1557764825011, 969625, 490, 502, 494
1557764825025, 969638, 488, 491, 490
1557764825037, 969651, 488, 485, 489
1557764825050, 969664, 490, 483, 490
1557764825063, 969677, 496, 478, 491
1557764825077, 969691, 501, 465, 490
1557764825090, 969703, 506, 449, 489
1557764825103, 969716, 512, 436, 489
1557764825115, 969730, 517, 432, 487
1557764825129, 969743, 524, 427, 488
1557764825141, 969755, 536, 415, 491
1557764825155, 969768, 544, 398, 492
1557764825167, 969782, 552, 386, 492
1557764825181, 969795, 555, 379, 492
1557764825195, 969807, 562, 372, 492
1557764825207, 969821, 567, 356, 491
1557764825220, 969834, 571, 341, 486
1557764825233, 969847, 571, 335, 481
1557764825247, 969861, 570, 335, 481
1557764825259, 969873, 573, 330, 487
1557764825273, 969886, 578, 324, 493
1557764825286, 969900, 582, 319, 497
1557764825299, 969913, 585, 315, 501
1557764825311, 969925, 587, 313, 502
1557764825324, 969938, 588, 315, 501
1557764825337, 969952, 589, 322, 503
1557764825351, 969965, 591, 332, 507
1557764825364, 969977, 591, 347, 511
1557764825377, 969991, 590, 360, 514
1557764825389, 970004, 590, 371, 515
1557764825403, 970017, 589, 377, 513
1557764825416, 970030, 590, 390, 509
1557764825429, 970043, 587, 406, 503
1557764825443, 970056, 585, 424, 495
1557764825455, 970070, 581, 439, 490
1557764825469, 970082, 580, 452, 486
1557764825482, 970095, 581, 465, 485
1557764825495, 970108, 583, 478, 483
1557764825507, 970122, 584, 490, 481
1557764825521, 970135, 583, 502, 479
1557764825534, 970147, 588, 513, 477
1557764825546, 970161, 587, 522, 472
1557764825560, 970174, 591, 530, 468
1557764825573, 970187, 591, 537, 469
1557764825586, 970200, 596, 547, 474
1557764825599, 970213, 597, 560, 479
1557764825612, 970226, 601, 579, 483
1557764825625, 970240, 608, 596, 485
1557764825638, 970252, 615, 605, 481
1557764825652, 970265, 619, 603, 475
1557764825664, 970278, 628, 605, 463
1557764825677, 970292, 635, 609, 445
1557764825691, 970304, 636, 618, 425
1557764825704, 970317, 636, 626, 409
1557764825716, 970331, 640, 634, 391
1557764825730, 970344, 649, 644, 368
1557764825743, 970356, 655, 644, 339
1557764825756, 970370, 652, 640, 307
1557764825769, 970383, 642, 633, 285
1557764825782, 970396, 629, 634, 273
1557764825795, 970409, 623, 644, 274
1557764825809, 970422, 618, 656, 277
1557764825821, 970435, 614, 664, 281
1557764825834, 970448, 612, 667, 281
1557764825847, 970462, 610, 666, 277
1557764825860, 970474, 612, 666, 275
1557764825873, 970487, 612, 672, 276
1557764825887, 970501, 603, 675, 276
1557764825900, 970514, 599, 672, 277
1557764825912, 970526, 608, 663, 276
1557764825925, 970540, 622, 649, 273
1557764825939, 970553, 635, 638, 272
1557764825952, 970566, 632, 638, 275
1557764825965, 970578, 631, 651, 279
1557764825978, 970592, 647, 650, 283
1557764825991, 970605, 661, 628, 291
1557764826004, 970618, 676, 601, 300
1557764826018, 970631, 688, 594, 307
1557764826031, 970644, 696, 591, 309
1557764826043, 970657, 710, 574, 313
1557764826057, 970671, 716, 536, 313
1557764826070, 970684, 716, 492, 312
1557764826082, 970696, 704, 486, 312
1557764826096, 970710, 694, 512, 313
1557764826108, 970723, 690, 535, 316
