Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557764931868, 1076477, 565, 530, 424
1557764931881, 1076491, 566, 531, 424
1557764931893, 1076504, 566, 530, 424
1557764931906, 1076517, 566, 530, 424
1557764931920, 1076530, 566, 530, 423
1557764931932, 1076543, 566, 530, 423
1557764931946, 1076556, 566, 530, 424
1557764931959, 1076570, 566, 530, 424
1557764931972, 1076583, 567, 529, 424
1557764931984, 1076595, 566, 528, 423
1557764931999, 1076609, 565, 528, 423
1557764932011, 1076622, 566, 528, 424
1557764932024, 1076635, 566, 528, 424
1557764932037, 1076648, 565, 529, 423
1557764932051, 1076661, 565, 529, 422
1557764932063, 1076674, 565, 529, 421
1557764932077, 1076687, 563, 530, 418
1557764932089, 1076701, 562, 530, 415
1557764932102, 1076713, 560, 533, 408
1557764932116, 1076726, 555, 535, 403
1557764932129, 1076740, 556, 536, 403
1557764932142, 1076753, 556, 536, 402
1557764932156, 1076766, 556, 538, 399
1557764932168, 1076779, 552, 539, 393
1557764932182, 1076792, 551, 542, 388
1557764932195, 1076805, 547, 545, 381
1557764932208, 1076818, 544, 548, 375
1557764932220, 1076832, 543, 550, 369
1557764932235, 1076844, 541, 552, 365
1557764932247, 1076857, 542, 553, 365
1557764932260, 1076871, 542, 557, 362
1557764932274, 1076884, 536, 566, 355
1557764932286, 1076897, 530, 576, 342
1557764932300, 1076910, 525, 585, 332
1557764932312, 1076923, 524, 589, 325
1557764932325, 1076936, 521, 588, 324
1557764932339, 1076950, 517, 584, 325
1557764932351, 1076963, 519, 578, 332
1557764932365, 1076975, 514, 573, 341
1557764932379, 1076988, 506, 573, 345
1557764932390, 1077002, 496, 574, 344
1557764932404, 1077015, 486, 572, 345
1557764932418, 1077028, 480, 564, 354
1557764932430, 1077042, 478, 554, 363
1557764932444, 1077054, 477, 545, 368
1557764932457, 1077067, 473, 544, 365
1557764932470, 1077081, 469, 541, 368
1557764932483, 1077094, 467, 534, 380
1557764932496, 1077107, 473, 535, 391
1557764932510, 1077120, 476, 535, 403
1557764932523, 1077133, 484, 527, 417
1557764932536, 1077146, 489, 517, 434
1557764932548, 1077159, 494, 508, 447
1557764932563, 1077173, 493, 494, 462
1557764932575, 1077185, 494, 478, 478
1557764932588, 1077198, 488, 471, 478
1557764932601, 1077212, 477, 468, 467
1557764932615, 1077225, 473, 465, 463
1557764932627, 1077237, 471, 460, 464
1557764932641, 1077251, 471, 453, 468
1557764932653, 1077264, 472, 453, 477
1557764932666, 1077277, 474, 458, 487
1557764932680, 1077291, 476, 463, 498
1557764932693, 1077303, 476, 475, 511
1557764932705, 1077316, 479, 486, 520
1557764932719, 1077329, 477, 493, 524
1557764932732, 1077343, 476, 496, 526
1557764932746, 1077356, 476, 494, 529
1557764932758, 1077368, 477, 495, 533
1557764932771, 1077382, 477, 502, 539
1557764932784, 1077395, 479, 515, 546
1557764932797, 1077408, 479, 533, 557
1557764932810, 1077422, 478, 548, 564
1557764932824, 1077434, 476, 562, 568
1557764932837, 1077447, 478, 567, 571
1557764932850, 1077460, 482, 567, 577
1557764932863, 1077474, 486, 571, 585
1557764932876, 1077487, 487, 578, 593
1557764932890, 1077499, 488, 584, 600
1557764932902, 1077513, 489, 589, 604
1557764932916, 1077526, 491, 590, 606
1557764932929, 1077539, 495, 587, 609
1557764932941, 1077553, 500, 585, 615
1557764932954, 1077565, 505, 584, 617
1557764932967, 1077578, 508, 586, 619
1557764932981, 1077592, 511, 589, 618
1557764932994, 1077605, 513, 588, 614
1557764933007, 1077618, 516, 584, 609
1557764933020, 1077630, 518, 577, 603
1557764933034, 1077644, 522, 570, 596
1557764933048, 1077657, 528, 561, 591
1557764933060, 1077670, 531, 553, 582
1557764933072, 1077684, 543, 546, 574
1557764933086, 1077696, 551, 540, 564
1557764933099, 1077709, 559, 537, 554
1557764933112, 1077723, 569, 534, 543
1557764933126, 1077736, 582, 532, 534
1557764933138, 1077749, 593, 527, 520
1557764933151, 1077762, 608, 520, 506
1557764933164, 1077775, 617, 508, 491
1557764933177, 1077788, 620, 499, 478
1557764933191, 1077801, 625, 496, 469
1557764933204, 1077815, 628, 497, 458
1557764933217, 1077827, 634, 498, 446
1557764933230, 1077840, 641, 498, 435
1557764933244, 1077854, 647, 491, 431
1557764933256, 1077867, 654, 488, 430
1557764933269, 1077880, 662, 494, 426
1557764933283, 1077893, 669, 506, 416
1557764933295, 1077906, 683, 514, 413
1557764933309, 1077919, 709, 510, 409
1557764933322, 1077933, 717, 510, 396
1557764933335, 1077946, 711, 516, 379
1557764933349, 1077958, 707, 517, 368
1557764933361, 1077971, 715, 511, 365
1557764933373, 1077985, 730, 505, 364
1557764933387, 1077998, 739, 500, 357
1557764933400, 1078011, 740, 502, 353
1557764933414, 1078024, 746, 514, 352
1557764933426, 1078037, 752, 527, 341
1557764933439, 1078050, 759, 536, 325
1557764933452, 1078064, 738, 536, 294
1557764933466, 1078077, 726, 527, 289
1557764933479, 1078089, 738, 525, 305
1557764933493, 1078103, 730, 527, 305
1557764933505, 1078116, 722, 547, 314
1557764933517, 1078129, 712, 565, 315
1557764933531, 1078142, 706, 574, 318
1557764933544, 1078155, 690, 572, 308
1557764933558, 1078168, 673, 559, 300
1557764933571, 1078181, 678, 544, 305
1557764933583, 1078195, 690, 530, 311
1557764933597, 1078208, 690, 532, 311
1557764933610, 1078220, 689, 544, 319
1557764933623, 1078234, 686, 557, 329
1557764933636, 1078247, 684, 583, 335
1557764933649, 1078260, 682, 606, 338
1557764933663, 1078274, 678, 626, 338
1557764933675, 1078286, 673, 630, 338
1557764933688, 1078299, 663, 615, 326
1557764933701, 1078312, 651, 619, 321
1557764933715, 1078326, 653, 631, 330
1557764933729, 1078339, 656, 632, 347
1557764933741, 1078351, 661, 636, 359
1557764933753, 1078365, 656, 643, 367
1557764933767, 1078378, 658, 659, 377
1557764933782, 1078391, 647, 662, 360
1557764933794, 1078404, 647, 661, 377
1557764933807, 1078417, 664, 671, 400
1557764933820, 1078430, 653, 659, 386
1557764933833, 1078444, 646, 654, 368
