Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557764981003, 1125612, 564, 521, 400
1557764981015, 1125625, 561, 524, 394
1557764981029, 1125638, 558, 525, 392
1557764981042, 1125651, 561, 525, 395
1557764981054, 1125664, 563, 525, 399
1557764981068, 1125678, 564, 523, 400
1557764981081, 1125691, 565, 524, 400
1557764981094, 1125703, 564, 526, 399
1557764981107, 1125716, 561, 527, 399
1557764981121, 1125730, 560, 528, 399
1557764981134, 1125743, 559, 528, 401
1557764981147, 1125756, 559, 528, 403
1557764981160, 1125769, 557, 529, 402
1557764981173, 1125782, 554, 527, 400
1557764981187, 1125795, 552, 526, 399
1557764981200, 1125809, 551, 524, 399
1557764981212, 1125822, 550, 526, 397
1557764981225, 1125834, 546, 531, 393
1557764981239, 1125848, 543, 536, 389
1557764981252, 1125861, 539, 539, 382
1557764981265, 1125874, 535, 540, 374
1557764981279, 1125888, 530, 537, 366
1557764981291, 1125900, 527, 534, 360
1557764981304, 1125913, 522, 534, 359
1557764981317, 1125926, 516, 538, 353
1557764981330, 1125940, 505, 542, 348
1557764981344, 1125953, 494, 544, 349
1557764981357, 1125965, 486, 546, 355
1557764981369, 1125979, 476, 550, 358
1557764981382, 1125992, 467, 553, 361
1557764981396, 1126005, 459, 553, 359
1557764981409, 1126019, 450, 550, 360
1557764981422, 1126031, 448, 552, 368
1557764981434, 1126044, 447, 555, 383
1557764981448, 1126057, 454, 560, 400
1557764981461, 1126071, 455, 557, 413
1557764981475, 1126084, 460, 551, 426
1557764981487, 1126096, 464, 547, 435
1557764981500, 1126110, 466, 546, 444
1557764981514, 1126123, 470, 545, 455
1557764981526, 1126136, 472, 545, 461
1557764981539, 1126150, 473, 541, 461
1557764981553, 1126162, 474, 537, 463
1557764981566, 1126175, 475, 530, 458
1557764981580, 1126189, 472, 525, 457
1557764981593, 1126202, 478, 519, 463
1557764981605, 1126215, 482, 515, 471
1557764981619, 1126227, 486, 508, 478
1557764981632, 1126241, 488, 501, 482
1557764981644, 1126254, 490, 493, 487
1557764981658, 1126267, 494, 486, 494
1557764981671, 1126281, 495, 483, 489
1557764981684, 1126293, 492, 476, 478
1557764981696, 1126306, 497, 462, 475
1557764981710, 1126320, 505, 445, 476
1557764981726, 1126333, 512, 429, 479
1557764981740, 1126346, 516, 421, 479
1557764981751, 1126359, 519, 416, 477
1557764981763, 1126372, 521, 410, 475
1557764981776, 1126385, 526, 398, 476
1557764981795, 1126398, 529, 381, 475
1557764981801, 1126412, 533, 367, 477
1557764981818, 1126424, 536, 357, 476
1557764981831, 1126437, 541, 344, 476
1557764981844, 1126451, 545, 331, 477
1557764981860, 1126464, 551, 317, 475
1557764981873, 1126477, 551, 310, 473
1557764981880, 1126490, 548, 313, 470
1557764981894, 1126503, 544, 317, 467
1557764981906, 1126516, 544, 310, 470
1557764981920, 1126530, 546, 302, 472
1557764981933, 1126543, 543, 301, 469
1557764981947, 1126555, 537, 308, 467
1557764981960, 1126568, 532, 318, 471
1557764981974, 1126582, 529, 326, 476
1557764981985, 1126595, 525, 333, 479
