Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557765028659, 1173266, 494, 578, 439
1557765028671, 1173279, 493, 578, 438
1557765028685, 1173293, 492, 578, 437
1557765028698, 1173306, 491, 578, 437
1557765028711, 1173318, 492, 578, 437
1557765028724, 1173331, 491, 579, 438
1557765028737, 1173345, 491, 579, 438
1557765028751, 1173358, 491, 579, 438
1557765028763, 1173371, 490, 579, 438
1557765028777, 1173384, 490, 579, 438
1557765028789, 1173397, 490, 578, 438
1557765028803, 1173410, 489, 578, 437
1557765028816, 1173424, 489, 578, 438
1557765028829, 1173437, 489, 577, 439
1557765028842, 1173449, 488, 577, 439
1557765028854, 1173463, 487, 578, 438
1557765028868, 1173476, 486, 578, 438
1557765028881, 1173489, 486, 578, 437
1557765028896, 1173502, 485, 579, 436
1557765028908, 1173515, 483, 581, 435
1557765028921, 1173528, 481, 582, 433
1557765028934, 1173541, 479, 584, 432
1557765028948, 1173555, 477, 586, 430
1557765028961, 1173568, 474, 588, 426
1557765028973, 1173580, 470, 591, 422
1557765028985, 1173594, 462, 596, 415
1557765028999, 1173607, 452, 602, 408
1557765029012, 1173620, 446, 601, 406
1557765029025, 1173634, 436, 600, 401
1557765029039, 1173646, 425, 604, 393
1557765029053, 1173659, 414, 602, 390
1557765029065, 1173672, 401, 602, 387
1557765029077, 1173686, 393, 594, 396
1557765029091, 1173699, 393, 600, 402
1557765029104, 1173711, 387, 594, 406
1557765029117, 1173725, 387, 580, 412
1557765029131, 1173738, 392, 564, 419
1557765029143, 1173751, 393, 548, 420
1557765029157, 1173765, 391, 540, 415
1557765029169, 1173777, 395, 536, 419
1557765029183, 1173790, 402, 533, 428
1557765029196, 1173804, 409, 531, 433
1557765029209, 1173817, 412, 528, 435
1557765029221, 1173830, 414, 525, 432
1557765029234, 1173842, 418, 521, 439
1557765029249, 1173856, 423, 518, 447
1557765029262, 1173869, 430, 514, 459
1557765029274, 1173882, 433, 509, 467
1557765029287, 1173896, 431, 503, 467
1557765029301, 1173908, 432, 498, 465
1557765029314, 1173921, 432, 497, 469
1557765029327, 1173935, 434, 501, 474
1557765029340, 1173948, 436, 508, 479
1557765029352, 1173961, 436, 517, 482
1557765029367, 1173974, 439, 522, 488
1557765029380, 1173987, 444, 526, 499
1557765029392, 1174000, 449, 527, 508
1557765029405, 1174013, 455, 526, 515
1557765029418, 1174027, 462, 527, 523
1557765029432, 1174039, 470, 528, 532
1557765029444, 1174052, 477, 530, 541
1557765029458, 1174066, 481, 535, 548
1557765029471, 1174079, 482, 541, 554
1557765029483, 1174092, 483, 547, 558
1557765029498, 1174105, 483, 551, 559
1557765029510, 1174118, 486, 555, 563
1557765029524, 1174131, 488, 561, 565
1557765029537, 1174145, 492, 572, 568
1557765029549, 1174158, 495, 585, 573
1557765029563, 1174170, 500, 600, 576
1557765029575, 1174183, 501, 613, 579
1557765029589, 1174197, 502, 624, 584
1557765029601, 1174210, 505, 629, 591
1557765029615, 1174223, 508, 631, 594
1557765029629, 1174236, 510, 632, 595
1557765029641, 1174249, 512, 635, 596
1557765029655, 1174262, 514, 637, 595
1557765029668, 1174276, 514, 636, 593
1557765029681, 1174289, 515, 635, 593
1557765029694, 1174301, 516, 632, 594
1557765029707, 1174315, 517, 628, 595
1557765029720, 1174328, 518, 622, 593
1557765029733, 1174341, 518, 616, 592
1557765029746, 1174354, 519, 609, 589
1557765029760, 1174367, 520, 601, 585
1557765029772, 1174380, 520, 592, 581
1557765029785, 1174393, 521, 584, 576
1557765029799, 1174407, 521, 575, 569
1557765029812, 1174420, 523, 564, 561
1557765029825, 1174432, 530, 551, 551
1557765029838, 1174446, 525, 541, 532
1557765029851, 1174459, 537, 523, 522
1557765029864, 1174472, 546, 501, 512
1557765029878, 1174486, 553, 482, 502
1557765029890, 1174498, 556, 470, 494
1557765029903, 1174511, 561, 459, 487
1557765029917, 1174524, 569, 455, 483
1557765029929, 1174538, 576, 446, 479
1557765029943, 1174551, 583, 433, 473
1557765029957, 1174563, 591, 410, 469
1557765029969, 1174577, 599, 380, 463
1557765029982, 1174590, 596, 360, 452
1557765029995, 1174603, 591, 348, 446
1557765030008, 1174617, 588, 342, 446
1557765030022, 1174629, 590, 338, 451
1557765030035, 1174642, 593, 328, 456
1557765030047, 1174656, 594, 312, 456
1557765030061, 1174669, 596, 293, 452
1557765030074, 1174682, 593, 276, 445
1557765030086, 1174694, 588, 267, 440
1557765030100, 1174708, 581, 272, 439
1557765030113, 1174721, 583, 280, 444
1557765030127, 1174734, 580, 286, 447
1557765030140, 1174748, 580, 288, 448
1557765030153, 1174760, 576, 292, 444
1557765030166, 1174773, 570, 303, 435
1557765030179, 1174787, 563, 313, 427
1557765030192, 1174800, 557, 324, 420
1557765030205, 1174813, 553, 333, 416
1557765030217, 1174825, 547, 347, 407
1557765030231, 1174839, 543, 367, 403
1557765030244, 1174852, 539, 389, 400
1557765030257, 1174865, 538, 405, 396
1557765030270, 1174879, 536, 413, 392
1557765030284, 1174891, 527, 426, 385
1557765030296, 1174904, 518, 444, 381
1557765030310, 1174918, 516, 455, 387
1557765030323, 1174931, 519, 463, 395
1557765030336, 1174944, 519, 469, 400
1557765030349, 1174957, 516, 481, 405
1557765030363, 1174970, 517, 494, 413
1557765030375, 1174983, 521, 504, 422
1557765030388, 1174996, 525, 514, 428
1557765030401, 1175010, 528, 519, 431
1557765030415, 1175022, 527, 524, 434
1557765030429, 1175035, 524, 534, 433
1557765030441, 1175049, 519, 549, 429
1557765030453, 1175062, 515, 558, 429
1557765030468, 1175075, 518, 566, 429
1557765030480, 1175088, 523, 569, 432
1557765030494, 1175101, 527, 575, 434
1557765030506, 1175114, 525, 580, 434
1557765030521, 1175128, 522, 584, 433
1557765030534, 1175141, 521, 583, 433
1557765030547, 1175153, 524, 586, 431
1557765030559, 1175166, 526, 594, 424
1557765030572, 1175180, 527, 597, 417
1557765030585, 1175193, 524, 599, 412
1557765030599, 1175206, 518, 610, 406
1557765030612, 1175219, 519, 615, 405
1557765030624, 1175232, 526, 614, 404
1557765030638, 1175245, 534, 612, 401
1557765030651, 1175259, 535, 618, 391
1557765030664, 1175272, 533, 629, 380
1557765030677, 1175284, 531, 638, 372
1557765030690, 1175298, 534, 645, 367
1557765030703, 1175311, 540, 640, 364
1557765030716, 1175324, 549, 623, 361
1557765030730, 1175337, 547, 614, 353
1557765030742, 1175350, 541, 613, 343
1557765030756, 1175363, 540, 612, 339
1557765030769, 1175376, 544, 611, 339
1557765030782, 1175390, 550, 607, 337
1557765030795, 1175403, 556, 599, 339
1557765030808, 1175415, 563, 589, 340
1557765030820, 1175429, 567, 572, 343
1557765030835, 1175442, 564, 563, 343
1557765030847, 1175455, 561, 569, 346
1557765030861, 1175469, 567, 573, 356
1557765030873, 1175481, 575, 564, 363
1557765030888, 1175494, 579, 551, 366
1557765030900, 1175507, 581, 542, 367
1557765030913, 1175521, 585, 534, 371
1557765030926, 1175534, 587, 528, 375
1557765030939, 1175546, 586, 527, 379
1557765030952, 1175560, 583, 525, 383
1557765030965, 1175573, 581, 518, 387
1557765030978, 1175586, 581, 505, 391
1557765030992, 1175600, 576, 493, 390
1557765031005, 1175612, 574, 485, 390
1557765031017, 1175625, 574, 477, 393
1557765031033, 1175639, 574, 473, 399
1557765031044, 1175652, 570, 477, 401
1557765031056, 1175665, 567, 481, 403
1557765031070, 1175677, 566, 479, 407
1557765031084, 1175691, 566, 476, 411
1557765031096, 1175704, 564, 476, 416
1557765031110, 1175717, 563, 479, 421
1557765031122, 1175731, 563, 482, 427
1557765031136, 1175743, 562, 487, 432
1557765031149, 1175756, 562, 493, 435
1557765031161, 1175770, 560, 500, 437
1557765031176, 1175783, 558, 508, 439
1557765031188, 1175796, 556, 514, 439
1557765031201, 1175809, 554, 519, 439
1557765031215, 1175822, 553, 522, 440
1557765031227, 1175835, 551, 526, 439
1557765031241, 1175848, 549, 529, 437
1557765031254, 1175862, 548, 530, 435
1557765031267, 1175874, 547, 529, 434
1557765031280, 1175887, 546, 528, 432
1557765031292, 1175901, 544, 530, 430
1557765031307, 1175914, 542, 533, 428
1557765031319, 1175927, 541, 537, 427
