Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557765097720, 1242326, 539, 535, 415
1557765097733, 1242339, 538, 535, 415
1557765097746, 1242352, 537, 536, 413
1557765097760, 1242365, 537, 534, 414
1557765097772, 1242379, 538, 534, 417
1557765097785, 1242391, 539, 532, 418
1557765097799, 1242404, 537, 533, 416
1557765097812, 1242418, 536, 536, 416
1557765097825, 1242431, 538, 538, 416
1557765097838, 1242444, 540, 540, 417
1557765097851, 1242457, 540, 537, 416
1557765097865, 1242470, 541, 535, 415
1557765097877, 1242483, 536, 535, 414
1557765097891, 1242497, 536, 535, 414
1557765097903, 1242510, 536, 534, 413
1557765097917, 1242522, 540, 529, 411
1557765097930, 1242535, 541, 531, 414
1557765097942, 1242549, 545, 532, 412
1557765097956, 1242562, 545, 547, 417
1557765097969, 1242574, 557, 567, 404
1557765097982, 1242588, 576, 601, 381
1557765097995, 1242601, 577, 634, 368
1557765098008, 1242614, 573, 631, 348
1557765098022, 1242628, 573, 615, 334
1557765098034, 1242640, 585, 598, 325
1557765098048, 1242653, 570, 595, 310
1557765098061, 1242667, 548, 615, 318
1557765098074, 1242680, 560, 627, 331
1557765098087, 1242693, 567, 635, 342
1557765098100, 1242705, 579, 627, 344
1557765098114, 1242719, 630, 606, 343
1557765098126, 1242732, 695, 565, 345
1557765098139, 1242745, 740, 507, 365
1557765098153, 1242759, 748, 408, 405
1557765098166, 1242771, 730, 329, 433
1557765098179, 1242784, 671, 246, 458
1557765098192, 1242798, 597, 131, 463
1557765098206, 1242811, 514, 79, 450
1557765098218, 1242824, 477, 64, 437
1557765098231, 1242836, 475, 71, 435
1557765098243, 1242850, 559, 154, 454
1557765098258, 1242863, 748, 278, 460
1557765098271, 1242876, 965, 427, 462
1557765098283, 1242889, 1015, 584, 443
1557765098296, 1242902, 1017, 703, 378
1557765098310, 1242915, 1018, 894, 158
1557765098323, 1242929, 1009, 1010, 10
1557765098335, 1242942, 632, 1016, 6
1557765098348, 1242955, 532, 969, 6
1557765098362, 1242968, 700, 698, 88
1557765098375, 1242981, 829, 595, 241
1557765098388, 1242994, 841, 587, 342
1557765098401, 1243008, 835, 577, 409
1557765098414, 1243020, 849, 544, 447
1557765098428, 1243033, 880, 467, 478
1557765098441, 1243046, 866, 289, 536
1557765098454, 1243060, 779, 74, 600
1557765098468, 1243073, 661, 6, 597
1557765098481, 1243085, 613, 4, 499
1557765098493, 1243099, 569, 88, 388
1557765098506, 1243112, 577, 231, 341
1557765098519, 1243125, 612, 331, 362
1557765098533, 1243138, 748, 400, 415
1557765098545, 1243151, 960, 492, 462
1557765098559, 1243164, 1015, 674, 458
1557765098571, 1243177, 1020, 944, 294
1557765098585, 1243191, 977, 1012, 86
1557765098597, 1243203, 651, 1016, 14
1557765098611, 1243216, 599, 926, 5
1557765098624, 1243230, 711, 647, 175
1557765098636, 1243243, 764, 563, 262
1557765098649, 1243256, 743, 570, 345
1557765098663, 1243269, 726, 582, 411
1557765098676, 1243282, 746, 560, 475
1557765098690, 1243295, 757, 526, 508
1557765098703, 1243309, 765, 485, 516
1557765098715, 1243322, 752, 394, 519
1557765098729, 1243334, 717, 251, 535
1557765098741, 1243347, 641, 124, 542
1557765098756, 1243361, 573, 58, 511
1557765098768, 1243374, 538, 99, 452
1557765098780, 1243387, 520, 180, 417
1557765098795, 1243400, 574, 269, 423
1557765098808, 1243413, 680, 363, 441
1557765098820, 1243426, 805, 447, 461
1557765098833, 1243440, 928, 539, 461
1557765098848, 1243453, 1010, 671, 409
1557765098861, 1243465, 1009, 853, 281
1557765098873, 1243479, 844, 1001, 145
1557765098886, 1243492, 606, 1018, 69
1557765098901, 1243505, 542, 879, 102
1557765098913, 1243518, 611, 644, 188
1557765098925, 1243531, 680, 513, 303
1557765098939, 1243544, 676, 470, 381
1557765098952, 1243557, 658, 438, 464
1557765098966, 1243571, 634, 432, 510
1557765098978, 1243584, 609, 456, 522
1557765098990, 1243596, 597, 489, 512
1557765099005, 1243610, 594, 514, 488
1557765099016, 1243623, 587, 536, 465
1557765099031, 1243636, 573, 546, 445
1557765099044, 1243650, 558, 549, 427
1557765099057, 1243662, 551, 546, 417
1557765099070, 1243675, 553, 543, 416
1557765099083, 1243688, 555, 542, 420
1557765099095, 1243702, 559, 539, 424
