Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558321874936, 1137078, 340, 333, 408
1558321874949, 1137091, 340, 333, 408
1558321874962, 1137103, 340, 333, 408
1558321874975, 1137117, 340, 333, 408
1558321874989, 1137130, 340, 332, 408
1558321875002, 1137143, 340, 332, 407
1558321875016, 1137157, 340, 332, 407
1558321875029, 1137169, 340, 332, 408
1558321875042, 1137182, 340, 332, 408
1558321875055, 1137196, 340, 332, 408
1558321875068, 1137209, 340, 332, 408
1558321875081, 1137221, 340, 332, 408
1558321875093, 1137234, 340, 333, 408
1558321875106, 1137248, 340, 333, 409
1558321875120, 1137261, 339, 333, 409
1558321875133, 1137274, 340, 334, 408
1558321875146, 1137287, 340, 333, 408
1558321875159, 1137300, 340, 333, 407
1558321875173, 1137313, 340, 333, 408
1558321875185, 1137327, 340, 333, 407
1558321875198, 1137340, 340, 332, 408
1558321875211, 1137352, 339, 333, 408
1558321875224, 1137366, 339, 333, 408
1558321875237, 1137379, 339, 332, 408
1558321875250, 1137392, 339, 332, 408
1558321875264, 1137405, 340, 332, 407
1558321875277, 1137418, 340, 332, 407
1558321875290, 1137431, 340, 332, 407
1558321875304, 1137444, 339, 333, 407
1558321875317, 1137458, 339, 333, 407
1558321875330, 1137471, 340, 333, 408
1558321875342, 1137483, 340, 333, 408
1558321875355, 1137497, 339, 333, 409
1558321875368, 1137510, 340, 332, 409
1558321875381, 1137523, 340, 333, 408
1558321875395, 1137537, 340, 333, 408
1558321875408, 1137549, 340, 332, 408
1558321875421, 1137562, 340, 333, 408
1558321875434, 1137575, 340, 332, 408
1558321875447, 1137589, 340, 333, 409
1558321875460, 1137602, 340, 333, 409
1558321875473, 1137614, 340, 333, 408
1558321875486, 1137628, 340, 333, 407
1558321875499, 1137641, 340, 332, 407
1558321875513, 1137654, 340, 333, 407
1558321875526, 1137668, 340, 332, 407
1558321875539, 1137680, 340, 332, 407
1558321875552, 1137693, 340, 332, 408
1558321875565, 1137707, 339, 332, 408
1558321875579, 1137720, 339, 332, 409
1558321875592, 1137733, 339, 333, 408
1558321875605, 1137745, 339, 334, 408
1558321875618, 1137759, 340, 334, 408
1558321875630, 1137772, 340, 334, 407
1558321875644, 1137785, 339, 333, 408
1558321875657, 1137799, 340, 333, 409
1558321875670, 1137811, 339, 333, 409
1558321875683, 1137824, 339, 333, 409
1558321875697, 1137838, 339, 333, 408
1558321875709, 1137851, 340, 332, 407
1558321875722, 1137864, 340, 332, 407
1558321875735, 1137876, 340, 332, 408
