Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558321735453, 997596, 340, 330, 408
1558321735466, 997609, 340, 330, 407
1558321735479, 997622, 340, 329, 407
1558321735492, 997636, 340, 330, 407
1558321735505, 997648, 340, 330, 407
1558321735518, 997661, 340, 330, 407
1558321735531, 997675, 340, 330, 409
1558321735544, 997688, 340, 330, 409
1558321735557, 997700, 340, 330, 409
1558321735570, 997713, 340, 330, 409
1558321735584, 997727, 340, 330, 407
1558321735597, 997740, 340, 330, 407
1558321735610, 997752, 340, 330, 407
1558321735623, 997766, 340, 330, 406
1558321735636, 997779, 340, 331, 407
1558321735648, 997792, 340, 331, 408
1558321735661, 997806, 340, 331, 409
1558321735674, 997818, 340, 331, 408
1558321735688, 997831, 340, 330, 407
1558321735701, 997844, 340, 330, 407
1558321735714, 997858, 340, 330, 407
1558321735727, 997870, 340, 330, 407
1558321735740, 997883, 340, 330, 407
1558321735753, 997897, 340, 329, 407
1558321735766, 997910, 340, 329, 408
1558321735779, 997922, 340, 330, 408
1558321735792, 997936, 340, 329, 407
1558321735805, 997949, 340, 329, 407
1558321735818, 997962, 340, 330, 408
1558321735832, 997975, 340, 330, 408
1558321735845, 997988, 340, 330, 407
1558321735858, 998001, 340, 331, 407
1558321735870, 998014, 340, 331, 407
1558321735884, 998027, 340, 331, 406
1558321735897, 998040, 340, 331, 406
1558321735911, 998053, 340, 331, 406
1558321735923, 998067, 340, 331, 405
1558321735936, 998079, 340, 331, 406
1558321735949, 998092, 340, 331, 407
1558321735963, 998106, 339, 331, 406
1558321735976, 998119, 339, 330, 404
1558321735989, 998132, 340, 330, 404
1558321736002, 998145, 340, 330, 404
1558321736014, 998158, 340, 331, 403
1558321736027, 998171, 340, 331, 401
1558321736041, 998184, 339, 332, 399
1558321736053, 998197, 339, 333, 397
1558321736067, 998210, 339, 335, 394
1558321736080, 998223, 339, 336, 390
1558321736094, 998237, 339, 337, 385
1558321736106, 998249, 337, 339, 381
1558321736119, 998262, 335, 342, 378
1558321736133, 998276, 328, 343, 382
1558321736146, 998289, 326, 349, 398
1558321736159, 998301, 321, 355, 414
1558321736172, 998315, 318, 357, 425
1558321736185, 998328, 316, 360, 436
1558321736197, 998341, 315, 362, 449
1558321736210, 998353, 314, 362, 461
1558321736224, 998367, 315, 359, 467
1558321736236, 998380, 312, 355, 477
1558321736249, 998393, 313, 349, 482
1558321736262, 998407, 310, 340, 489
1558321736275, 998419, 309, 332, 494
1558321736289, 998432, 309, 319, 493
1558321736302, 998446, 312, 306, 493
1558321736316, 998459, 317, 295, 488
1558321736328, 998471, 320, 286, 480
1558321736341, 998484, 324, 279, 473
1558321736354, 998498, 324, 279, 460
1558321736368, 998511, 325, 276, 445
1558321736380, 998523, 325, 274, 430
1558321736393, 998537, 325, 274, 417
1558321736407, 998550, 324, 272, 409
1558321736419, 998563, 322, 269, 395
1558321736432, 998576, 321, 267, 379
1558321736445, 998589, 319, 265, 366
1558321736458, 998602, 319, 268, 350
1558321736471, 998616, 319, 268, 341
1558321736485, 998628, 321, 271, 333
1558321736499, 998641, 323, 274, 333
1558321736511, 998654, 325, 277, 327
1558321736524, 998668, 327, 281, 324
1558321736537, 998680, 329, 283, 317
1558321736550, 998693, 330, 286, 311
1558321736563, 998707, 333, 288, 306
1558321736576, 998720, 336, 290, 304
1558321736589, 998733, 339, 293, 299
1558321736602, 998746, 342, 297, 295
1558321736616, 998759, 345, 303, 296
1558321736628, 998772, 348, 309, 298
1558321736641, 998786, 351, 315, 302
1558321736655, 998798, 356, 320, 303
1558321736669, 998811, 357, 320, 303
1558321736682, 998824, 359, 322, 300
1558321736695, 998838, 362, 322, 296
1558321736708, 998850, 363, 321, 290
