Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558321636246, 898392, 339, 329, 408
1558321636260, 898405, 339, 330, 409
1558321636273, 898417, 339, 330, 409
1558321636286, 898430, 339, 329, 408
1558321636299, 898444, 339, 329, 408
1558321636311, 898457, 339, 329, 408
1558321636325, 898469, 339, 330, 408
1558321636338, 898483, 339, 330, 408
1558321636351, 898496, 339, 330, 407
1558321636364, 898509, 339, 330, 407
1558321636377, 898522, 339, 330, 406
1558321636391, 898535, 339, 329, 407
1558321636403, 898548, 339, 329, 408
1558321636416, 898562, 339, 329, 408
1558321636430, 898574, 339, 329, 408
1558321636443, 898587, 339, 329, 408
1558321636456, 898600, 339, 329, 408
1558321636469, 898614, 339, 329, 408
1558321636481, 898627, 339, 329, 408
1558321636494, 898639, 339, 329, 407
1558321636508, 898653, 339, 329, 407
1558321636521, 898666, 339, 330, 408
1558321636535, 898679, 339, 330, 407
1558321636548, 898692, 339, 330, 407
1558321636561, 898705, 339, 330, 408
1558321636574, 898718, 339, 330, 407
1558321636587, 898732, 339, 329, 408
1558321636600, 898744, 339, 330, 408
1558321636613, 898757, 338, 330, 408
1558321636626, 898770, 339, 330, 408
1558321636639, 898784, 338, 330, 408
1558321636651, 898796, 338, 330, 408
1558321636664, 898809, 339, 330, 408
1558321636677, 898823, 339, 330, 407
1558321636690, 898836, 339, 330, 407
1558321636703, 898848, 339, 330, 408
1558321636717, 898862, 339, 330, 408
1558321636730, 898875, 339, 330, 408
1558321636743, 898888, 339, 330, 408
1558321636756, 898900, 338, 330, 407
1558321636770, 898914, 338, 329, 407
1558321636783, 898927, 338, 330, 407
1558321636796, 898940, 339, 330, 407
1558321636809, 898954, 338, 330, 406
1558321636822, 898966, 338, 330, 406
1558321636835, 898979, 338, 330, 407
1558321636848, 898993, 338, 330, 406
1558321636861, 899006, 338, 331, 406
1558321636874, 899018, 338, 330, 406
1558321636887, 899032, 338, 329, 406
1558321636900, 899045, 337, 329, 407
1558321636913, 899058, 337, 330, 407
1558321636927, 899070, 336, 331, 408
1558321636940, 899084, 335, 335, 407
1558321636953, 899097, 334, 337, 408
1558321636966, 899110, 330, 341, 412
1558321636979, 899123, 329, 347, 416
1558321636992, 899136, 325, 354, 419
1558321637005, 899149, 322, 361, 421
1558321637018, 899163, 320, 367, 424
1558321637031, 899175, 319, 371, 424
1558321637044, 899188, 317, 373, 425
1558321637057, 899202, 316, 373, 426
1558321637070, 899215, 314, 369, 423
1558321637083, 899228, 314, 365, 421
1558321637095, 899240, 312, 363, 421
1558321637110, 899254, 312, 357, 419
1558321637123, 899267, 311, 352, 415
1558321637136, 899280, 311, 347, 416
1558321637149, 899293, 309, 344, 414
1558321637162, 899306, 308, 339, 412
1558321637175, 899319, 307, 331, 406
1558321637188, 899333, 306, 326, 405
1558321637201, 899345, 304, 323, 402
1558321637214, 899358, 303, 322, 400
1558321637227, 899372, 301, 320, 399
1558321637240, 899385, 300, 314, 396
1558321637253, 899397, 300, 307, 393
1558321637266, 899410, 301, 300, 393
1558321637279, 899424, 303, 296, 392
1558321637292, 899437, 305, 291, 387
1558321637305, 899449, 310, 283, 378
1558321637319, 899463, 312, 281, 379
1558321637331, 899476, 315, 284, 379
1558321637344, 899489, 316, 279, 380
1558321637357, 899502, 318, 283, 381
1558321637371, 899515, 320, 274, 375
1558321637384, 899528, 325, 267, 373
1558321637397, 899542, 330, 268, 377
1558321637410, 899555, 333, 269, 373
1558321637423, 899567, 335, 267, 370
1558321637436, 899580, 336, 270, 373
1558321637449, 899594, 337, 270, 372
1558321637462, 899607, 338, 268, 370
1558321637475, 899619, 338, 263, 369
1558321637488, 899633, 339, 255, 369
1558321637501, 899646, 340, 248, 371
1558321637514, 899659, 341, 247, 377
1558321637528, 899672, 341, 243, 379
1558321637541, 899685, 342, 238, 378
1558321637554, 899698, 343, 232, 379
1558321637567, 899712, 345, 227, 379
1558321637580, 899724, 346, 222, 376
1558321637593, 899737, 345, 215, 373
1558321637606, 899750, 344, 211, 377
1558321637619, 899764, 340, 212, 385
1558321637632, 899776, 336, 207, 386
1558321637645, 899789, 333, 198, 384
1558321637658, 899803, 330, 188, 384
1558321637671, 899816, 324, 180, 384
1558321637683, 899829, 315, 171, 379
1558321637697, 899842, 312, 168, 374
1558321637711, 899855, 308, 167, 377
1558321637723, 899868, 304, 169, 378
1558321637736, 899881, 294, 168, 382
1558321637749, 899894, 282, 173, 391
1558321637763, 899907, 268, 176, 403
1558321637776, 899920, 254, 169, 417
1558321637789, 899934, 242, 172, 432
1558321637801, 899946, 235, 158, 421
1558321637814, 899959, 222, 142, 404
1558321637827, 899973, 198, 144, 396
1558321637841, 899986, 158, 155, 407
1558321637854, 899998, 112, 189, 438
1558321637866, 900012, 77, 232, 480
1558321637879, 900025, 73, 294, 480
1558321637893, 900038, 91, 326, 436
1558321637906, 900050, 110, 331, 415
1558321637919, 900064, 138, 335, 406
1558321637932, 900077, 149, 339, 400
1558321637945, 900090, 156, 353, 400
1558321637958, 900103, 157, 379, 413
1558321637972, 900116, 172, 407, 432
1558321637985, 900129, 190, 422, 447
1558321637997, 900143, 218, 426, 430
1558321638011, 900155, 237, 417, 410
1558321638023, 900168, 255, 402, 402
1558321638036, 900182, 266, 393, 405
1558321638049, 900195, 272, 387, 412
1558321638062, 900207, 280, 386, 415
1558321638075, 900220, 286, 385, 415
1558321638088, 900234, 291, 384, 418
1558321638102, 900247, 297, 386, 425
