Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558321943845, 1205986, 337, 328, 408
1558321943858, 1205998, 337, 328, 407
1558321943871, 1206011, 337, 327, 408
1558321943885, 1206025, 337, 328, 408
1558321943897, 1206038, 337, 327, 407
1558321943910, 1206051, 337, 327, 407
1558321943924, 1206064, 337, 328, 408
1558321943937, 1206077, 336, 329, 409
1558321943950, 1206090, 337, 329, 408
1558321943963, 1206104, 337, 328, 407
1558321943976, 1206117, 337, 328, 407
1558321943989, 1206129, 337, 329, 408
1558321944002, 1206142, 337, 329, 408
1558321944015, 1206156, 337, 328, 407
1558321944028, 1206169, 337, 328, 408
1558321944041, 1206182, 337, 328, 408
1558321944055, 1206195, 337, 328, 408
1558321944068, 1206208, 337, 328, 408
1558321944081, 1206221, 337, 327, 407
1558321944095, 1206235, 337, 328, 407
1558321944107, 1206248, 336, 329, 407
1558321944121, 1206260, 336, 329, 407
1558321944133, 1206274, 336, 328, 407
1558321944147, 1206287, 336, 329, 407
1558321944159, 1206300, 337, 328, 408
1558321944173, 1206313, 337, 329, 409
1558321944187, 1206326, 336, 330, 409
1558321944200, 1206339, 336, 329, 408
1558321944213, 1206352, 336, 329, 407
1558321944225, 1206366, 337, 329, 407
1558321944239, 1206379, 337, 329, 406
1558321944252, 1206391, 337, 329, 405
1558321944265, 1206405, 337, 328, 405
1558321944278, 1206418, 337, 327, 405
1558321944290, 1206431, 337, 327, 404
1558321944304, 1206445, 336, 324, 403
1558321944317, 1206457, 337, 321, 403
1558321944330, 1206470, 337, 316, 403
1558321944343, 1206483, 337, 312, 401
1558321944356, 1206497, 338, 309, 400
1558321944369, 1206510, 339, 303, 398
1558321944382, 1206522, 340, 298, 396
1558321944395, 1206536, 341, 292, 395
1558321944409, 1206549, 341, 287, 393
1558321944422, 1206562, 339, 282, 391
1558321944436, 1206576, 339, 276, 390
1558321944449, 1206588, 336, 271, 394
1558321944462, 1206601, 333, 272, 399
1558321944475, 1206615, 329, 273, 399
1558321944488, 1206628, 326, 272, 397
1558321944501, 1206641, 322, 272, 395
1558321944514, 1206653, 317, 271, 397
1558321944527, 1206667, 313, 278, 404
1558321944540, 1206680, 307, 285, 408
1558321944553, 1206693, 303, 291, 412
1558321944566, 1206707, 297, 298, 418
1558321944579, 1206719, 292, 308, 425
1558321944592, 1206732, 288, 315, 429
1558321944605, 1206746, 286, 321, 433
1558321944618, 1206759, 285, 323, 433
1558321944632, 1206772, 283, 324, 431
1558321944644, 1206785, 280, 329, 431
1558321944657, 1206798, 278, 333, 430
1558321944672, 1206811, 276, 337, 432
1558321944684, 1206824, 275, 341, 434
1558321944698, 1206838, 275, 346, 435
1558321944711, 1206850, 275, 351, 435
1558321944724, 1206863, 275, 354, 434
1558321944736, 1206877, 276, 355, 431
1558321944749, 1206890, 277, 357, 428
1558321944763, 1206903, 280, 358, 427
1558321944775, 1206916, 281, 357, 425
1558321944788, 1206929, 283, 354, 423
1558321944802, 1206942, 285, 351, 421
1558321944815, 1206956, 287, 345, 415
1558321944828, 1206968, 288, 343, 411
1558321944841, 1206981, 288, 342, 408
1558321944854, 1206994, 291, 343, 412
1558321944867, 1207008, 291, 344, 414
1558321944880, 1207021, 292, 345, 418
1558321944893, 1207033, 292, 344, 416
1558321944907, 1207047, 293, 341, 414
1558321944920, 1207060, 294, 337, 410
1558321944933, 1207073, 296, 335, 410
1558321944946, 1207087, 298, 333, 411
1558321944959, 1207099, 299, 332, 409
1558321944972, 1207112, 302, 334, 408
1558321944985, 1207126, 302, 334, 408
1558321944999, 1207139, 304, 339, 414
1558321945011, 1207152, 304, 343, 414
1558321945024, 1207164, 304, 345, 412
1558321945037, 1207178, 306, 346, 408
1558321945051, 1207191, 307, 345, 409
1558321945065, 1207204, 309, 347, 413
1558321945078, 1207218, 310, 346, 412
1558321945091, 1207230, 312, 344, 410
1558321945104, 1207243, 313, 342, 407
1558321945117, 1207257, 315, 340, 405
1558321945129, 1207270, 316, 338, 403
1558321945142, 1207283, 317, 340, 403
1558321945156, 1207296, 319, 339, 403
1558321945170, 1207309, 320, 339, 403
1558321945183, 1207322, 322, 337, 400
1558321945196, 1207335, 323, 337, 396
1558321945209, 1207349, 324, 338, 394
1558321945222, 1207361, 323, 339, 390
1558321945235, 1207374, 323, 338, 385
1558321945247, 1207388, 322, 336, 380
1558321945260, 1207401, 323, 333, 373
1558321945273, 1207414, 326, 326, 365
1558321945286, 1207427, 330, 319, 356
1558321945301, 1207440, 334, 315, 349
1558321945314, 1207453, 337, 312, 346
1558321945327, 1207467, 337, 316, 355
1558321945340, 1207480, 336, 320, 366
1558321945353, 1207492, 336, 323, 372
1558321945366, 1207505, 336, 322, 371
1558321945379, 1207519, 335, 318, 364
1558321945391, 1207532, 335, 311, 359
1558321945404, 1207545, 338, 303, 359
1558321945419, 1207558, 336, 293, 363
1558321945431, 1207571, 337, 287, 371
1558321945444, 1207584, 335, 278, 382
1558321945457, 1207598, 336, 278, 390
1558321945470, 1207611, 339, 279, 390
1558321945483, 1207623, 339, 276, 387
1558321945496, 1207636, 340, 277, 391
1558321945510, 1207650, 342, 279, 397
1558321945522, 1207663, 343, 280, 398
1558321945536, 1207676, 344, 280, 398
1558321945549, 1207689, 346, 277, 402
1558321945563, 1207702, 347, 277, 408
1558321945576, 1207715, 350, 283, 411
1558321945589, 1207729, 351, 287, 412
1558321945601, 1207742, 353, 293, 410
1558321945614, 1207754, 354, 298, 405
1558321945628, 1207768, 356, 305, 402
1558321945641, 1207781, 357, 311, 401
1558321945654, 1207794, 356, 318, 402
1558321945668, 1207808, 355, 324, 408
1558321945681, 1207820, 355, 330, 413
1558321945694, 1207833, 355, 329, 418
1558321945707, 1207846, 355, 323, 419
1558321945719, 1207860, 357, 316, 420
1558321945732, 1207873, 354, 316, 424
1558321945746, 1207885, 351, 313, 429
1558321945759, 1207899, 348, 309, 432
1558321945772, 1207912, 346, 304, 437
1558321945786, 1207925, 345, 302, 440
1558321945799, 1207939, 341, 299, 443
1558321945812, 1207951, 337, 299, 448
