Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558321983346, 1245486, 342, 339, 408
1558321983359, 1245499, 342, 339, 408
1558321983372, 1245512, 342, 339, 408
1558321983385, 1245526, 342, 339, 407
1558321983398, 1245539, 342, 339, 407
1558321983411, 1245551, 342, 339, 407
1558321983425, 1245564, 342, 340, 408
1558321983439, 1245578, 342, 339, 408
1558321983451, 1245591, 342, 339, 407
1558321983464, 1245603, 342, 339, 407
1558321983477, 1245617, 342, 339, 407
1558321983491, 1245630, 342, 339, 408
1558321983503, 1245643, 342, 339, 408
1558321983516, 1245657, 342, 339, 408
1558321983529, 1245669, 342, 339, 407
1558321983543, 1245682, 342, 339, 407
1558321983556, 1245696, 342, 339, 407
1558321983569, 1245709, 343, 339, 408
1558321983583, 1245722, 343, 338, 407
1558321983595, 1245734, 342, 338, 407
1558321983608, 1245748, 342, 338, 407
1558321983622, 1245761, 342, 338, 408
1558321983635, 1245774, 342, 339, 409
1558321983647, 1245788, 342, 339, 408
1558321983661, 1245800, 342, 338, 407
1558321983674, 1245813, 341, 338, 407
1558321983687, 1245827, 342, 336, 407
1558321983701, 1245840, 342, 335, 408
1558321983713, 1245853, 341, 335, 408
1558321983726, 1245865, 341, 331, 410
1558321983739, 1245879, 340, 327, 411
1558321983752, 1245892, 340, 325, 414
1558321983765, 1245905, 343, 322, 414
1558321983778, 1245919, 344, 320, 412
1558321983792, 1245931, 346, 318, 408
1558321983805, 1245944, 347, 317, 404
1558321983818, 1245958, 348, 317, 401
1558321983831, 1245971, 348, 314, 398
1558321983844, 1245984, 349, 311, 396
1558321983857, 1245997, 350, 307, 393
1558321983870, 1246010, 349, 306, 391
1558321983883, 1246023, 348, 306, 392
1558321983896, 1246036, 347, 307, 396
1558321983910, 1246050, 346, 307, 398
1558321983924, 1246062, 347, 305, 399
1558321983936, 1246075, 347, 306, 399
1558321983949, 1246089, 347, 304, 394
1558321983962, 1246102, 346, 303, 392
1558321983976, 1246115, 346, 301, 393
1558321983989, 1246128, 344, 303, 399
1558321984002, 1246141, 341, 308, 405
1558321984015, 1246154, 341, 309, 408
1558321984028, 1246168, 340, 310, 409
1558321984041, 1246181, 340, 312, 408
1558321984055, 1246193, 337, 312, 404
1558321984067, 1246206, 337, 314, 404
1558321984080, 1246220, 333, 316, 407
1558321984093, 1246233, 333, 318, 413
1558321984106, 1246246, 332, 322, 418
1558321984119, 1246259, 329, 325, 417
1558321984132, 1246272, 327, 330, 419
1558321984145, 1246285, 326, 332, 420
1558321984159, 1246299, 325, 333, 418
1558321984172, 1246312, 324, 335, 419
1558321984185, 1246324, 323, 338, 420
1558321984198, 1246338, 320, 341, 419
1558321984211, 1246351, 319, 346, 422
