Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558322045545, 1307684, 348, 342, 406
1558322045558, 1307698, 348, 342, 407
1558322045571, 1307710, 348, 342, 408
1558322045584, 1307723, 347, 342, 407
1558322045598, 1307737, 347, 343, 407
1558322045611, 1307750, 347, 344, 407
1558322045624, 1307763, 348, 344, 407
1558322045637, 1307776, 348, 344, 406
1558322045650, 1307789, 348, 342, 406
1558322045663, 1307802, 348, 341, 406
1558322045676, 1307815, 348, 341, 406
1558322045689, 1307828, 348, 342, 407
1558322045702, 1307841, 348, 342, 407
1558322045715, 1307854, 347, 343, 406
1558322045729, 1307868, 348, 342, 406
1558322045743, 1307881, 348, 342, 406
1558322045755, 1307894, 348, 342, 406
1558322045768, 1307907, 348, 341, 406
1558322045781, 1307920, 348, 342, 406
1558322045795, 1307933, 348, 342, 406
1558322045807, 1307947, 348, 342, 406
1558322045820, 1307959, 348, 344, 406
1558322045833, 1307972, 348, 344, 407
1558322045847, 1307985, 348, 343, 407
1558322045860, 1307999, 348, 343, 407
1558322045873, 1308012, 348, 343, 407
1558322045886, 1308024, 348, 342, 406
1558322045900, 1308038, 348, 341, 406
1558322045912, 1308051, 348, 342, 407
1558322045926, 1308064, 348, 342, 406
1558322045938, 1308078, 348, 341, 405
1558322045951, 1308090, 347, 343, 406
1558322045964, 1308103, 347, 343, 407
1558322045978, 1308116, 348, 342, 407
1558322045991, 1308130, 348, 342, 407
1558322046004, 1308143, 348, 341, 406
1558322046018, 1308155, 348, 341, 405
1558322046030, 1308169, 348, 342, 405
1558322046043, 1308182, 348, 343, 405
1558322046057, 1308195, 348, 343, 405
1558322046070, 1308209, 348, 343, 405
1558322046083, 1308221, 348, 342, 406
1558322046096, 1308234, 347, 342, 406
1558322046109, 1308248, 347, 341, 406
1558322046122, 1308261, 347, 339, 405
1558322046136, 1308274, 347, 337, 404
1558322046149, 1308286, 347, 334, 403
1558322046161, 1308300, 347, 329, 402
1558322046174, 1308313, 348, 326, 401
1558322046188, 1308326, 350, 324, 397
1558322046200, 1308340, 351, 322, 391
1558322046213, 1308352, 351, 321, 388
1558322046227, 1308365, 351, 320, 386
1558322046240, 1308379, 349, 320, 388
1558322046253, 1308392, 347, 320, 390
1558322046266, 1308405, 346, 321, 391
1558322046279, 1308418, 344, 327, 391
1558322046292, 1308431, 344, 331, 392
1558322046305, 1308444, 344, 328, 392
1558322046318, 1308457, 344, 328, 392
1558322046331, 1308471, 342, 333, 398
1558322046345, 1308483, 341, 336, 399
1558322046358, 1308496, 341, 337, 398
1558322046371, 1308510, 340, 340, 398
1558322046384, 1308523, 337, 345, 394
1558322046397, 1308536, 336, 349, 396
1558322046411, 1308549, 333, 351, 401
1558322046423, 1308562, 331, 351, 407
1558322046436, 1308575, 329, 357, 415
1558322046449, 1308589, 327, 359, 416
1558322046462, 1308602, 327, 361, 416
1558322046476, 1308614, 326, 361, 413
1558322046489, 1308627, 324, 361, 411
1558322046502, 1308641, 322, 359, 412
1558322046515, 1308654, 320, 362, 417
1558322046528, 1308667, 317, 363, 423
1558322046541, 1308680, 316, 366, 427
1558322046555, 1308693, 314, 368, 429
1558322046567, 1308706, 312, 372, 432
1558322046580, 1308720, 310, 374, 436
1558322046594, 1308733, 308, 376, 439
1558322046607, 1308745, 306, 380, 442
1558322046620, 1308759, 305, 382, 446
1558322046634, 1308772, 305, 383, 448
1558322046646, 1308785, 306, 382, 447
1558322046659, 1308798, 307, 381, 444
1558322046672, 1308811, 309, 379, 440
1558322046685, 1308824, 310, 377, 435
1558322046699, 1308837, 312, 373, 429
1558322046712, 1308851, 314, 372, 425
1558322046725, 1308864, 315, 371, 422
1558322046738, 1308876, 316, 372, 420
1558322046751, 1308890, 317, 373, 417
1558322046764, 1308903, 318, 375, 415
1558322046777, 1308916, 319, 376, 414
1558322046790, 1308930, 320, 376, 410
1558322046803, 1308942, 322, 376, 406
1558322046816, 1308955, 323, 376, 401
1558322046829, 1308968, 323, 376, 399
1558322046843, 1308982, 324, 375, 396
1558322046856, 1308995, 326, 373, 393
1558322046869, 1309007, 328, 371, 388
1558322046883, 1309021, 329, 368, 384
1558322046896, 1309034, 331, 367, 384
1558322046909, 1309047, 332, 362, 383
1558322046921, 1309061, 333, 359, 382
1558322046935, 1309073, 335, 356, 378
1558322046948, 1309086, 336, 352, 375
1558322046960, 1309100, 337, 348, 374
1558322046975, 1309113, 338, 346, 376
1558322046987, 1309126, 339, 346, 376
1558322047000, 1309138, 339, 344, 374
1558322047013, 1309152, 340, 343, 372
1558322047026, 1309165, 341, 340, 370
1558322047039, 1309178, 341, 336, 369
1558322047052, 1309192, 342, 331, 368
1558322047066, 1309204, 343, 325, 366
1558322047079, 1309217, 344, 321, 365
1558322047093, 1309231, 346, 317, 363
1558322047106, 1309244, 348, 313, 361
1558322047118, 1309257, 349, 312, 362
1558322047131, 1309270, 349, 312, 367
1558322047145, 1309283, 350, 310, 372
1558322047158, 1309296, 351, 307, 373
1558322047171, 1309309, 351, 305, 372
1558322047184, 1309323, 351, 304, 372
1558322047197, 1309335, 351, 301, 374
1558322047210, 1309348, 350, 301, 378
1558322047223, 1309362, 348, 306, 383
1558322047236, 1309375, 349, 309, 387
1558322047249, 1309388, 350, 311, 391
1558322047263, 1309401, 349, 313, 395
1558322047276, 1309414, 349, 312, 399
1558322047289, 1309427, 346, 309, 400
1558322047302, 1309441, 345, 305, 402
1558322047314, 1309454, 342, 305, 410
1558322047328, 1309466, 341, 307, 419
1558322047341, 1309479, 342, 309, 427
1558322047354, 1309493, 344, 305, 429
1558322047367, 1309506, 344, 302, 429
1558322047380, 1309519, 343, 300, 427
1558322047393, 1309532, 342, 298, 424
1558322047407, 1309545, 341, 300, 422
1558322047419, 1309558, 343, 302, 424
1558322047432, 1309572, 342, 308, 429
1558322047446, 1309585, 340, 311, 434
1558322047459, 1309597, 338, 311, 433
1558322047472, 1309611, 337, 309, 430
1558322047485, 1309624, 335, 305, 424
1558322047498, 1309637, 335, 306, 421
1558322047511, 1309650, 332, 316, 426
1558322047524, 1309663, 329, 326, 432
1558322047538, 1309676, 327, 334, 436
1558322047550, 1309689, 325, 336, 431
1558322047563, 1309703, 327, 334, 422
1558322047578, 1309716, 327, 328, 415
1558322047590, 1309728, 328, 323, 408
1558322047603, 1309742, 327, 326, 404
1558322047616, 1309755, 323, 332, 403
1558322047629, 1309768, 321, 343, 406
1558322047643, 1309780, 317, 350, 413
1558322047656, 1309794, 315, 351, 415
1558322047668, 1309807, 315, 355, 414
1558322047681, 1309820, 314, 357, 409
1558322047694, 1309834, 315, 351, 405
1558322047709, 1309847, 314, 347, 397
1558322047722, 1309859, 315, 351, 390
1558322047735, 1309873, 313, 357, 390
1558322047747, 1309886, 311, 365, 395
1558322047760, 1309899, 309, 365, 398
1558322047773, 1309913, 309, 359, 401
1558322047787, 1309925, 308, 358, 397
1558322047800, 1309938, 307, 356, 395
1558322047813, 1309952, 306, 356, 394
1558322047827, 1309965, 304, 360, 395
1558322047839, 1309978, 303, 364, 398
1558322047852, 1309990, 301, 373, 399
1558322047865, 1310004, 300, 368, 403
1558322047878, 1310017, 301, 363, 402
1558322047891, 1310030, 301, 363, 396
1558322047904, 1310044, 300, 364, 392
1558322047917, 1310056, 301, 362, 394
1558322047930, 1310069, 300, 360, 399
1558322047944, 1310083, 298, 362, 405
1558322047957, 1310096, 298, 358, 411
1558322047970, 1310109, 298, 354, 415
1558322047983, 1310121, 299, 350, 411
1558322047996, 1310135, 300, 351, 406
1558322048009, 1310148, 300, 353, 403
1558322048022, 1310161, 297, 352, 408
1558322048035, 1310175, 296, 355, 417
1558322048048, 1310187, 295, 357, 421
1558322048062, 1310200, 293, 356, 420
1558322048076, 1310214, 296, 356, 418
1558322048088, 1310227, 297, 359, 422
1558322048101, 1310240, 294, 357, 426
1558322048114, 1310253, 295, 360, 427
1558322048127, 1310266, 294, 360, 428
1558322048140, 1310279, 295, 356, 429
1558322048153, 1310292, 296, 353, 432
1558322048166, 1310306, 297, 352, 432
1558322048180, 1310318, 298, 353, 433
1558322048193, 1310331, 298, 353, 435
1558322048207, 1310345, 299, 352, 435
1558322048220, 1310358, 299, 349, 435
1558322048233, 1310371, 301, 345, 436
1558322048245, 1310384, 301, 340, 440
1558322048259, 1310397, 303, 334, 443
1558322048271, 1310410, 304, 330, 443
1558322048284, 1310424, 306, 325, 444
1558322048297, 1310437, 308, 321, 444
1558322048311, 1310449, 309, 318, 445
1558322048325, 1310462, 311, 316, 447
1558322048337, 1310476, 312, 316, 446
1558322048350, 1310489, 314, 314, 443
1558322048364, 1310502, 315, 313, 437
1558322048376, 1310515, 317, 311, 432
1558322048389, 1310528, 318, 307, 429
1558322048402, 1310541, 320, 307, 426
1558322048415, 1310555, 321, 306, 420
1558322048429, 1310568, 323, 305, 415
1558322048443, 1310580, 324, 305, 410
1558322048456, 1310594, 325, 305, 404
1558322048468, 1310607, 326, 307, 397
1558322048482, 1310620, 327, 311, 389
1558322048494, 1310633, 328, 314, 383
1558322048508, 1310646, 329, 316, 375
1558322048521, 1310659, 331, 319, 367
1558322048534, 1310672, 332, 320, 362
1558322048548, 1310686, 333, 320, 363
1558322048560, 1310699, 332, 321, 366
1558322048573, 1310711, 331, 320, 375
1558322048586, 1310725, 330, 325, 384
1558322048599, 1310738, 328, 330, 388
1558322048612, 1310751, 329, 333, 388
1558322048625, 1310765, 330, 337, 385
1558322048638, 1310777, 331, 339, 380
1558322048651, 1310790, 332, 340, 378
1558322048664, 1310803, 333, 339, 381
1558322048678, 1310817, 334, 340, 388
1558322048691, 1310830, 334, 340, 395
1558322048704, 1310842, 333, 340, 399
1558322048717, 1310856, 334, 338, 403
1558322048730, 1310869, 335, 336, 405
1558322048743, 1310882, 335, 335, 406
1558322048756, 1310896, 336, 332, 403
1558322048769, 1310908, 337, 331, 403
1558322048782, 1310921, 336, 329, 407
1558322048795, 1310935, 337, 329, 409
1558322048809, 1310948, 337, 331, 410
1558322048822, 1310960, 338, 332, 409
1558322048836, 1310973, 338, 333, 409
1558322048849, 1310987, 338, 334, 409
1558322048862, 1311000, 339, 335, 408
1558322048875, 1311013, 340, 335, 405
1558322048888, 1311026, 341, 334, 404
1558322048901, 1311039, 341, 333, 404
1558322048914, 1311052, 341, 333, 407
1558322048927, 1311066, 340, 334, 408
1558322048941, 1311079, 340, 334, 408
1558322048954, 1311091, 341, 333, 406
1558322048966, 1311105, 341, 331, 403
1558322048980, 1311118, 341, 331, 404
1558322048993, 1311131, 341, 331, 406
1558322049005, 1311144, 341, 333, 406
1558322049019, 1311157, 341, 333, 407
1558322049032, 1311170, 340, 333, 410
1558322049045, 1311183, 340, 334, 410
1558322049058, 1311197, 340, 335, 409
1558322049071, 1311210, 340, 336, 409
