Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558322113876, 1376014, 343, 331, 408
1558322113889, 1376026, 343, 331, 407
1558322113902, 1376039, 343, 332, 407
1558322113915, 1376053, 343, 331, 407
1558322113928, 1376066, 343, 331, 407
1558322113941, 1376078, 343, 331, 407
1558322113954, 1376092, 343, 330, 406
1558322113968, 1376105, 343, 331, 408
1558322113981, 1376118, 343, 332, 408
1558322113993, 1376132, 342, 331, 408
1558322114006, 1376144, 342, 331, 407
1558322114020, 1376157, 342, 331, 408
1558322114034, 1376171, 342, 332, 409
1558322114046, 1376184, 342, 332, 409
1558322114060, 1376197, 342, 332, 409
1558322114072, 1376209, 343, 332, 408
1558322114085, 1376223, 343, 332, 407
1558322114098, 1376236, 343, 332, 406
1558322114111, 1376249, 343, 331, 407
1558322114124, 1376263, 343, 331, 408
1558322114137, 1376275, 343, 331, 408
1558322114151, 1376288, 343, 331, 409
1558322114164, 1376302, 343, 331, 409
1558322114177, 1376315, 343, 330, 408
1558322114191, 1376328, 343, 330, 407
1558322114203, 1376340, 343, 330, 407
1558322114216, 1376354, 344, 330, 407
1558322114229, 1376367, 343, 330, 407
1558322114243, 1376380, 343, 331, 406
1558322114256, 1376394, 343, 332, 406
1558322114268, 1376406, 343, 332, 406
1558322114282, 1376419, 343, 332, 406
1558322114295, 1376433, 343, 333, 408
1558322114308, 1376446, 343, 334, 409
1558322114321, 1376459, 341, 337, 410
1558322114334, 1376472, 340, 338, 410
1558322114348, 1376485, 338, 341, 409
1558322114361, 1376498, 335, 345, 409
1558322114373, 1376512, 333, 354, 411
1558322114387, 1376525, 332, 369, 416
1558322114400, 1376537, 331, 382, 422
1558322114413, 1376550, 330, 398, 428
1558322114426, 1376564, 325, 402, 433
1558322114439, 1376577, 321, 382, 430
1558322114452, 1376590, 323, 368, 423
1558322114465, 1376603, 322, 367, 417
1558322114479, 1376616, 323, 367, 417
1558322114492, 1376629, 324, 367, 420
1558322114505, 1376643, 324, 360, 420
1558322114519, 1376656, 323, 354, 420
1558322114531, 1376668, 322, 343, 417
1558322114544, 1376681, 323, 329, 414
1558322114558, 1376695, 324, 318, 411
1558322114570, 1376708, 327, 309, 404
1558322114583, 1376721, 329, 301, 395
1558322114596, 1376734, 333, 291, 387
1558322114609, 1376747, 337, 280, 383
1558322114622, 1376760, 340, 268, 382
1558322114635, 1376774, 344, 261, 384
1558322114649, 1376787, 347, 255, 391
1558322114663, 1376799, 349, 256, 396
1558322114675, 1376813, 350, 255, 395
1558322114689, 1376826, 351, 254, 393
