Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558321711292, 973435, 341, 334, 407
1558321711305, 973449, 341, 334, 407
1558321711318, 973461, 340, 334, 408
1558321711331, 973474, 340, 334, 408
1558321711344, 973488, 340, 334, 409
1558321711356, 973501, 340, 334, 408
1558321711369, 973513, 340, 333, 407
1558321711383, 973527, 341, 333, 407
1558321711396, 973540, 341, 333, 406
1558321711409, 973553, 341, 332, 406
1558321711422, 973565, 341, 332, 406
1558321711436, 973579, 341, 333, 407
1558321711448, 973592, 341, 333, 407
1558321711461, 973605, 341, 333, 406
1558321711475, 973618, 341, 333, 407
1558321711488, 973631, 341, 333, 405
1558321711500, 973644, 341, 333, 404
1558321711514, 973658, 341, 335, 403
1558321711527, 973670, 341, 335, 401
1558321711539, 973683, 341, 337, 400
1558321711552, 973697, 340, 337, 398
1558321711566, 973710, 338, 339, 394
1558321711580, 973723, 336, 340, 388
1558321711593, 973735, 334, 341, 382
1558321711606, 973749, 331, 343, 375
1558321711619, 973762, 327, 345, 373
1558321711631, 973775, 322, 350, 375
1558321711645, 973788, 317, 355, 377
1558321711658, 973801, 310, 357, 377
1558321711671, 973814, 302, 363, 379
1558321711684, 973828, 295, 368, 376
1558321711697, 973840, 288, 367, 376
1558321711710, 973853, 281, 366, 376
1558321711723, 973867, 274, 361, 376
1558321711736, 973880, 271, 352, 382
1558321711748, 973892, 265, 339, 385
1558321711762, 973905, 261, 327, 385
1558321711775, 973919, 258, 308, 391
1558321711789, 973932, 259, 295, 395
1558321711801, 973944, 264, 281, 390
1558321711814, 973958, 267, 271, 380
1558321711827, 973971, 273, 267, 369
1558321711841, 973984, 276, 266, 365
1558321711853, 973998, 275, 270, 364
1558321711866, 974010, 271, 273, 366
1558321711879, 974023, 265, 271, 367
1558321711892, 974036, 265, 264, 368
1558321711905, 974050, 262, 259, 365
1558321711918, 974062, 261, 255, 355
1558321711932, 974075, 261, 249, 351
1558321711944, 974089, 265, 241, 347
1558321711957, 974102, 269, 240, 343
1558321711971, 974114, 270, 247, 340
1558321711984, 974128, 269, 255, 340
1558321711997, 974141, 266, 264, 344
1558321712010, 974154, 265, 273, 348
1558321712024, 974167, 264, 272, 347
1558321712036, 974180, 263, 269, 349
1558321712049, 974193, 263, 271, 350
1558321712062, 974206, 260, 274, 356
