Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589593883233, 12011, -1696, -6960, -192
1589593883245, 12022, -1776, -7056, -208
1589593883255, 12033, -1760, -6992, 432
1589593883266, 12044, -1776, -7088, 1248
1589593883277, 12055, -1488, -7408, 1824
1589593883289, 12066, -1344, -7968, 2064
1589593883300, 12077, -1184, -8272, 1888
1589593883310, 12088, -1120, -8368, 1568
1589593883322, 12099, -960, -8288, 1184
1589593883332, 12110, -880, -8224, 1088
1589593883343, 12121, -832, -8240, 912
1589593883353, 12132, -768, -8224, 704
1589593883365, 12143, -736, -8272, 592
1589593883376, 12154, -704, -8256, 400
1589593883388, 12165, -784, -8272, 192
1589593883398, 12176, -720, -8224, 16
1589593883409, 12187, -848, -8160, 32
1589593883421, 12198, -912, -7840, 160
1589593883431, 12209, -992, -7520, 400
1589593883443, 12220, -1024, -7344, 928
1589593883453, 12231, -992, -7408, 1168
1589593883464, 12242, -1040, -7680, 1280
1589593883475, 12253, -976, -7840, 1184
1589593883486, 12264, -960, -7984, 1056
1589593883498, 12275, -912, -7936, 928
1589593883508, 12286, -832, -7920, 912
1589593883520, 12297, -848, -7952, 912
1589593883530, 12308, -832, -7936, 880
1589593883541, 12319, -752, -7760, 912
1589593883552, 12330, -784, -7680, 928
1589593883562, 12341, -800, -7600, 848
1589593883574, 12352, -704, -7648, 1120
1589593883586, 12363, -800, -7728, 1104
1589593883596, 12374, -672, -7728, 1104
1589593883608, 12385, -656, -7632, 1232
1589593883618, 12396, -448, -7696, 1216
1589593883630, 12407, -256, -7728, 1296
1589593883640, 12418, -144, -7664, 1472
1589593883651, 12429, 432, -7632, 1936
1589593883661, 12440, 816, -7776, 2816
1589593883673, 12451, 976, -8176, 3488
1589593883684, 12462, 992, -8592, 4288
1589593883696, 12473, 736, -9056, 5472
1589593883706, 12484, 672, -9312, 6384
1589593883717, 12495, -112, -9280, 7200
1589593883729, 12506, -512, -9072, 7968
1589593883740, 12517, -896, -8768, 8304
1589593883750, 12528, -1376, -8688, 8464
1589593883761, 12539, -2032, -8528, 7968
1589593883773, 12550, -2416, -8592, 7360
1589593883784, 12561, -2848, -8672, 6384
1589593883794, 12572, -3312, -8528, 4704
1589593883806, 12583, -3584, -8512, 3440
1589593883817, 12594, -3856, -8592, 2064
1589593883827, 12605, -4224, -8368, 640
1589593883838, 12616, -4544, -7872, -176
1589593883849, 12627, -4688, -7200, -800
1589593883861, 12638, -4784, -6512, -1232
1589593883871, 12649, -5248, -6288, -1600
1589593883882, 12660, -5376, -6240, -1840
1589593883894, 12671, -5472, -6304, -2128
1589593883904, 12682, -5488, -6368, -2432
1589593883916, 12693, -5440, -6560, -2672
1589593883927, 12704, -5440, -6800, -2656
1589593883938, 12715, -5024, -7040, -2512
1589593883949, 12726, -4960, -7136, -2256
1589593883959, 12737, -4896, -7008, -2416
1589593883970, 12748, -4400, -6864, -2608
1589593883982, 12759, -4048, -6896, -2528
1589593883993, 12770, -3808, -7056, -2192
1589593884004, 12781, -3664, -7056, -1760
1589593884015, 12792, -3312, -6912, -1808
1589593884025, 12803, -3104, -6656, -1968
1589593884036, 12814, -2944, -6368, -2160
1589593884048, 12825, -2576, -6336, -2208
1589593884059, 12836, -2496, -6608, -2000
1589593884069, 12847, -2464, -6832, -1856
1589593884081, 12858, -2368, -7152, -2192
1589593884091, 12869, -2512, -7296, -2608
1589593884102, 12880, -2640, -7568, -2880
1589593884114, 12891, -2544, -7840, -3536
1589593884125, 12902, -2464, -7904, -3952
1589593884135, 12913, -2496, -8144, -4048
1589593884146, 12924, -2688, -8400, -4032
1589593884157, 12935, -3376, -8720, -4352
1589593884168, 12946, -3792, -8512, -4432
1589593884180, 12957, -3904, -8240, -4080
1589593884191, 12968, -4112, -8176, -4064
1589593884202, 12979, -4656, -8160, -3872
1589593884212, 12990, -5280, -7984, -3888
1589593884223, 13001, -5632, -6800, -3552
1589593884234, 13012, -5776, -7104, -3440
1589593884246, 13023, -5648, -7232, -3584
1589593884256, 13034, -6112, -7456, -3840
1589593884268, 13045, -6640, -7008, -3808
1589593884278, 13056, -6768, -6688, -3408
1589593884290, 13067, -6896, -6720, -3040
1589593884300, 13078, -7328, -7008, -2656
1589593884311, 13089, -7936, -7248, -2448
1589593884323, 13100, -8192, -7440, -2112
1589593884334, 13111, -8240, -7424, -2128
1589593884344, 13122, -8256, -7440, -2208
1589593884356, 13133, -8304, -7744, -2144
1589593884366, 13144, -8384, -8176, -2352
1589593884378, 13155, -9264, -8544, -2176
1589593884388, 13166, -9712, -8784, -1936
1589593884400, 13177, -9792, -8944, -1504
1589593884411, 13188, -10000, -9152, -1104
1589593884421, 13199, -10400, -9408, -368
1589593884433, 13210, -10528, -8896, 448
1589593884443, 13221, -10656, -7888, 1968
1589593884454, 13232, -9360, -6912, 3216
1589593884466, 13243, -8368, -6416, 3888
1589593884477, 13254, -8256, -6640, 4336
1589593884487, 13265, -8240, -6800, 5248
1589593884499, 13276, -8544, -6560, 6160
1589593884509, 13287, -8304, -5968, 7344
1589593884521, 13298, -8064, -4832, 8144
1589593884531, 13309, -7616, -3952, 8464
1589593884542, 13320, -6736, -3456, 8080
1589593884553, 13331, -6592, -3968, 6736
1589593884564, 13342, -6048, -5232, 5696
1589593884575, 13353, -6320, -6384, 5072
1589593884586, 13364, -6272, -7568, 5728
1589593884597, 13375, -6976, -8256, 5744
1589593884609, 13386, -7584, -7408, 9312
1589593884619, 13397, -7456, -6272, 10192
1589593884630, 13408, -6144, -5920, 9392
