Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589593978966, 107744, 2320, -6976, 4832
1589593978977, 107755, 2224, -7152, 4912
1589593978989, 107766, 2208, -7296, 4784
1589593978999, 107777, 2656, -7952, 4720
1589593979012, 107788, 2880, -8208, 4816
1589593979022, 107799, 2896, -8112, 4912
1589593979033, 107810, 2944, -7408, 5104
1589593979044, 107821, 2624, -6784, 5056
1589593979054, 107832, 2608, -6432, 4848
1589593979065, 107843, 2576, -6288, 4592
1589593979076, 107854, 2992, -6752, 4288
1589593979088, 107865, 3024, -6992, 4336
1589593979098, 107876, 3024, -7056, 4432
1589593979110, 107887, 3200, -7088, 4592
1589593979120, 107898, 3120, -7152, 4896
1589593979132, 107909, 3088, -6944, 5024
1589593979143, 107920, 3280, -6736, 4960
1589593979154, 107931, 3296, -6112, 4848
1589593979164, 107942, 3312, -5424, 4576
1589593979176, 107953, 3440, -5024, 4336
1589593979187, 107964, 4016, -5072, 3904
1589593979198, 107975, 4384, -5232, 3328
1589593979208, 107986, 4592, -5392, 3120
1589593979219, 107997, 4368, -5008, 3456
1589593979231, 108008, 4000, -4608, 3776
1589593979242, 108019, 3888, -4352, 3856
1589593979253, 108030, 3920, -4176, 3872
1589593979263, 108041, 4048, -4000, 3792
1589593979275, 108052, 4096, -3488, 3632
1589593979285, 108063, 4224, -3088, 3248
1589593979296, 108074, 4784, -3056, 2784
1589593979308, 108085, 5568, -3632, 2272
1589593979318, 108096, 5824, -4192, 2016
1589593979330, 108107, 6144, -4416, 2048
1589593979341, 108118, 5936, -4272, 2672
1589593979352, 108129, 5808, -4032, 3136
1589593979363, 108140, 5712, -4048, 3296
1589593979374, 108151, 6096, -4096, 2960
1589593979385, 108162, 6256, -4304, 2640
1589593979395, 108173, 6896, -4128, 2448
1589593979407, 108184, 6848, -3680, 2384
1589593979418, 108195, 6768, -3264, 2160
1589593979428, 108206, 6768, -3200, 2224
1589593979440, 108217, 6304, -3248, 2560
1589593979451, 108228, 6352, -2720, 3056
1589593979462, 108239, 6544, -1888, 4000
1589593979473, 108250, 6480, -1808, 4544
1589593979483, 108261, 6928, -1888, 4624
1589593979495, 108272, 7392, -2016, 4080
1589593979506, 108283, 7536, -2112, 3632
1589593979517, 108294, 7584, -2016, 3456
1589593979528, 108305, 7648, -1792, 3136
1589593979539, 108316, 7584, -1744, 3056
1589593979550, 108327, 6960, -1168, 3328
1589593979561, 108338, 6624, -192, 3904
1589593979571, 108349, 6416, 1392, 4688
1589593979582, 108360, 5568, 2512, 5248
1589593979593, 108371, 5648, 3184, 4752
1589593979604, 108382, 5616, 3920, 4608
1589593979615, 108393, 5584, 3840, 4816
1589593979627, 108404, 5696, 3056, 4640
1589593979637, 108415, 5728, 3088, 4288
1589593979648, 108426, 4672, 3760, 4320
1589593979660, 108437, 4016, 5488, 4944
1589593979671, 108448, 3632, 7008, 5632
1589593979682, 108459, 3264, 8144, 5840
1589593979693, 108470, 3120, 8688, 5680
1589593979704, 108481, 3440, 8368, 5504
1589593979715, 108492, 3408, 7936, 5344
1589593979725, 108503, 3472, 7680, 5056
1589593979737, 108514, 3424, 7648, 4848
1589593979748, 108525, 3168, 8208, 4624
1589593979758, 108536, 2960, 9008, 5104
1589593979769, 108547, 2352, 9904, 5952
1589593979780, 108558, 1568, 10992, 6688
1589593979792, 108569, 1440, 12128, 7344
1589593979802, 108580, 16, 11888, 6528
1589593979814, 108591, -2336, 13152, 8160
1589593979824, 108602, -2656, 15120, 8448
1589593979836, 108613, -3344, 17264, 9552
1589593979847, 108624, -4032, 18112, 9680
1589593979858, 108635, -4048, 17152, 10208
1589593979868, 108646, -4656, 14992, 9008
1589593979880, 108657, -4512, 11856, 7792
1589593979891, 108668, -4720, 9408, 6496
1589593979901, 108679, -4768, 7456, 5344
1589593979913, 108690, -5776, 5504, 5648
1589593979924, 108701, -5552, 4832, 4704
1589593979934, 108712, -5328, 6960, 9088
1589593979945, 108723, -8160, 4576, 7296
1589593979957, 108734, -8720, -368, 848
1589593979968, 108745, -8256, -1184, 1536
1589593979979, 108756, -9776, -5136, -1232
1589593979989, 108767, -10272, -6688, 0
1589593980000, 108778, -10832, -8448, 720
1589593980012, 108789, -10992, -10384, 2960
1589593980023, 108800, -11888, -10176, 2256
1589593980034, 108811, -10384, -10016, 2704
1589593980046, 108822, -10240, -10512, 944
1589593980056, 108833, -8608, -11152, -320
1589593980067, 108844, -8560, -10816, 1952
1589593980078, 108855, -8640, -12000, 3424
1589593980089, 108866, -7280, -13136, 3632
1589593980100, 108877, -6672, -13072, 3296
1589593980110, 108888, -6432, -12288, 3264
1589593980122, 108899, -6528, -10912, 4128
1589593980133, 108910, -7456, -10032, 4832
1589593980143, 108921, -7056, -10976, 4512
1589593980155, 108932, -6272, -12704, 4384
1589593980166, 108943, -4480, -13920, 3776
1589593980176, 108954, -3456, -16080, 448
1589593980188, 108965, -3696, -15312, 3344
1589593980199, 108976, -4080, -16304, 4784
1589593980210, 108987, -4480, -15744, 7632
1589593980221, 108998, -4288, -15408, 8720
