Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589594255266, 384042, 32, -256, 7952
1589594255276, 384053, 96, -192, 7776
1589594255288, 384064, 64, -320, 7904
1589594255298, 384075, 96, -352, 7872
1589594255311, 384086, 96, -288, 7888
1589594255321, 384097, 80, -208, 7904
1589594255331, 384108, 128, -192, 7984
1589594255343, 384119, 64, -176, 7952
1589594255354, 384130, 64, -208, 7968
1589594255364, 384141, 80, -272, 8032
1589594255377, 384152, 64, -240, 7920
1589594255386, 384163, 32, -288, 8000
1589594255398, 384174, 64, -368, 7952
1589594255410, 384185, 48, -368, 7904
1589594255419, 384196, 80, -400, 8112
1589594255431, 384207, 0, -304, 8192
1589594255442, 384218, -48, -208, 8176
1589594255453, 384229, -16, -192, 8240
1589594255464, 384240, 16, -208, 8160
1589594255474, 384251, 48, -272, 8176
1589594255486, 384262, -32, -240, 8064
1589594255497, 384273, -16, -256, 8096
1589594255509, 384284, 16, -272, 8032
1589594255519, 384295, 48, -320, 8000
1589594255531, 384306, 32, -288, 8032
1589594255541, 384317, 64, -368, 8080
1589594255552, 384328, -64, -272, 8032
1589594255563, 384339, 80, -224, 7920
1589594255574, 384350, 0, -224, 8080
1589594255585, 384361, 32, -272, 8080
1589594255596, 384372, -48, -336, 8048
1589594255607, 384383, -16, -288, 7968
1589594255617, 384394, 64, -304, 8016
1589594255628, 384405, 32, -352, 8016
1589594255639, 384416, 16, -336, 7904
1589594255651, 384427, -16, -304, 7936
1589594255662, 384438, -32, -368, 7984
1589594255673, 384449, 16, -336, 8000
1589594255684, 384460, 32, -304, 7984
1589594255694, 384471, 32, -320, 8032
1589594255705, 384482, 0, -320, 7984
1589594255717, 384493, -32, -400, 7984
1589594255728, 384504, -64, -352, 8048
1589594255739, 384515, -128, -240, 8064
1589594255750, 384526, -80, -304, 8064
1589594255760, 384537, -96, -368, 8032
1589594255772, 384548, -64, -336, 8048
1589594255782, 384559, -48, -336, 7920
1589594255794, 384570, -16, -368, 7952
1589594255804, 384581, -48, -432, 7904
1589594255816, 384592, 0, -416, 7744
1589594255827, 384603, -32, -416, 7760
1589594255838, 384614, 128, -416, 7904
1589594255848, 384625, 144, -272, 8080
1589594255860, 384636, 80, -272, 8144
1589594255871, 384647, 144, -496, 8304
