Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589593915639, 44417, -2640, -7152, 2160
1589593915650, 44428, -2624, -7136, 2128
1589593915662, 44439, -2656, -7136, 2160
1589593915673, 44450, -2672, -7088, 2144
1589593915684, 44461, -2608, -7264, 2128
1589593915695, 44472, -2544, -7280, 2000
1589593915705, 44483, -2512, -7328, 2112
1589593915717, 44494, -2528, -7328, 2000
1589593915728, 44505, -2544, -7344, 2032
1589593915738, 44516, -2592, -7232, 2016
1589593915750, 44527, -2576, -7216, 1920
1589593915761, 44538, -2560, -7184, 1920
1589593915771, 44549, -2480, -7152, 1824
1589593915782, 44560, -2512, -7168, 1872
1589593915793, 44571, -2592, -7200, 1888
1589593915804, 44582, -2528, -7216, 1792
1589593915816, 44593, -2544, -7232, 1856
1589593915826, 44604, -2464, -7264, 1744
1589593915837, 44615, -2544, -7264, 1792
1589593915849, 44626, -2608, -7200, 1792
1589593915859, 44637, -2560, -7136, 1904
1589593915870, 44648, -2544, -7104, 1680
1589593915882, 44659, -2672, -7216, 1632
1589593915893, 44670, -2704, -7280, 1504
1589593915904, 44681, -2800, -7248, 1552
1589593915914, 44692, -2960, -7312, 1408
1589593915925, 44703, -3264, -7296, 1248
1589593915936, 44714, -3248, -7280, 1024
1589593915948, 44725, -3184, -7296, 624
1589593915958, 44736, -3040, -7456, 112
1589593915970, 44747, -2880, -7520, -576
1589593915980, 44758, -2768, -7760, -1264
1589593915991, 44769, -2688, -8016, -2272
1589593916003, 44780, -2752, -8288, -2928
1589593916014, 44791, -2832, -8624, -3584
1589593916024, 44802, -2848, -8992, -4112
1589593916035, 44813, -2960, -9120, -4016
1589593916046, 44824, -3040, -9088, -3776
1589593916058, 44835, -3072, -8944, -2816
1589593916069, 44846, -3504, -8544, -1888
1589593916080, 44857, -3680, -8256, -1152
1589593916090, 44868, -3712, -7984, -848
1589593916101, 44879, -3920, -7888, -800
1589593916113, 44890, -3904, -7696, -864
1589593916124, 44901, -3904, -7520, -592
1589593916134, 44912, -3920, -7520, -432
1589593916145, 44923, -3728, -7696, -592
1589593916157, 44934, -3824, -7856, -624
1589593916167, 44945, -3984, -7872, -432
1589593916179, 44956, -4128, -7888, -208
1589593916189, 44967, -4400, -7696, 320
1589593916200, 44978, -4416, -7456, 880
1589593916212, 44989, -4400, -7088, 1856
1589593916222, 45000, -4688, -6784, 2768
1589593916233, 45011, -4608, -6640, 3040
1589593916245, 45022, -4592, -6128, 2784
1589593916256, 45033, -4416, -6080, 2544
1589593916267, 45044, -4416, -6256, 2496
1589593916277, 45055, -4448, -6448, 2912
1589593916289, 45066, -4368, -6224, 3424
1589593916300, 45077, -4448, -5920, 3792
1589593916311, 45088, -4480, -5312, 4224
1589593916322, 45099, -4704, -4912, 4576
1589593916332, 45110, -4848, -4432, 5088
1589593916343, 45121, -4896, -4224, 5392
1589593916355, 45132, -4736, -4416, 5696
1589593916366, 45143, -4672, -4848, 5968
1589593916377, 45154, -4400, -5216, 6048
1589593916387, 45165, -4240, -5600, 6096
1589593916399, 45176, -4208, -5680, 5856
1589593916410, 45187, -4160, -5616, 5744
1589593916420, 45198, -4160, -5568, 5632
1589593916432, 45209, -4224, -5360, 5424
1589593916443, 45220, -4128, -5136, 5312
1589593916454, 45231, -4000, -4976, 5056
1589593916464, 45242, -3920, -5120, 4992
1589593916476, 45253, -3936, -5520, 5024
1589593916486, 45264, -3952, -6112, 4944
1589593916498, 45275, -3888, -6432, 5040
1589593916509, 45286, -4912, -6336, 5424
1589593916519, 45297, -5808, -5984, 6256
1589593916530, 45308, -6016, -5024, 7280
1589593916542, 45319, -7680, -4288, 8096
1589593916552, 45330, -8560, -3824, 9520
1589593916564, 45341, -8752, -4016, 10816
1589593916575, 45352, -10288, -4208, 12256
1589593916586, 45363, -11488, -4880, 14208
1589593916597, 45374, -13472, -4560, 15024
1589593916608, 45385, -14512, -3296, 15584
1589593916618, 45396, -15216, -2208, 16256
1589593916630, 45407, -16592, -2080, 15952
1589593916641, 45418, -18272, -1984, 14304
1589593916652, 45429, -19360, -2800, 11248
1589593916662, 45440, -20032, -4560, 8592
1589593916674, 45451, -21312, -7072, 6256
1589593916684, 45462, -21664, -9424, 5232
1589593916695, 45473, -23040, -10544, 4880
1589593916707, 45484, -24112, -11312, 4448
1589593916718, 45495, -24192, -12800, 800
1589593916729, 45506, -23472, -15728, -3216
1589593916740, 45517, -21520, -18528, -6640
1589593916751, 45528, -20768, -18976, -7776
1589593916762, 45539, -14176, -19344, -7728
1589593916773, 45550, -14016, -18480, -5872
1589593916783, 45561, -13552, -14256, -2720
1589593916795, 45572, -9760, -9488, -432
1589593916806, 45583, -10080, -6288, 736
1589593916817, 45594, -10128, -4576, 560
1589593916828, 45605, -10608, -4880, -1168
1589593916838, 45616, -8720, -6688, 640
1589593916849, 45627, -8112, -8000, 208
1589593916860, 45638, -7200, -9056, -240
1589593916872, 45649, -4992, -9344, 112
1589593916883, 45660, -4288, -8656, 512
1589593916894, 45671, -3952, -8032, 384
1589593916904, 45682, -3808, -6864, 1072
1589593916916, 45693, -4080, -5920, 1904
1589593916926, 45704, -3952, -5216, 2608
1589593916938, 45715, -4016, -4608, 3584
1589593916948, 45726, -3040, -4336, 3936
1589593916960, 45737, -2544, -4016, 4400
1589593916970, 45748, -2288, -3760, 4672
1589593916981, 45759, -1888, -3568, 4736
1589593916993, 45770, -1808, -3520, 4560
1589593917003, 45781, -1728, -4224, 4480
1589593917015, 45792, -912, -4992, 4592
1589593917025, 45803, -352, -5568, 4688
1589593917037, 45814, -256, -6048, 4864
1589593917047, 45825, 192, -6016, 5344
1589593917059, 45836, 160, -5488, 5536
1589593917070, 45847, 48, -4912, 5552
1589593917080, 45858, -80, -4496, 5360
1589593917091, 45869, -48, -4032, 5168
1589593917102, 45880, 48, -3728, 5344
1589593917113, 45891, 48, -3904, 5312
1589593917124, 45902, 80, -4096, 5824
1589593917135, 45913, 80, -4240, 6048
1589593917147, 45924, 96, -4208, 6288
1589593917157, 45935, 80, -4016, 6464
1589593917169, 45946, -16, -3920, 6704
1589593917180, 45957, -80, -3696, 6832
1589593917190, 45968, -112, -3520, 7008
1589593917203, 45979, -352, -3440, 7008
1589593917213, 45990, -384, -3456, 6960
1589593917223, 46001, -384, -3296, 6944
1589593917234, 46012, -528, -3168, 6944
1589593917245, 46023, -560, -2800, 6848
1589593917256, 46034, -496, -2544, 6880
1589593917267, 46045, -608, -2256, 6960
1589593917279, 46056, -528, -2160, 7024
1589593917290, 46067, -368, -2192, 7008
1589593917300, 46078, -80, -2368, 7008
