Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589594007038, 135816, 96, -7920, -416
1589594007050, 135827, 64, -8016, -400
1589594007060, 135838, 0, -7920, -384
1589594007072, 135849, -16, -7920, -160
1589594007082, 135860, -80, -7744, -16
1589594007093, 135871, -16, -7712, 0
1589594007105, 135882, 48, -7792, 64
1589594007116, 135893, 48, -7792, -32
1589594007127, 135904, 64, -7888, -112
1589594007138, 135915, 128, -7920, -224
1589594007149, 135926, 160, -8000, -272
1589594007159, 135937, 160, -8064, -400
1589594007171, 135948, 224, -8080, -336
1589594007182, 135959, 144, -8064, -240
1589594007193, 135970, 48, -7920, -192
1589594007204, 135981, 64, -7776, -128
1589594007215, 135992, 80, -7792, -128
1589594007226, 136003, -48, -7824, -192
1589594007236, 136014, 16, -7856, -192
1589594007247, 136025, 0, -7792, -192
1589594007259, 136036, -16, -7776, -224
1589594007269, 136047, 16, -7728, -256
1589594007280, 136058, 32, -7600, -192
1589594007291, 136069, 176, -7568, -160
1589594007303, 136080, -48, -7376, 16
1589594007314, 136091, -16, -7184, 208
1589594007325, 136102, -64, -7088, 208
1589594007336, 136113, -176, -6944, 192
1589594007347, 136124, -144, -6816, 304
1589594007357, 136135, -160, -6816, 240
1589594007369, 136146, -112, -6816, 368
1589594007379, 136157, -192, -6928, 528
1589594007391, 136168, -288, -6944, 768
1589594007402, 136179, -416, -6896, 1024
1589594007413, 136190, -544, -6896, 1024
1589594007423, 136201, -672, -6880, 1232
1589594007435, 136212, -784, -6912, 1200
1589594007446, 136223, -800, -6928, 1168
1589594007457, 136234, -1008, -7072, 1040
1589594007468, 136245, -1040, -7280, 1136
1589594007478, 136256, -928, -7472, 1072
1589594007490, 136267, -1056, -7792, 1216
1589594007501, 136278, -1152, -7920, 1440
1589594007512, 136289, -1232, -7824, 1360
1589594007524, 136300, -1520, -7712, 1456
1589594007534, 136311, -1632, -7792, 1488
1589594007546, 136322, -1664, -7824, 1456
1589594007556, 136333, -1952, -7872, 1488
1589594007567, 136344, -2064, -7968, 1504
1589594007578, 136355, -2064, -8080, 1488
1589594007588, 136366, -2064, -8288, 1456
1589594007600, 136377, -2096, -8640, 1408
1589594007611, 136388, -2016, -8624, 1136
1589594007622, 136399, -2032, -8512, 864
1589594007633, 136410, -2064, -8176, 560
1589594007643, 136421, -2096, -7968, 192
1589594007655, 136432, -1952, -7808, 160
1589594007666, 136443, -1920, -8000, 288
1589594007677, 136454, -2080, -8192, 320
1589594007688, 136465, -2256, -8320, 512
1589594007699, 136476, -2368, -8464, 608
1589594007710, 136487, -2688, -8656, 608
1589594007720, 136498, -2784, -8800, 736
1589594007732, 136509, -2704, -8880, 816
1589594007743, 136520, -2976, -8928, 720
1589594007754, 136531, -3184, -8960, 784
1589594007764, 136542, -3216, -9248, 352
1589594007776, 136553, -3296, -9424, 144
1589594007788, 136564, -3264, -9744, -208
1589594007798, 136575, -3232, -10032, -496
1589594007809, 136586, -3312, -10192, -928
1589594007820, 136597, -3216, -10272, -1392
1589594007832, 136608, -3232, -10336, -1568
1589594007843, 136619, -3264, -10384, -1744
1589594007854, 136630, -3328, -10352, -1968
1589594007864, 136641, -3312, -10288, -2080
1589594007875, 136652, -3392, -10016, -2336
1589594007887, 136663, -3200, -9744, -2416
1589594007898, 136674, -3072, -9504, -2736
1589594007908, 136685, -3104, -9488, -2944
1589594007919, 136696, -3120, -9392, -3104
1589594007930, 136707, -3152, -9344, -3264
1589594007941, 136718, -2960, -9344, -3344
1589594007953, 136729, -2960, -9280, -3568
1589594007963, 136740, -2880, -9104, -3664
1589594007975, 136751, -2752, -8880, -3648
1589594007985, 136762, -2592, -8752, -3568
1589594007996, 136773, -2480, -8592, -3440
1589594008006, 136784, -2560, -8448, -3152
1589594008018, 136795, -2480, -8416, -3280
1589594008029, 136806, -2336, -8336, -3328
1589594008040, 136817, -2192, -8336, -3152
1589594008051, 136828, -2112, -8256, -3328
1589594008062, 136839, -2128, -8112, -3440
1589594008072, 136850, -1984, -8128, -3328
1589594008084, 136861, -1824, -8016, -3600
1589594008096, 136872, -1648, -7904, -3632
1589594008106, 136883, -1600, -7920, -3952
1589594008117, 136894, -1488, -7984, -3936
1589594008128, 136905, -1488, -7808, -4000
1589594008139, 136916, -1440, -7632, -4128
1589594008150, 136927, -1408, -7568, -3968
1589594008161, 136938, -1408, -7648, -3920
1589594008172, 136949, -1376, -7632, -3920
1589594008184, 136960, -1168, -7648, -3984
1589594008194, 136971, -976, -7696, -4144
1589594008206, 136982, -960, -7632, -4320
1589594008216, 136993, -864, -7712, -4400
1589594008227, 137004, -912, -7776, -4720
1589594008238, 137015, -832, -7840, -4400
1589594008249, 137026, -1008, -7632, -4224
1589594008260, 137037, -1008, -7344, -4064
1589594008271, 137048, -976, -7088, -3952
1589594008281, 137059, -560, -6816, -4096
1589594008293, 137070, -528, -6448, -4192
1589594008304, 137081, -496, -6240, -4464
1589594008315, 137092, -208, -6096, -4416
1589594008326, 137103, -112, -6016, -4544
1589594008338, 137114, -48, -6016, -4784
1589594008348, 137125, -16, -6000, -4880
1589594008359, 137136, 80, -5936, -4848
1589594008369, 137147, 272, -5840, -4768
1589594008381, 137158, 544, -5680, -4544
1589594008392, 137169, 736, -5408, -4240
1589594008404, 137180, 688, -5408, -4336
1589594008413, 137191, 656, -5248, -4416
1589594008425, 137202, 704, -4768, -4720
1589594008436, 137213, 544, -4480, -4944
1589594008447, 137224, 544, -4304, -5152
1589594008458, 137235, 576, -4256, -5008
1589594008469, 137246, 768, -4288, -4768
1589594008480, 137257, 864, -4368, -4304
1589594008490, 137268, 864, -4128, -4336
1589594008502, 137279, 896, -3712, -4352
1589594008513, 137290, 864, -3184, -4464
1589594008524, 137301, 864, -2784, -4672
1589594008535, 137312, 672, -2768, -4736
1589594008546, 137323, 704, -2864, -4752
1589594008557, 137334, 832, -3408, -4720
1589594008568, 137345, 784, -4064, -4752
1589594008579, 137356, 1056, -4064, -4880
1589594008590, 137367, 1280, -3888, -4864
1589594008601, 137378, 1072, -3904, -4736
1589594008612, 137389, 912, -4016, -4592
1589594008623, 137400, 1104, -4096, -4528
1589594008634, 137411, 1152, -4128, -4608
1589594008645, 137422, 1072, -3824, -4448
1589594008656, 137433, 704, -3472, -4064
1589594008667, 137444, 384, -3232, -3648
1589594008678, 137455, 384, -3296, -3264
1589594008689, 137466, 256, -3664, -3296
1589594008700, 137477, 432, -4192, -3600
1589594008711, 137488, 544, -4496, -4112
1589594008722, 137499, 896, -4432, -4368
1589594008733, 137510, 816, -4336, -4576
1589594008744, 137521, 752, -4208, -4784
1589594008755, 137532, 384, -4032, -4896
1589594008766, 137543, 480, -4128, -4976
1589594008777, 137554, 384, -4320, -4928
1589594008788, 137565, 704, -4416, -4896
1589594008799, 137576, 688, -4592, -4640
1589594008810, 137587, 768, -4624, -4416
1589594008820, 137598, 752, -4576, -4160
1589594008832, 137609, 560, -4560, -3728
1589594008843, 137620, 464, -4544, -3584
1589594008853, 137631, 352, -4416, -3632
1589594008865, 137642, 336, -4384, -3904
1589594008875, 137653, 304, -4512, -4000
1589594008887, 137664, 464, -4752, -4000
1589594008898, 137675, 416, -4960, -3760
1589594008909, 137686, 432, -4928, -3408
1589594008920, 137697, 560, -4832, -3136
1589594008931, 137708, 512, -4784, -2976
1589594008942, 137719, 336, -4800, -3008
1589594008953, 137730, 240, -4720, -3056
1589594008964, 137741, 176, -4768, -3072
1589594008976, 137752, 272, -5040, -2816
1589594008986, 137763, 128, -5296, -2240
1589594008998, 137774, 128, -5328, -2032
1589594009008, 137785, 80, -5072, -1952
1589594009019, 137796, 16, -4864, -2000
1589594009029, 137807, 16, -4848, -2240
1589594009041, 137818, -64, -4960, -2368
1589594009052, 137829, -112, -5312, -2160
1589594009062, 137840, -208, -5664, -1824
1589594009075, 137851, -256, -5776, -1408
1589594009085, 137862, -368, -5696, -880
1589594009095, 137873, -608, -5488, -896
1589594009107, 137884, -768, -5392, -992
1589594009118, 137895, -1104, -5472, -1280
1589594009130, 137906, -1104, -6000, -976
1589594009140, 137917, -1088, -6528, -528
1589594009152, 137928, -1216, -7024, -208
1589594009163, 137939, -1184, -7248, -64
1589594009174, 137950, -1168, -7456, -32
1589594009185, 137961, -1264, -7568, -160
1589594009195, 137972, -1344, -7424, -336
1589594009206, 137983, -1728, -7408, -560
1589594009218, 137994, -1920, -7424, -288
1589594009228, 138005, -2416, -7664, -64
1589594009239, 138016, -2416, -8176, 112
1589594009249, 138027, -2368, -8752, 512
1589594009261, 138038, -1952, -9024, 720
1589594009272, 138049, -2064, -9232, 704
1589594009283, 138060, -2144, -9280, 864
1589594009293, 138071, -2304, -9424, 960
1589594009305, 138082, -2608, -9712, 1184
1589594009316, 138093, -2960, -9456, 1040
1589594009327, 138104, -3040, -8976, 688
1589594009338, 138115, -2784, -8640, 512
1589594009349, 138126, -2816, -8592, 480
1589594009360, 138137, -2816, -8672, 576
1589594009371, 138148, -2832, -9360, 784
1589594009382, 138159, -2192, -10000, 1056
1589594009393, 138170, -2432, -10672, 1360
1589594009404, 138181, -2496, -10384, 976
1589594009415, 138192, -3728, -9376, 208
1589594009427, 138203, -3344, -8736, -352
1589594009437, 138214, -3248, -8512, -704
1589594009448, 138225, -2896, -8416, -624
1589594009459, 138236, -2704, -8480, -176
1589594009470, 138247, -2592, -8880, 384
1589594009481, 138258, -2656, -9328, 1072
1589594009492, 138269, -3008, -9696, 1472
1589594009502, 138280, -2992, -9520, 1008
1589594009513, 138291, -3920, -9008, 192
1589594009525, 138302, -4048, -8608, -816
1589594009536, 138313, -3728, -8560, -1152
1589594009548, 138324, -3408, -8816, -1120
1589594009558, 138335, -3200, -9792, -832
1589594009569, 138346, -3056, -10560, -160
1589594009580, 138357, -3136, -11120, 576
1589594009591, 138368, -3520, -11264, 1008
1589594009603, 138379, -3760, -10976, 1280
1589594009613, 138390, -3904, -10560, 1264
1589594009625, 138401, -3856, -10336, 1424
1589594009635, 138412, -3696, -10320, 1600
1589594009646, 138423, -3392, -10432, 1584
1589594009657, 138434, -3248, -10752, 1216
1589594009668, 138445, -3056, -10688, 816
1589594009679, 138456, -3008, -10448, 352
1589594009689, 138467, -3072, -9872, -432
1589594009701, 138478, -2816, -9632, -592
1589594009711, 138489, -2672, -9344, -288
1589594009723, 138500, -2736, -9072, 512
1589594009734, 138511, -2656, -8896, 1216
1589594009746, 138522, -2528, -8592, 1984
1589594009755, 138533, -2544, -8352, 2256
1589594009767, 138544, -2752, -8096, 2192
1589594009778, 138555, -2912, -7568, 1760
1589594009790, 138566, -2864, -7152, 1200
1589594009799, 138577, -2544, -6960, 736
1589594009811, 138588, -2336, -6928, 704
1589594009822, 138599, -2144, -7200, 864
1589594009833, 138610, -2000, -7536, 1360
1589594009844, 138621, -1840, -7856, 1488
1589594009854, 138632, -1856, -8032, 1584
1589594009866, 138643, -1824, -8096, 1632
1589594009877, 138654, -1920, -7904, 1744
1589594009888, 138665, -1888, -7664, 1680
1589594009900, 138676, -1744, -7440, 1584
1589594009910, 138687, -1440, -7328, 1472
1589594009921, 138698, -2464, -6976, 1488
1589594009932, 138709, -2096, -6608, 1952
1589594009943, 138720, -1904, -6912, 2400
1589594009954, 138731, -1872, -7280, 2592
1589594009965, 138742, -1856, -7504, 2640
1589594009975, 138753, -1824, -7744, 2688
1589594009987, 138764, -1776, -7664, 2608
1589594009998, 138775, -1840, -7648, 2144
1589594010009, 138786, -1808, -7168, 2032
1589594010019, 138797, -1808, -6992, 1888
1589594010032, 138808, -1856, -6896, 2416
1589594010042, 138819, -1792, -7088, 2736
1589594010053, 138830, -1936, -7328, 2784
1589594010064, 138841, -1808, -7344, 2832
1589594010075, 138852, -1696, -7312, 2624
1589594010086, 138863, -1712, -7232, 2544
1589594010098, 138874, -1776, -7216, 2720
1589594010108, 138885, -1744, -7248, 2864
1589594010119, 138896, -1840, -7216, 2912
1589594010131, 138907, -1696, -7008, 2880
1589594010141, 138918, -1744, -7008, 2896
1589594010153, 138929, -1616, -7088, 2656
1589594010163, 138940, -1504, -7104, 2544
1589594010173, 138951, -1584, -7152, 2560
