Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589594130580, 259357, -2176, -3168, 8240
1589594130592, 259368, -2048, -3152, 8176
1589594130603, 259379, -1952, -3184, 8176
1589594130613, 259390, -1936, -3344, 8096
1589594130625, 259401, -1744, -3568, 8224
1589594130636, 259412, -1696, -3744, 8368
1589594130646, 259423, -1712, -3808, 8272
1589594130658, 259434, -1424, -4000, 8432
1589594130668, 259445, -1360, -4176, 8688
1589594130680, 259456, -1440, -4288, 8944
1589594130690, 259467, -1328, -4368, 9216
1589594130701, 259478, -1296, -4432, 9600
1589594130713, 259489, -1424, -4336, 9728
1589594130724, 259500, -1504, -4336, 9680
1589594130734, 259511, -1568, -4288, 9600
1589594130746, 259522, -1648, -4272, 9600
1589594130756, 259533, -1632, -4176, 9424
1589594130767, 259544, -1536, -4160, 9568
1589594130779, 259555, -1440, -4080, 9744
1589594130789, 259566, -1264, -3920, 10080
1589594130801, 259577, -1200, -4032, 10432
1589594130812, 259588, -1312, -3888, 10576
1589594130823, 259599, -1520, -3760, 10608
1589594130834, 259610, -1504, -3872, 10624
1589594130844, 259621, -1520, -3952, 10656
1589594130856, 259632, -1488, -3872, 11200
1589594130867, 259643, -1392, -3664, 11664
1589594130877, 259654, -1792, -3488, 11600
1589594130888, 259665, -1696, -3456, 11200
1589594130901, 259676, -1648, -3824, 11040
1589594130910, 259687, -1280, -4016, 10768
1589594130922, 259698, -1264, -4064, 10448
1589594130932, 259709, -1152, -4096, 10000
1589594130944, 259720, -976, -4096, 9584
1589594130954, 259731, -928, -4000, 9136
1589594130965, 259742, -1024, -3712, 8368
1589594130976, 259753, -1040, -3168, 7824
1589594130987, 259764, -688, -2368, 7200
1589594130998, 259775, -672, -1936, 7104
1589594131010, 259786, -640, -1728, 6992
1589594131020, 259797, -656, -1552, 6752
1589594131032, 259808, -624, -1392, 6416
1589594131042, 259819, -432, -1408, 5952
1589594131053, 259830, -368, -1440, 5280
1589594131064, 259841, -80, -1296, 4944
1589594131076, 259852, -32, -1312, 4880
1589594131086, 259863, 32, -1248, 5104
1589594131097, 259874, 48, -1344, 5344
1589594131109, 259885, 96, -1264, 5488
1589594131119, 259896, 112, -1312, 5472
1589594131130, 259907, 272, -1184, 5328
1589594131142, 259918, 384, -1296, 5296
1589594131152, 259929, 432, -1456, 4800
1589594131163, 259940, 880, -1600, 4688
1589594131175, 259951, 992, -1744, 4672
1589594131185, 259962, 1024, -1744, 4672
1589594131197, 259973, 1056, -1648, 4672
1589594131208, 259984, 1248, -1488, 4768
1589594131219, 259995, 1248, -1504, 4784
1589594131229, 260006, 1280, -1376, 4992
1589594131240, 260017, 1360, -1408, 5024
1589594131251, 260028, 1360, -1648, 5232
1589594131263, 260039, 1360, -1680, 5136
1589594131274, 260050, 1392, -1312, 5184
1589594131284, 260061, 1504, -1024, 5152
1589594131295, 260072, 1584, -816, 5168
1589594131307, 260083, 1536, -656, 5248
1589594131317, 260094, 1712, -640, 5472
1589594131329, 260105, 1760, -848, 5792
1589594131340, 260116, 1760, -1264, 5920
1589594131350, 260127, 2064, -1616, 5936
1589594131361, 260138, 2160, -1904, 5888
1589594131373, 260149, 2224, -1872, 5856
1589594131383, 260160, 2352, -1744, 6032
