Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589594197141, 325918, 1248, -6384, 6016
1589594197153, 325929, 1840, -7408, 5680
1589594197164, 325940, 1920, -7520, 5600
1589594197175, 325951, 2304, -7136, 5856
1589594197186, 325962, 1920, -5632, 6608
1589594197197, 325973, 1168, -3344, 7568
1589594197207, 325984, 16, 64, 8752
1589594197219, 325995, -1520, 5200, 10576
1589594197230, 326006, -3408, 8944, 12352
1589594197241, 326017, -5072, 11616, 13392
1589594197252, 326028, -6128, 12128, 14144
1589594197263, 326039, -6448, 10176, 13648
1589594197273, 326050, -6240, 6848, 12608
1589594197286, 326061, -6016, 1744, 10560
1589594197295, 326072, -3520, -2576, 8592
1589594197307, 326083, -2240, -6784, 6896
1589594197318, 326094, -1968, -11024, 4576
1589594197328, 326105, 1136, -13824, 2960
1589594197340, 326116, 2224, -15760, 848
1589594197351, 326127, 2336, -16640, 128
1589594197361, 326138, 3312, -16368, -112
1589594197373, 326149, 3120, -14272, 560
1589594197384, 326160, 2768, -10880, 2032
1589594197394, 326171, 1872, -4848, 3952
1589594197406, 326182, 96, 3200, 6608
1589594197416, 326193, -1552, 9136, 9040
1589594197428, 326204, -3792, 14464, 12256
1589594197439, 326215, -6272, 18720, 16688
1589594197450, 326226, -7616, 18544, 18576
1589594197460, 326237, -8032, 16032, 18192
1589594197471, 326248, -7344, 10560, 16112
1589594197484, 326259, -6368, 5120, 13456
1589594197494, 326270, -5264, -352, 10400
1589594197506, 326281, -3936, -6240, 6448
1589594197515, 326292, -2688, -9872, 3280
1589594197527, 326303, -1376, -13280, 736
1589594197538, 326314, -1008, -16192, -960
1589594197549, 326325, 736, -17168, -1312
1589594197561, 326336, 1344, -16912, -1920
1589594197571, 326347, 1504, -15856, -2112
1589594197582, 326358, 4416, -14608, -1488
1589594197593, 326369, 5136, -10288, -128
1589594197604, 326380, 5024, -2320, 4352
1589594197614, 326391, 2160, 5680, 9296
1589594197626, 326402, -2080, 12768, 15280
