Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589670503222, 155583, 6704, -3136, -4128
1589670503234, 155594, 6688, -3248, -3984
1589670503244, 155605, 6560, -3328, -3872
1589670503256, 155616, 6496, -3328, -4048
1589670503267, 155627, 6528, -3360, -4176
1589670503277, 155638, 6528, -3344, -3920
1589670503289, 155649, 6560, -3296, -3904
1589670503300, 155660, 6560, -3264, -3712
1589670503310, 155671, 6688, -3248, -3648
1589670503322, 155682, 6672, -3232, -3520
1589670503332, 155693, 6640, -3296, -3600
1589670503344, 155704, 6592, -3360, -3584
1589670503355, 155715, 6528, -3408, -3600
1589670503365, 155726, 6400, -3488, -3584
1589670503377, 155737, 6384, -3520, -3824
1589670503388, 155748, 6368, -3552, -3888
1589670503398, 155759, 6288, -3616, -4064
1589670503410, 155770, 6432, -3680, -4128
1589670503421, 155781, 6352, -3648, -4096
1589670503431, 155792, 6720, -3664, -3968
1589670503443, 155803, 6848, -3664, -3808
1589670503454, 155814, 6848, -3632, -3776
1589670503465, 155825, 6832, -3632, -3744
1589670503476, 155836, 6832, -3664, -3760
1589670503487, 155847, 6720, -3696, -3664
1589670503498, 155858, 6752, -3712, -3744
1589670503509, 155869, 6896, -3392, -3888
1589670503520, 155880, 7040, -3216, -3568
1589670503531, 155891, 7104, -3056, -3280
1589670503542, 155902, 6976, -2992, -3472
1589670503552, 155913, 7168, -2976, -3584
1589670503564, 155924, 7136, -3040, -3488
1589670503574, 155935, 7072, -3040, -3536
1589670503586, 155946, 7024, -3072, -3488
1589670503598, 155957, 6736, -3232, -3600
1589670503608, 155968, 6752, -3312, -3696
1589670503619, 155979, 7024, -3392, -3792
1589670503629, 155990, 7280, -3392, -3776
1589670503641, 156001, 7648, -3328, -3712
1589670503652, 156012, 7984, -3248, -3472
1589670503663, 156023, 8080, -3216, -3616
1589670503674, 156034, 7904, -3376, -3952
1589670503685, 156045, 7872, -3696, -4192
1589670503695, 156056, 6976, -4272, -4800
1589670503707, 156067, 6896, -5072, -5440
1589670503718, 156078, 5968, -5664, -6176
1589670503729, 156089, 5152, -6096, -6976
1589670503740, 156100, 4816, -6720, -7040
1589670503751, 156111, 4464, -7472, -8304
1589670503762, 156122, 3952, -7792, -9392
1589670503773, 156133, 3424, -7536, -10144
1589670503785, 156144, 2576, -6896, -10640
1589670503795, 156155, 672, -5936, -11184
1589670503806, 156166, -960, -5184, -11744
1589670503817, 156177, -2752, -4672, -12912
1589670503828, 156188, -3136, -4320, -14144
1589670503838, 156199, -7760, -4688, -15792
1589670503851, 156210, -8272, -5968, -17872
1589670503861, 156221, -11856, -7376, -19632
1589670503872, 156232, -12960, -9088, -21312
1589670503884, 156243, -13568, -10048, -22384
1589670503894, 156254, -14368, -10288, -23136
1589670503905, 156265, -15040, -9440, -23312
1589670503916, 156276, -16400, -7920, -24480
1589670503927, 156287, -18544, -6304, -26032
1589670503938, 156298, -21728, -3808, -29616
1589670503949, 156309, -26608, -2032, -32208
1589670503960, 156320, -30592, -512, -32624
1589670503971, 156331, -31616, 3888, -32624
1589670503982, 156342, -32624, 10416, -32624
1589670503993, 156353, -32624, 21312, -30272
1589670504004, 156364, -32624, 28592, -24672
1589670504016, 156375, -32624, 32416, -16416
1589670504026, 156386, -32624, 32640, -9248
1589670504037, 156397, -32624, 32640, -3024
1589670504049, 156408, -32624, 32640, -1376
1589670504059, 156419, -32624, 32640, 4336
1589670504069, 156430, -32624, 32640, 8528
1589670504081, 156441, -32624, 32640, 12960
1589670504091, 156452, -32624, 32624, 21392
1589670504103, 156463, -32624, 29792, 31616
1589670504113, 156474, -32624, 23200, 32576
1589670504125, 156485, -32480, 17136, 32640
1589670504136, 156496, -32016, 12288, 32640
1589670504147, 156507, -19696, 10560, 32640
1589670504158, 156518, -13888, 11632, 31584
1589670504170, 156529, -11472, 12032, 26368
1589670504180, 156540, -10416, 8896, 19744
1589670504190, 156551, -10096, 5808, 15824
1589670504201, 156562, -9264, 4464, 12480
1589670504213, 156573, -9136, 3696, 10176
1589670504223, 156584, -9296, 3008, 7824
1589670504235, 156595, -9232, 3136, 7664
1589670504246, 156606, -8992, 3488, 8144
1589670504257, 156617, -9072, 3552, 8816
1589670504268, 156628, -8352, 3424, 9104
1589670504279, 156639, -8176, 4128, 8096
1589670504290, 156650, -6784, 5280, 6976
1589670504301, 156661, -5616, 6720, 5968
1589670504312, 156672, -4912, 7472, 5728
1589670504323, 156683, -5008, 7504, 6336
1589670504333, 156694, -5264, 6928, 7376
1589670504344, 156705, -5600, 5856, 7968
1589670504355, 156716, -6032, 5248, 8240
1589670504367, 156727, -5760, 4752, 8048
1589670504378, 156738, -5552, 5072, 7360
1589670504388, 156749, -4736, 5680, 6816
1589670504400, 156760, -4512, 6640, 6512
1589670504411, 156771, -4496, 7232, 6832
1589670504422, 156782, -4432, 7248, 7392
1589670504432, 156793, -4192, 6928, 7696
1589670504444, 156804, -3920, 6400, 7632
1589670504455, 156815, -3664, 6128, 7408
1589670504466, 156826, -3328, 6080, 6752
1589670504476, 156837, -2976, 6288, 6368
1589670504488, 156848, -2976, 6656, 5824
1589670504498, 156859, -2960, 6816, 5872
1589670504510, 156870, -2672, 6656, 6192
1589670504521, 156881, -2608, 6656, 5984
1589670504532, 156892, -2288, 6544, 5840
1589670504542, 156903, -2224, 6416, 5376
1589670504553, 156914, -2448, 6304, 5056
1589670504565, 156925, -2528, 6352, 4560
1589670504576, 156936, -2720, 6656, 4320
1589670504587, 156947, -2736, 7056, 4112
1589670504598, 156958, -2736, 7264, 4128
1589670504608, 156969, -2608, 7440, 4336
1589670504619, 156980, -2640, 7472, 4288
1589670504631, 156991, -2432, 7104, 4000
