Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589670520570, 172930, 3024, 4624, 1696
1589670520580, 172941, 2976, 6256, 4912
1589670520591, 172952, 3136, 6688, 5360
1589670520602, 172963, 2896, 5664, 3840
1589670520613, 172974, 3056, 5424, 3648
1589670520624, 172985, 3024, 5840, 4096
1589670520636, 172996, 3328, 6464, 4912
1589670520646, 173007, 3200, 6096, 4832
1589670520658, 173018, 3104, 6032, 5008
1589670520668, 173029, 3152, 5744, 4704
1589670520680, 173040, 3040, 5712, 4640
1589670520690, 173051, 2960, 5600, 4512
1589670520701, 173062, 3008, 5536, 4448
1589670520713, 173073, 2960, 5472, 4640
1589670520724, 173084, 2896, 5424, 4496
1589670520734, 173095, 2928, 5312, 4608
1589670520746, 173106, 3040, 5392, 4624
1589670520756, 173117, 2864, 5264, 4720
1589670520768, 173128, 2864, 5280, 4912
1589670520778, 173139, 2896, 5312, 4944
1589670520789, 173150, 2912, 5216, 5024
1589670520801, 173161, 2976, 5200, 5136
1589670520812, 173172, 3024, 5136, 5200
1589670520822, 173183, 3168, 5264, 5264
1589670520833, 173194, 3136, 5280, 5392
1589670520845, 173205, 3264, 5168, 5568
1589670520856, 173216, 3280, 4912, 6000
1589670520866, 173227, 3360, 4688, 6240
1589670520877, 173238, 3184, 4336, 6720
1589670520888, 173249, 3072, 4240, 6640
1589670520899, 173260, 3632, 4208, 6400
1589670520911, 173271, 3488, 4304, 5536
1589670520921, 173282, 3936, 4064, 4528
1589670520932, 173293, 4320, 3872, 3376
1589670520944, 173304, 4592, 3680, 2528
1589670520954, 173315, 4608, 3984, 1456
1589670520966, 173326, 4448, 4176, 688
1589670520977, 173337, 4320, 4560, -96
1589670520987, 173348, 4160, 5072, -496
1589670520999, 173359, 3968, 5472, -240
1589670521009, 173370, 3872, 5968, -128
1589670521020, 173381, 3648, 7136, 944
1589670521032, 173392, 3680, 9760, 3232
1589670521042, 173403, 3824, 11248, 5712
1589670521054, 173414, 3072, 12000, 8864
1589670521065, 173425, 2448, 11808, 11152
1589670521075, 173436, 1344, 12064, 12592
1589670521087, 173447, 64, 11872, 13936
