Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589670608292, 260633, -560, 7712, -1680
1589670608302, 260644, -464, 7696, -1568
1589670608313, 260655, -512, 7680, -1664
1589670608324, 260666, -560, 7664, -1824
1589670608335, 260677, -512, 7520, -1568
1589670608346, 260688, -576, 7440, -1184
1589670608358, 260699, -576, 7392, -1488
1589670608368, 260710, -576, 7328, -1488
1589670608379, 260721, -464, 7344, -1552
1589670608390, 260732, -496, 7408, -1584
1589670608401, 260743, -432, 7456, -1584
1589670608412, 260754, -368, 7424, -1584
1589670608423, 260765, -512, 7440, -1760
1589670608434, 260776, -464, 7488, -1680
1589670608445, 260787, -416, 7392, -1632
1589670608456, 260798, -480, 7456, -1680
1589670608467, 260809, -496, 7440, -1488
1589670608479, 260820, -528, 7472, -1776
1589670608490, 260831, -560, 7488, -1872
1589670608500, 260842, -480, 7536, -1920
1589670608511, 260853, -528, 7488, -1936
1589670608522, 260864, -528, 7504, -1968
1589670608533, 260875, -496, 7504, -1872
1589670608544, 260886, -528, 7440, -1856
1589670608556, 260897, -512, 7312, -1824
1589670608566, 260908, -544, 7328, -1680
1589670608577, 260919, -544, 7248, -1728
1589670608589, 260930, -528, 7232, -1664
1589670608599, 260941, -592, 7232, -1664
1589670608611, 260952, -544, 7280, -1840
1589670608621, 260963, -560, 7232, -1552
1589670608632, 260974, -672, 7184, -1440
1589670608643, 260985, -624, 6960, -1248
1589670608654, 260996, -864, 6816, -1072
1589670608666, 261007, -944, 6464, -752
1589670608676, 261018, -1008, 6144, -224
1589670608687, 261029, -1072, 5728, 448
1589670608698, 261040, -1040, 5616, 1088
1589670608709, 261051, -928, 5440, 1936
1589670608720, 261062, -704, 5760, 2368
1589670608731, 261073, -576, 6064, 3008
1589670608742, 261084, -544, 6256, 3376
1589670608753, 261095, -640, 6432, 4144
1589670608765, 261106, -736, 6848, 4384
1589670608775, 261117, -1424, 7168, 4720
1589670608786, 261128, -1600, 7808, 4960
1589670608798, 261139, -2560, 8480, 4816
1589670608809, 261150, -2752, 9584, 4256
1589670608819, 261161, -2928, 10304, 3872
1589670608831, 261172, -3312, 11120, 3152
1589670608842, 261183, -3600, 11552, 2800
1589670608852, 261194, -3872, 12272, 2624
1589670608864, 261205, -3984, 13008, 2256
1589670608875, 261216, -4064, 13840, 1936
1589670608885, 261227, -4352, 14176, 1648
1589670608896, 261238, -4544, 14272, 1072
1589670608908, 261249, -4544, 14192, 992
1589670608918, 261260, -5456, 14000, 672
1589670608929, 261271, -5296, 13632, 192
1589670608940, 261282, -5744, 13376, -272
1589670608951, 261293, -5488, 13088, -752
1589670608962, 261304, -5408, 12944, -1184
1589670608974, 261315, -5488, 12848, -1792
1589670608985, 261326, -5600, 12976, -1952
1589670608995, 261337, -5456, 13264, -2320
1589670609006, 261348, -5360, 13520, -3216
1589670609018, 261359, -5248, 13920, -4480
1589670609029, 261370, -5280, 13920, -5552
