Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589670664942, 317283, 3840, 7040, -864
1589670664952, 317294, 3808, 7184, -1088
1589670664962, 317305, 3712, 7216, -1328
1589670664974, 317316, 3488, 7504, -1488
1589670664985, 317327, 3520, 7856, -1488
1589670664997, 317338, 3552, 8032, -1648
1589670665007, 317349, 3584, 8096, -1328
1589670665018, 317360, 3808, 8192, -1120
1589670665028, 317371, 3648, 8304, -1232
1589670665040, 317382, 3952, 8384, -1216
1589670665051, 317393, 3808, 8240, -1056
1589670665062, 317404, 3840, 8176, -1280
1589670665072, 317415, 3744, 7760, -1312
1589670665084, 317426, 3584, 7488, -1568
1589670665095, 317437, 3504, 7280, -1824
1589670665107, 317448, 3520, 7072, -2096
1589670665117, 317459, 3664, 7216, -2064
1589670665128, 317470, 3904, 7328, -2320
1589670665138, 317481, 4208, 7520, -2256
1589670665150, 317492, 4192, 8048, -2176
1589670665161, 317503, 4816, 8400, -2032
1589670665171, 317514, 4960, 8976, -2144
1589670665183, 317525, 5280, 9200, -2480
1589670665194, 317536, 5040, 9216, -2928
1589670665204, 317547, 4656, 8832, -3344
1589670665216, 317558, 4256, 8432, -4048
1589670665227, 317569, 4240, 8592, -4432
1589670665238, 317580, 4336, 8880, -5264
1589670665249, 317591, 4384, 9776, -5376
1589670665260, 317602, 4192, 10192, -6144
1589670665271, 317613, 3760, 10416, -6032
1589670665282, 317624, 3200, 10448, -5968
1589670665293, 317635, 3168, 10208, -6304
1589670665305, 317646, 2400, 9888, -6544
1589670665314, 317657, 2320, 9504, -6736
1589670665326, 317668, 1680, 9056, -6816
1589670665337, 317679, 1232, 8384, -6624
1589670665348, 317690, 560, 7888, -6256
1589670665358, 317701, 112, 7248, -5760
1589670665370, 317712, 16, 6752, -5424
1589670665380, 317723, -80, 6240, -5072
1589670665392, 317734, -144, 5952, -4352
1589670665403, 317745, -160, 5360, -3552
1589670665413, 317756, -16, 4864, -3264
1589670665425, 317767, -64, 4448, -2688
1589670665435, 317778, -48, 3664, -1584
1589670665447, 317789, -496, 2928, -832
1589670665458, 317800, -560, 1696, 112
1589670665469, 317811, -1088, 608, 864
1589670665480, 317822, -1456, -224, 1952
1589670665491, 317833, -1424, -512, 2528
1589670665501, 317844, -976, -224, 3024
1589670665513, 317855, -752, 16, 3280
1589670665524, 317866, -928, 64, 3568
1589670665535, 317877, -1088, 0, 3952
1589670665546, 317888, -1488, -320, 4384
1589670665557, 317899, -1440, -672, 4384
1589670665569, 317910, -2208, -992, 4640
1589670665579, 317921, -2272, -1424, 5456
1589670665590, 317932, -2624, -1616, 6144
1589670665600, 317943, -2896, -1424, 7168
1589670665612, 317954, -3152, -1200, 7808
1589670665623, 317965, -3312, -816, 8352
1589670665634, 317976, -3344, -768, 8912
1589670665645, 317987, -3440, -912, 9264
1589670665656, 317998, -3776, -1184, 9968
1589670665667, 318009, -3872, -1696, 10624
1589670665679, 318020, -4160, -2000, 11056
1589670665689, 318031, -4352, -1856, 11648
1589670665700, 318042, -4416, -1232, 11552
1589670665711, 318053, -4096, -816, 11696
1589670665722, 318064, -4176, -336, 12192
1589670665733, 318075, -4144, -304, 12640
1589670665744, 318086, -4560, -688, 13072
1589670665755, 318097, -4656, -944, 13152
1589670665766, 318108, -4576, -928, 13248
1589670665778, 318119, -4448, -688, 13232
1589670665788, 318130, -4192, -240, 12640
1589670665799, 318141, -3952, 128, 12144
1589670665810, 318152, -3936, 496, 11632
1589670665822, 318163, -3760, 656, 11120
1589670665832, 318174, -3952, 592, 10416
1589670665843, 318185, -3744, 608, 9600
1589670665854, 318196, -3392, 608, 8976
1589670665865, 318207, -3440, 688, 8416
1589670665875, 318218, -3152, 784, 8064
1589670665887, 318229, -3376, 704, 7680
1589670665898, 318240, -3824, 720, 7632
1589670665909, 318251, -3968, 816, 7408
1589670665919, 318262, -4000, 1072, 7248
1589670665931, 318273, -3856, 1456, 6560
1589670665942, 318284, -3824, 2240, 6320
1589670665953, 318295, -3920, 3344, 5680
1589670665965, 318306, -3776, 3952, 5072
1589670665975, 318317, -3920, 4320, 4512
1589670665986, 318328, -3824, 4576, 3792
1589670665998, 318339, -4288, 4464, 3360
1589670666008, 318350, -4400, 4384, 2848
1589670666018, 318361, -4352, 4704, 2384
1589670666030, 318372, -4224, 5904, 1824
1589670666041, 318383, -3536, 7024, 1184
1589670666052, 318394, -3968, 8032, 448
1589670666063, 318405, -4128, 8912, 112
1589670666074, 318416, -3888, 9664, -272
1589670666085, 318427, -3904, 10112, -112
1589670666096, 318438, -3936, 10208, 16
1589670666107, 318449, -3888, 9888, 240
1589670666119, 318460, -3872, 9968, 368
1589670666129, 318471, -3904, 10432, 448
1589670666140, 318482, -3440, 11024, 320
1589670666151, 318493, -3264, 11920, 176
1589670666162, 318504, -2976, 12416, -32
1589670666173, 318515, -2736, 12576, -176
1589670666185, 318526, -2624, 12688, -256
1589670666195, 318537, -2352, 12688, -176
1589670666206, 318548, -2272, 12704, -272
1589670666218, 318559, -2368, 12720, -928
1589670666228, 318570, -2624, 12912, -848
1589670666239, 318581, -2720, 13136, -736
