Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589670683960, 336302, -18320, 14736, -25360
1589670683971, 336313, -17248, 13520, -31840
1589670683982, 336324, -15104, 10016, -32608
1589670683993, 336335, -13872, 8144, -32624
1589670684004, 336346, -14368, 6496, -30496
1589670684016, 336357, -14832, 5984, -26992
1589670684026, 336368, -15088, 5328, -22192
1589670684037, 336379, -15232, 4704, -18112
1589670684048, 336390, -16160, 4224, -13888
1589670684059, 336401, -16096, 4080, -10864
1589670684070, 336412, -16640, 4160, -8592
1589670684080, 336423, -16592, 5280, -6032
1589670684092, 336434, -16160, 7856, -2944
1589670684103, 336445, -15728, 15616, 4416
1589670684114, 336456, -13344, 23664, 16080
1589670684125, 336467, -11760, 26432, 31520
1589670684136, 336478, -7872, 23440, 32576
1589670684147, 336489, -2128, 8720, 32640
1589670684158, 336500, -1792, 2816, 32640
1589670684168, 336511, -480, 3200, 32640
1589670684180, 336522, -304, 5440, 31568
1589670684191, 336533, 1536, 5920, 27696
1589670684202, 336544, 1568, 5056, 23040
1589670684213, 336555, -1792, 4672, 19360
1589670684224, 336566, -4656, 5136, 12192
1589670684235, 336577, -6448, 6320, 9328
1589670684245, 336588, -9664, 8112, 6880
1589670684257, 336599, -9696, 7504, 960
1589670684268, 336610, -12592, 8000, -3504
1589670684278, 336621, -14512, 8992, -7392
1589670684290, 336632, -15904, 10032, -13456
1589670684301, 336643, -16512, 10032, -19840
1589670684312, 336654, -15408, 9040, -26864
1589670684322, 336665, -14608, 6432, -29312
1589670684335, 336676, -14672, 4112, -28800
1589670684345, 336687, -14576, 3216, -27232
1589670684356, 336698, -13680, 4416, -24896
1589670684367, 336709, -12784, 6448, -19904
1589670684378, 336720, -12160, 7888, -15312
1589670684389, 336731, -11184, 8304, -11168
1589670684399, 336742, -10224, 8144, -9136
1589670684411, 336753, -8480, 7616, -7168
1589670684422, 336764, -6560, 6880, -5376
1589670684432, 336775, -4720, 5856, -2592
1589670684444, 336786, -4416, 6000, -560
1589670684455, 336797, -9184, 7568, 3040
1589670684465, 336808, -10064, 19600, 11936
1589670684478, 336819, -13152, 24464, 24192
1589670684489, 336830, -14416, 23168, 32256
1589670684499, 336841, -1296, 17296, 32624
1589670684510, 336852, 256, 2912, 32640
1589670684521, 336863, -688, 752, 32016
1589670684532, 336874, 192, 5712, 25248
1589670684543, 336885, 1568, 8848, 20608
1589670684554, 336896, 1312, 8864, 14976
1589670684565, 336907, 32, 7472, 12352
1589670684576, 336918, -976, 6000, 10064
1589670684586, 336929, -1328, 6032, 8624
1589670684598, 336940, -4512, 6384, 6352
1589670684609, 336951, -5040, 7968, 3408
1589670684619, 336962, -7728, 9696, -320
1589670684631, 336973, -8736, 12432, -3664
1589670684642, 336984, -9728, 13296, -8640
1589670684654, 336995, -10544, 13104, -12992
1589670684665, 337006, -10560, 12000, -17056
1589670684675, 337017, -10064, 9632, -21024
1589670684686, 337028, -9440, 7296, -23344
1589670684697, 337039, -8288, 5664, -22960
1589670684709, 337050, -8048, 4944, -21776
1589670684720, 337061, -8288, 5056, -19888
1589670684731, 337072, -8368, 5408, -18368
1589670684741, 337083, -8160, 5712, -16464
1589670684752, 337094, -8144, 6192, -14096
1589670684763, 337105, -7280, 6656, -12784
1589670684773, 337116, -6720, 7200, -11776
1589670684785, 337127, -6272, 7424, -10608
1589670684796, 337138, -5728, 7280, -8592
1589670684807, 337149, -5712, 7216, -6544
1589670684817, 337160, -6544, 9008, -3248
1589670684829, 337171, -7456, 13232, 1680
1589670684840, 337182, -8320, 19920, 10512
1589670684850, 337193, -8448, 22368, 19936
1589670684862, 337204, -7744, 19216, 30224
1589670684873, 337215, -6560, 13776, 32496
1589670684884, 337226, -96, 4912, 32640
1589670684895, 337237, -80, -768, 29728
1589670684906, 337248, 528, 1056, 24960
1589670684917, 337259, 1680, 5232, 19520
1589670684928, 337270, 2208, 6656, 15968
1589670684939, 337281, 1664, 5984, 12496
1589670684950, 337292, 720, 5088, 10368
1589670684961, 337303, 0, 4304, 8416
1589670684972, 337314, -1568, 4208, 6720
1589670684982, 337325, -3584, 4704, 3376
1589670684994, 337336, -4016, 5248, -224
1589670685005, 337347, -7808, 7200, -4256
1589670685016, 337358, -7952, 8912, -8432
1589670685027, 337369, -8384, 8448, -13776
1589670685038, 337380, -7136, 7488, -18976
1589670685049, 337391, -5984, 5584, -21936
1589670685060, 337402, -5872, 3200, -23008
1589670685071, 337413, -5120, 2096, -22832
1589670685081, 337424, -6144, 3584, -20592
1589670685093, 337435, -6464, 5408, -17792
1589670685104, 337446, -6656, 6688, -14208
