Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589670460995, 113354, -9552, 2080, -1744
1589670461006, 113365, -10304, 1472, -704
1589670461016, 113376, -10448, 1200, 448
1589670461028, 113387, -12048, 1488, 1472
1589670461038, 113398, -12128, 2112, 1376
1589670461050, 113409, -13008, 2640, 1104
1589670461060, 113420, -13280, 3056, 816
1589670461071, 113431, -14592, 3200, 768
1589670461082, 113442, -15248, 3232, 1360
1589670461094, 113453, -15680, 3584, 2000
1589670461105, 113464, -15680, 4864, 3488
1589670461116, 113475, -15680, 6192, 4304
1589670461126, 113486, -15648, 7408, 5360
1589670461138, 113497, -15600, 7968, 5392
1589670461148, 113508, -15248, 8192, 4240
1589670461160, 113519, -15120, 8080, 2544
1589670461170, 113530, -14336, 7408, 1472
1589670461181, 113541, -14640, 6432, 2352
1589670461193, 113552, -14944, 6032, 3840
1589670461204, 113563, -13968, 6672, 5744
1589670461215, 113574, -12944, 7312, 6672
1589670461225, 113585, -11920, 7744, 7712
1589670461237, 113596, -11744, 7536, 8336
1589670461248, 113607, -11232, 6768, 9280
1589670461259, 113618, -10528, 5936, 6816
1589670461269, 113629, -10720, 5168, 5840
1589670461282, 113640, -10960, 4064, 6528
1589670461292, 113651, -11008, 2816, 8240
1589670461303, 113662, -10832, 2336, 8640
1589670461313, 113673, -10080, 2368, 8352
1589670461325, 113684, -10000, 2528, 7408
1589670461336, 113695, -8864, 2640, 6304
1589670461346, 113706, -8256, 2640, 4304
1589670461357, 113717, -7152, 2256, 3456
1589670461368, 113728, -7232, 3072, 2352
1589670461380, 113739, -6816, 3264, 1440
1589670461391, 113750, -6464, 4000, 544
1589670461401, 113761, -6192, 4000, 64
1589670461412, 113772, -5664, 3744, -448
1589670461424, 113783, -5600, 3312, -864
1589670461435, 113794, -5360, 2896, -1888
1589670461445, 113805, -5312, 2752, -2592
1589670461457, 113816, -5536, 2432, -3712
1589670461468, 113827, -5600, 2096, 336
1589670461479, 113838, -5824, 1856, 1472
1589670461490, 113849, -4480, 2096, -496
1589670461501, 113860, -4736, 2512, -2240
1589670461512, 113871, -4512, 3600, -4848
1589670461523, 113882, -4672, 4032, -6736
1589670461534, 113893, -4880, 4112, -8240
1589670461545, 113904, -5024, 3984, -8272
1589670461555, 113915, -4976, 4000, -7600
1589670461567, 113926, -4880, 3936, -6480
1589670461577, 113937, -4624, 3984, -5504
1589670461588, 113948, -4576, 2624, -4512
1589670461600, 113959, -4768, 3904, -4192
1589670461610, 113970, -4576, 3920, -4896
1589670461622, 113981, -4784, 3824, -5440
1589670461633, 113992, -4848, 3968, -5568
1589670461643, 114003, -4864, 3824, -5024
1589670461655, 114014, -4832, 3840, -5280
1589670461665, 114025, -4688, 3936, -5008
1589670461677, 114036, -4640, 4000, -4784
1589670461688, 114047, -4576, 3936, -4816
1589670461699, 114058, -4720, 3872, -4480
1589670461709, 114069, -4608, 3664, -4208
1589670461721, 114080, -4752, 3856, -4496
1589670461731, 114091, -4944, 4016, -4464
1589670461742, 114102, -4592, 4064, -4496
1589670461753, 114113, -4496, 4048, -4432
1589670461765, 114124, -4576, 4016, -4432
1589670461776, 114135, -4592, 4032, -4496
1589670461786, 114146, -4704, 3920, -4592
1589670461798, 114157, -4608, 3968, -4672
1589670461809, 114168, -4512, 4032, -4208
1589670461820, 114179, -4560, 3696, -4816
1589670461831, 114190, -4608, 3776, -4560
1589670461841, 114201, -4624, 3680, -4608
1589670461853, 114212, -4528, 3552, -5152
1589670461864, 114223, -4784, 3504, -5024
1589670461874, 114234, -4816, 3328, -5072
1589670461885, 114245, -4704, 3216, -5024
1589670461897, 114256, -4704, 3328, -4848
1589670461908, 114267, -4656, 3408, -4688
1589670461918, 114278, -4784, 3648, -4640
1589670461929, 114289, -4704, 3824, -4592
1589670461941, 114300, -4720, 3936, -4480
1589670461952, 114311, -4736, 3936, -4144
1589670461962, 114322, -4720, 3872, -4048
1589670461974, 114333, -4800, 3712, -3952
1589670461985, 114344, -4880, 3712, -3696
1589670461995, 114355, -4928, 3536, -3936
1589670462007, 114366, -5168, 3376, -4224
1589670462018, 114377, -5184, 3424, -4080
1589670462029, 114388, -5376, 3520, -4176
1589670462039, 114399, -5136, 3552, -4224
1589670462051, 114410, -5136, 3520, -3968
1589670462062, 114421, -5296, 3456, -3744
1589670462072, 114432, -5312, 3392, -3808
1589670462084, 114443, -5408, 3456, -3760
1589670462095, 114454, -5488, 3504, -4064
1589670462106, 114465, -5552, 3616, -3232
1589670462117, 114476, -5568, 3328, -4144
1589670462127, 114487, -5888, 3200, -3776
1589670462139, 114498, -5984, 3184, -3104
1589670462149, 114509, -6224, 3232, -2832
1589670462160, 114520, -6160, 3248, -2656
1589670462172, 114531, -6368, 3344, -2768
1589670462183, 114542, -6416, 3504, -2960
1589670462193, 114553, -6496, 3488, -3328
1589670462205, 114564, -6688, 3344, -3648
1589670462216, 114575, -6912, 3024, -3376
