Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576477486, 409873, -1968, -5312, 5840
1589576477498, 409884, -2016, -5248, 5872
1589576477509, 409895, -1904, -5136, 5856
1589576477520, 409906, -1952, -5136, 5744
1589576477531, 409917, -1872, -5216, 5840
1589576477542, 409928, -1824, -5248, 5696
1589576477553, 409939, -1872, -5280, 5680
1589576477564, 409950, -1904, -5312, 5920
1589576477574, 409961, -1936, -5296, 5792
1589576477586, 409972, -1904, -5248, 5856
1589576477597, 409983, -1920, -5216, 5904
1589576477608, 409994, -1968, -5232, 5904
1589576477619, 410005, -1936, -5216, 6000
1589576477630, 410016, -1856, -5232, 5920
1589576477641, 410027, -2016, -5216, 5936
1589576477652, 410038, -1984, -5200, 5920
1589576477662, 410049, -1984, -5120, 5936
1589576477673, 410060, -2000, -5104, 5856
1589576477685, 410071, -2000, -5184, 6016
1589576477696, 410082, -1936, -5216, 5808
1589576477707, 410093, -1984, -5152, 5744
1589576477717, 410104, -1968, -5088, 5760
1589576477729, 410115, -2016, -5136, 5824
1589576477739, 410126, -2048, -5152, 5872
1589576477751, 410137, -2000, -5104, 5920
1589576477762, 410148, -2016, -5168, 6032
1589576477773, 410159, -2016, -5184, 6096
1589576477784, 410170, -2048, -5136, 5984
1589576477794, 410181, -2000, -5184, 6016
1589576477806, 410192, -1968, -5184, 5776
1589576477816, 410203, -1936, -5184, 5904
1589576477827, 410214, -1936, -5152, 5968
1589576477839, 410225, -2000, -5280, 5824
1589576477849, 410236, -1984, -5168, 5952
1589576477861, 410247, -2016, -5200, 6032
1589576477871, 410258, -1968, -5200, 5984
1589576477883, 410269, -1968, -5200, 6000
1589576477893, 410280, -1984, -5248, 5920
1589576477905, 410291, -1952, -5216, 5840
1589576477916, 410302, -1936, -5200, 5808
1589576477927, 410313, -1936, -5184, 5872
1589576477938, 410324, -1968, -5216, 5888
1589576477949, 410335, -1968, -5152, 5968
1589576477960, 410346, -1952, -5168, 6048
1589576477970, 410357, -1936, -5120, 6032
1589576477981, 410368, -1952, -5120, 5888
1589576477993, 410379, -1952, -5200, 5904
1589576478003, 410390, -1952, -5216, 5808
1589576478015, 410401, -2000, -5264, 5760
1589576478025, 410412, -1952, -5312, 5760
1589576478037, 410423, -1936, -5216, 5920
1589576478048, 410434, -1936, -5152, 5968
1589576478059, 410445, -1984, -5184, 5984
1589576478070, 410456, -1984, -5152, 5936
1589576478081, 410467, -2000, -5184, 5952
1589576478092, 410478, -2000, -5136, 5856
1589576478102, 410489, -2000, -5168, 5824
1589576478114, 410500, -2032, -5136, 5888
1589576478124, 410511, -2000, -5168, 5824
1589576478136, 410522, -1984, -5184, 5808
1589576478147, 410533, -1984, -5232, 5680
1589576478158, 410544, -2016, -5216, 5840
1589576478169, 410555, -1952, -5184, 5904
1589576478180, 410566, -2000, -5216, 5840
1589576478191, 410577, -1968, -5248, 5888
1589576478202, 410588, -1904, -5248, 5840
1589576478213, 410599, -1984, -5168, 5808
1589576478224, 410610, -1920, -5200, 5840
1589576478234, 410621, -1936, -5232, 5840
1589576478246, 410632, -1856, -5264, 5808
1589576478257, 410643, -1968, -5280, 5808
1589576478268, 410654, -1984, -5344, 5856
1589576478278, 410665, -1888, -5248, 5920
1589576478290, 410676, -1984, -5216, 5856
1589576478300, 410687, -1984, -5264, 5936
1589576478312, 410698, -1936, -5216, 5904
1589576478323, 410709, -1968, -5232, 5904
1589576478334, 410720, -1984, -5280, 5904
1589576478346, 410731, -1936, -5216, 5792
1589576478356, 410742, -1920, -5216, 5824
1589576478367, 410753, -1888, -5280, 5840
1589576478377, 410764, -1936, -5232, 5760
1589576478389, 410775, -1872, -5264, 5808
1589576478400, 410786, -1824, -5248, 5824
1589576478411, 410797, -1920, -5168, 5808
1589576478421, 410808, -1904, -5200, 6000
1589576478433, 410819, -1872, -5168, 5808
1589576478444, 410830, -1968, -5232, 5792
1589576478455, 410841, -1952, -5200, 5792
1589576478466, 410852, -1872, -5280, 5840
1589576478477, 410863, -1904, -5312, 5888
1589576478487, 410874, -1888, -5312, 6096
1589576478499, 410885, -1952, -5344, 6000
1589576478509, 410896, -1984, -5344, 6000
1589576478521, 410907, -1936, -5280, 6016
1589576478531, 410918, -1968, -5296, 5984
1589576478543, 410929, -1936, -5312, 6048
1589576478554, 410940, -1936, -5312, 6064
1589576478564, 410951, -1904, -5248, 5968
1589576478576, 410962, -1968, -5264, 5824
1589576478587, 410973, -2000, -5232, 5840
1589576478597, 410984, -1904, -5264, 5760
1589576478609, 410995, -1936, -5344, 5792
1589576478620, 411006, -1936, -5296, 5680
1589576478630, 411017, -1888, -5296, 5792
1589576478642, 411028, -1984, -5360, 5744
1589576478653, 411039, -1968, -5232, 5824
1589576478663, 411050, -2000, -5232, 5776
1589576478675, 411061, -1984, -5216, 5728
1589576478686, 411072, -1952, -5200, 5840
1589576478697, 411083, -1904, -5168, 5776
1589576478707, 411094, -1888, -5200, 5840
1589576478719, 411105, -1920, -5232, 5728
1589576478730, 411116, -1952, -5248, 5776
1589576478741, 411127, -1856, -5248, 5744
1589576478752, 411138, -1904, -5328, 5680
1589576478762, 411149, -1872, -5312, 5840
1589576478774, 411160, -1904, -5312, 5840
1589576478784, 411171, -1888, -5328, 5936
1589576478796, 411182, -1888, -5264, 6000
1589576478807, 411193, -1904, -5264, 5920
1589576478818, 411204, -1888, -5312, 5856
1589576478829, 411215, -1872, -5376, 5808
1589576478840, 411226, -1856, -5424, 5824
1589576478851, 411237, -1920, -5424, 5808
1589576478861, 411248, -1888, -5360, 5792
1589576478873, 411259, -1888, -5392, 5776
1589576478884, 411270, -1888, -5392, 5744
1589576478894, 411281, -1904, -5424, 5760
1589576478905, 411292, -1904, -5376, 5712
1589576478917, 411303, -2000, -5392, 5728
1589576478928, 411314, -1904, -5312, 5760
1589576478939, 411325, -1904, -5280, 5808
1589576478950, 411336, -2016, -5328, 5680
1589576478961, 411347, -1920, -5264, 5808
1589576478973, 411358, -1936, -5280, 5792
1589576478983, 411369, -1888, -5280, 5712
1589576478993, 411380, -1888, -5296, 5760
1589576479005, 411391, -1920, -5344, 5680
1589576479016, 411402, -1920, -5296, 5712
1589576479027, 411413, -1872, -5280, 5744
1589576479037, 411424, -1920, -5280, 5840
1589576479049, 411435, -1856, -5264, 5840
1589576479060, 411446, -1904, -5312, 5792
1589576479070, 411457, -1856, -5264, 5856
1589576479082, 411468, -1872, -5312, 5840
1589576479092, 411479, -1968, -5264, 5808
1589576479104, 411490, -1888, -5296, 5920
1589576479114, 411501, -1920, -5328, 5888
1589576479125, 411512, -1936, -5248, 5904
1589576479137, 411523, -1936, -5248, 5856
1589576479148, 411534, -1888, -5264, 5840
1589576479159, 411545, -1888, -5296, 5792
1589576479170, 411556, -1952, -5328, 5952
1589576479181, 411567, -1888, -5312, 5952
1589576479191, 411578, -1904, -5344, 5872
1589576479204, 411589, -1984, -5360, 5776
1589576479214, 411600, -1872, -5312, 5744
1589576479225, 411611, -1936, -5312, 5760
1589576479235, 411622, -1872, -5376, 5776
1589576479247, 411633, -1904, -5296, 5808
1589576479257, 411644, -1872, -5216, 5776
1589576479269, 411655, -1920, -5296, 5840
1589576479279, 411666, -1920, -5280, 5936
1589576479291, 411677, -1920, -5328, 5904
1589576479301, 411688, -1952, -5488, 5920
1589576479313, 411699, -1968, -5600, 6032
1589576479325, 411710, -1888, -5600, 5984
1589576479335, 411721, -1904, -5328, 5936
1589576479346, 411732, -1840, -5152, 5968
1589576479357, 411743, -1856, -5136, 6000
1589576479368, 411754, -1888, -5216, 5984
1589576479379, 411765, -1760, -5328, 5808
1589576479390, 411776, -1776, -5344, 5744
1589576479401, 411787, -1856, -5408, 5712
1589576479411, 411798, -1856, -5360, 5616
1589576479423, 411809, -1760, -5296, 5696
1589576479434, 411820, -1792, -5248, 5744
1589576479445, 411831, -1920, -5168, 5792
1589576479457, 411842, -1792, -5152, 5872
1589576479467, 411853, -1872, -5104, 5968
1589576479477, 411864, -1824, -5152, 5872
1589576479489, 411875, -1856, -5136, 5888
1589576479499, 411886, -1888, -5088, 5776
1589576479511, 411897, -1904, -5152, 5888
1589576479521, 411908, -1888, -5264, 5872
1589576479533, 411919, -1920, -5216, 5808
1589576479544, 411930, -1840, -5232, 5888
1589576479555, 411941, -1920, -5280, 5888
1589576479566, 411952, -1856, -5200, 5888
1589576479576, 411963, -1808, -5200, 5920
1589576479588, 411974, -1840, -5168, 5888
1589576479598, 411985, -1792, -5088, 5952
1589576479610, 411996, -1744, -5104, 5872
1589576479620, 412007, -1824, -5152, 6096
1589576479632, 412018, -1888, -5232, 5984
1589576479644, 412029, -1792, -5408, 5920
