Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576328800, 261186, 2544, -5760, 4768
1589576328811, 261197, 2640, -5712, 4720
1589576328822, 261208, 2560, -5792, 4816
1589576328834, 261219, 2560, -5776, 4928
1589576328844, 261230, 2560, -5808, 4992
1589576328855, 261241, 2528, -5840, 5040
1589576328867, 261252, 2544, -5904, 5024
1589576328877, 261263, 2528, -5856, 4976
1589576328889, 261274, 2544, -5856, 4864
1589576328900, 261285, 2480, -5840, 4832
1589576328910, 261296, 2496, -5904, 4848
1589576328921, 261307, 2640, -6080, 4752
1589576328933, 261318, 2656, -6208, 4640
1589576328943, 261329, 2608, -6256, 4560
1589576328954, 261340, 2640, -6208, 4480
1589576328966, 261351, 2512, -6128, 4496
1589576328976, 261362, 2560, -6048, 4544
1589576328987, 261373, 2496, -6112, 4624
1589576328998, 261384, 2464, -6160, 4816
1589576329009, 261395, 2592, -6176, 4848
1589576329020, 261406, 2464, -6432, 4976
1589576329031, 261417, 2544, -6272, 4960
1589576329043, 261428, 2800, -6448, 4736
1589576329053, 261439, 3120, -6560, 4560
1589576329065, 261450, 3296, -6400, 4432
1589576329075, 261461, 3488, -6384, 4208
1589576329087, 261472, 3504, -6496, 4048
1589576329097, 261483, 3936, -6640, 4080
1589576329108, 261494, 3888, -6512, 4384
1589576329120, 261505, 3808, -6512, 4960
1589576329130, 261516, 3264, -6608, 5168
1589576329141, 261527, 3056, -7136, 5008
1589576329152, 261538, 2976, -7776, 4592
1589576329164, 261549, 2640, -8176, 4144
1589576329174, 261560, 2560, -8208, 3536
1589576329186, 261571, 2240, -8032, 2992
1589576329197, 261582, 1952, -7168, 2560
1589576329208, 261593, 2304, -6080, 3024
1589576329218, 261604, 1904, -5744, 4640
1589576329230, 261615, 992, -5136, 6208
1589576329241, 261626, 848, -5760, 7104
1589576329251, 261637, 768, -6448, 7088
1589576329262, 261648, 960, -7120, 5648
1589576329273, 261659, 928, -7520, 4560
1589576329285, 261670, 496, -7344, 3616
1589576329295, 261681, 1280, -7904, 2704
1589576329307, 261692, 1344, -7792, 2640
1589576329317, 261703, 624, -7360, 2784
1589576329328, 261714, 0, -6336, 3504
1589576329340, 261725, -816, -5856, 3984
1589576329350, 261736, -1744, -5984, 4144
1589576329361, 261747, -2512, -6624, 3312
1589576329372, 261758, -2960, -7056, 2176
1589576329384, 261769, -3120, -7376, 784
1589576329394, 261780, -3024, -7952, -448
1589576329406, 261791, -4848, -8576, -928
1589576329416, 261802, -6448, -9232, -976
1589576329427, 261813, -6912, -10000, -1904
1589576329438, 261824, -9200, -10208, -3072
1589576329450, 261835, -9536, -10816, -4896
1589576329461, 261846, -10240, -12032, -6736
1589576329471, 261857, -11536, -13568, -8160
1589576329483, 261868, -13008, -15184, -9040
1589576329494, 261879, -14560, -16768, -9184
1589576329504, 261890, -16480, -18560, -8672
1589576329515, 261901, -19728, -20784, -7808
1589576329527, 261912, -22336, -21904, -6416
1589576329539, 261923, -24592, -22096, -4368
1589576329549, 261934, -25120, -21200, -1120
1589576329560, 261945, -31840, -21392, 2736
1589576329570, 261956, -32576, -22016, 7312
1589576329582, 261967, -32608, -24288, 10208
1589576329593, 261978, -32624, -25856, 11408
1589576329604, 261989, -32624, -24368, 11712
1589576329615, 262000, -32624, -19616, 11136
1589576329626, 262011, -32624, -15632, 10144
1589576329636, 262022, -32624, -11648, 9968
1589576329647, 262033, -32624, -7648, 11200
1589576329658, 262044, -32624, -2752, 10848
1589576329670, 262055, -32624, 1552, 9536
1589576329680, 262066, -32624, 3808, 8944
1589576329691, 262077, -30800, 5168, 9936
1589576329703, 262088, -30160, 5920, 11904
1589576329713, 262099, -22448, 5664, 13328
1589576329724, 262110, -18192, 4784, 13760
1589576329736, 262121, -17168, 3632, 13760
1589576329747, 262132, -12304, 2480, 13552
1589576329758, 262143, -11120, 2848, 14000
1589576329768, 262154, -10224, 3440, 14384
1589576329779, 262165, -8832, 2896, 14528
1589576329791, 262176, -7376, 368, 14320
1589576329801, 262187, -6160, -1328, 13968
1589576329813, 262198, -5088, -2080, 13344
1589576329824, 262209, -4976, -2288, 12304
1589576329835, 262220, -3712, -2464, 11280
1589576329846, 262231, -3312, -2560, 9856
1589576329856, 262242, -3248, -2384, 8688
1589576329868, 262253, -2256, -2304, 7856
1589576329878, 262264, -1936, -2272, 7024
1589576329889, 262275, -1520, -2528, 6544
1589576329901, 262286, -1040, -2896, 6448
1589576329912, 262297, -624, -3408, 6688
1589576329922, 262308, -464, -3584, 6896
1589576329933, 262319, -272, -3344, 7328
1589576329944, 262330, -128, -3200, 7600
1589576329955, 262341, -192, -2944, 8096
1589576329966, 262352, -160, -2848, 8368
1589576329977, 262363, -224, -3216, 8352
1589576329988, 262374, -640, -3424, 8176
1589576329999, 262385, -464, -3696, 7568
1589576330010, 262396, -384, -3936, 7408
1589576330021, 262407, 16, -3920, 7344
1589576330032, 262418, -112, -3376, 7568
1589576330043, 262429, -192, -2752, 7952
1589576330055, 262440, -480, -2576, 8304
1589576330065, 262451, -784, -3056, 8496
1589576330077, 262462, -1040, -3424, 8432
1589576330087, 262473, -1120, -3376, 8352
1589576330099, 262484, -1344, -2672, 8352
