Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576424434, 356820, 3840, -4800, 5888
1589576424444, 356831, 3760, -4912, 7152
1589576424456, 356842, 3808, -4496, 7760
1589576424467, 356853, 3840, -3952, 7888
1589576424479, 356864, 3936, -3472, 7424
1589576424489, 356875, 3952, -3728, 6608
1589576424500, 356886, 4000, -3888, 6192
1589576424511, 356897, 3856, -3536, 6208
1589576424521, 356908, 4128, -2944, 6352
1589576424533, 356919, 4304, -2384, 5760
1589576424544, 356930, 4400, -1520, 5440
1589576424555, 356941, 4592, -1040, 5232
1589576424566, 356952, 4464, -848, 4992
1589576424577, 356963, 4416, -480, 5328
1589576424588, 356974, 4080, -288, 5568
1589576424598, 356985, 4112, -352, 5504
1589576424610, 356996, 4192, -336, 5600
1589576424621, 357007, 4160, 208, 5488
1589576424632, 357018, 4000, 1504, 5424
1589576424643, 357029, 4016, 2656, 5280
1589576424654, 357040, 4064, 3216, 4592
1589576424665, 357051, 4112, 3328, 3424
1589576424676, 357062, 4688, 2992, 2384
1589576424686, 357073, 4848, 2384, 2016
1589576424698, 357084, 4976, 2384, 2080
1589576424709, 357095, 5184, 2720, 2160
1589576424720, 357106, 5328, 3328, 2816
1589576424730, 357117, 5216, 3696, 2928
1589576424742, 357128, 5216, 3984, 3088
1589576424753, 357139, 5680, 3984, 3072
1589576424764, 357150, 5856, 3408, 3024
1589576424774, 357161, 5904, 2832, 2992
1589576424786, 357172, 6128, 2368, 3152
1589576424796, 357183, 6240, 1776, 3376
1589576424808, 357194, 5952, 1520, 3792
1589576424819, 357205, 5888, 1776, 4656
1589576424829, 357216, 5936, 2368, 5040
1589576424841, 357227, 5840, 2608, 5040
1589576424852, 357238, 5824, 2880, 4992
1589576424863, 357249, 6016, 2608, 4864
1589576424874, 357260, 6224, 1488, 4656
1589576424884, 357271, 6096, 704, 4928
1589576424896, 357282, 6032, 752, 5472
1589576424906, 357293, 5856, 1680, 6128
1589576424917, 357304, 5568, 2608, 6896
1589576424929, 357315, 5312, 3584, 8064
1589576424940, 357326, 4656, 4528, 9216
1589576424950, 357337, 4048, 5984, 9632
1589576424962, 357348, 3456, 7424, 9840
1589576424973, 357359, 3376, 8048, 10320
1589576424984, 357370, 2016, 8096, 10608
1589576424994, 357381, 1536, 8080, 10560
1589576425006, 357392, 1376, 7488, 10736
1589576425016, 357403, -96, 7168, 11552
1589576425028, 357414, -1376, 7424, 12912
1589576425039, 357425, -2240, 8528, 13648
1589576425050, 357436, -3472, 9872, 14304
1589576425062, 357447, -4864, 11104, 15232
1589576425072, 357458, -6304, 11664, 15472
1589576425083, 357469, -7648, 11344, 16000
1589576425094, 357480, -8064, 10224, 17648
1589576425105, 357491, -11856, 9408, 19168
1589576425116, 357502, -14416, 8336, 21328
1589576425127, 357513, -15184, 8848, 23920
1589576425138, 357524, -20464, 10016, 26320
1589576425150, 357535, -22352, 12416, 28096
1589576425160, 357546, -22992, 12640, 27344
1589576425171, 357557, -26912, 10896, 24912
1589576425182, 357568, -29488, 3200, 19776
1589576425193, 357579, -31440, -4944, 14832
1589576425205, 357590, -32544, -12752, 10528
1589576425215, 357601, -32624, -22848, 8416
1589576425226, 357612, -32624, -29456, 7104
1589576425237, 357623, -32624, -30576, 5168
1589576425248, 357634, -32624, -29840, 1552
1589576425259, 357645, -32624, -32208, -4272
1589576425271, 357656, -32624, -31632, -15344
1589576425281, 357667, -32624, -29472, -28192
1589576425293, 357678, -32624, -26688, -32352
1589576425303, 357689, -32624, -12896, -32624
1589576425314, 357700, -32624, -6224, -32624
1589576425325, 357711, -2400, -5136, -32624
1589576425336, 357722, -944, -8928, -32624
1589576425347, 357733, -1440, -10688, -25392
1589576425359, 357744, -2704, -13776, -16096
1589576425369, 357755, -4416, -2096, 3904
1589576425380, 357766, -4688, 1520, 7216
1589576425391, 357777, -8896, 3296, 2832
1589576425402, 357788, -8800, 5408, -5760
1589576425413, 357799, -7792, 6000, -12064
1589576425425, 357810, -7152, 5968, -16320
1589576425435, 357821, -6816, 4080, -19264
1589576425446, 357832, -5088, 1632, -21888
1589576425457, 357843, -3872, -736, -22496
1589576425469, 357854, -3376, -1808, -21536
1589576425479, 357865, -2864, -2112, -19984
1589576425490, 357876, -2816, -2288, -17360
1589576425501, 357887, -2832, -2880, -15216
1589576425513, 357898, -3248, -3312, -13376
1589576425523, 357909, -3088, -2800, -11920
1589576425534, 357920, -3200, -2256, -11216
1589576425546, 357931, -2640, -2064, -10512
1589576425556, 357942, -2224, -3264, -10480
1589576425567, 357953, -2144, -3968, -11088
1589576425578, 357964, -2048, -3552, -11280
1589576425589, 357975, -2096, -2464, -10992
1589576425601, 357986, -2192, -1648, -10592
1589576425611, 357997, -2128, -1632, -10000
1589576425622, 358008, -2224, -1648, -9728
1589576425633, 358019, -2240, -1760, -9504
1589576425644, 358030, -1472, -2336, -8624
1589576425655, 358041, -1152, -3024, -7952
1589576425666, 358052, -1232, -3824, -7536
1589576425678, 358063, -1168, -4784, -7104
1589576425688, 358074, -1008, -5216, -7680
1589576425699, 358085, -1248, -4240, -8944
