Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576351945, 284330, -3936, -9600, 7312
1589576351956, 284341, -4208, -8848, 7984
1589576351967, 284352, -4496, -7776, 9440
1589576351977, 284363, -4768, -7072, 10544
1589576351989, 284374, -5120, -6288, 11680
1589576351999, 284385, -5232, -7088, 12720
1589576352011, 284396, -7632, -9376, 13216
1589576352021, 284407, -8224, -12032, 12624
1589576352033, 284418, -8352, -13760, 11424
1589576352044, 284429, -8992, -12368, 10768
1589576352054, 284440, -9952, -9360, 11024
1589576352066, 284451, -10240, -7888, 10800
1589576352076, 284462, -11408, -8016, 9712
1589576352087, 284473, -12160, -10288, 7712
1589576352099, 284484, -13072, -12704, 6544
1589576352109, 284495, -13424, -14144, 6128
1589576352121, 284506, -13952, -13408, 6528
1589576352132, 284517, -15152, -12256, 7680
1589576352143, 284528, -16864, -11984, 9440
1589576352154, 284539, -17408, -12192, 11920
1589576352165, 284550, -22192, -11744, 14160
1589576352176, 284561, -24608, -12112, 14448
1589576352186, 284572, -25312, -15744, 12160
1589576352198, 284583, -31696, -18880, 9296
1589576352208, 284594, -32576, -21984, 6368
1589576352220, 284605, -32608, -23760, 4448
1589576352230, 284616, -32624, -24240, 2848
1589576352242, 284627, -32624, -23056, 1632
1589576352252, 284638, -32624, -21968, 816
1589576352264, 284649, -32624, -19856, 528
1589576352274, 284660, -32624, -20576, -1088
1589576352286, 284671, -32624, -19776, -1152
1589576352296, 284682, -32624, -18272, -832
1589576352307, 284693, -32624, -16560, 784
1589576352319, 284704, -31824, -14784, 1760
1589576352330, 284715, -30176, -12736, 1504
1589576352340, 284726, -29680, -11056, 320
1589576352352, 284737, -26976, -10768, -848
1589576352362, 284748, -24960, -10576, -2768
1589576352374, 284759, -24288, -10656, -4048
1589576352385, 284770, -18880, -10784, -4544
1589576352396, 284781, -16544, -11008, -4832
1589576352407, 284792, -15056, -11136, -4336
1589576352417, 284803, -13760, -11456, -3792
1589576352428, 284814, -13120, -11760, -3616
1589576352440, 284825, -12224, -11440, -3760
1589576352451, 284836, -11104, -10976, -4032
1589576352461, 284847, -10736, -10512, -4544
1589576352473, 284858, -8144, -10528, -5248
1589576352483, 284869, -7712, -10304, -6128
1589576352495, 284880, -7616, -9680, -6352
1589576352505, 284891, -5936, -9328, -5840
1589576352517, 284902, -5088, -9488, -4752
1589576352528, 284913, -4896, -9424, -4416
1589576352538, 284924, -3152, -9312, -4272
1589576352549, 284935, -2608, -9792, -3968
1589576352560, 284946, -2240, -10336, -3536
1589576352572, 284957, -1792, -10752, -2832
1589576352583, 284968, -1376, -11472, -2144
1589576352594, 284979, -1264, -11776, -1392
1589576352605, 284990, -1168, -11728, -1072
1589576352615, 285001, -1328, -11184, -448
1589576352627, 285012, -1056, -10416, -192
1589576352638, 285023, -688, -9616, -224
1589576352648, 285034, -656, -9040, -608
1589576352660, 285045, -464, -8432, -736
1589576352670, 285056, -240, -8576, -144
1589576352682, 285067, -320, -8960, 560
1589576352693, 285078, -1056, -9072, 1056
1589576352703, 285089, -1248, -8928, 1344
1589576352714, 285100, -1424, -8624, 1552
1589576352726, 285111, -1472, -8256, 1504
1589576352736, 285122, -1376, -8128, 1184
1589576352748, 285133, -1536, -8096, 1088
1589576352759, 285144, -1472, -7920, 1040
1589576352769, 285155, -1344, -7712, 960
1589576352781, 285166, -1104, -7488, 672
1589576352791, 285177, -928, -7072, 192
1589576352802, 285188, -944, -6736, 32
1589576352812, 285199, -736, -6656, 64
1589576352824, 285210, -912, -6720, 416
1589576352835, 285221, -896, -7088, 560
1589576352846, 285232, -1088, -7376, 496
1589576352857, 285243, -1184, -7280, 240
1589576352869, 285254, -1568, -7200, 448
1589576352879, 285265, -1392, -7280, 736
