Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576459084, 391470, 6304, -4448, -1216
1589576459095, 391481, 6272, -4464, -1264
1589576459106, 391492, 6288, -4432, -1264
1589576459117, 391503, 6304, -4496, -1264
1589576459128, 391514, 6320, -4464, -1328
1589576459138, 391525, 6304, -4496, -1360
1589576459150, 391536, 6288, -4512, -1552
1589576459160, 391547, 6288, -4560, -1344
1589576459172, 391558, 6304, -4544, -1312
1589576459184, 391569, 6304, -4480, -1408
1589576459194, 391580, 6288, -4432, -1408
1589576459205, 391591, 6352, -4416, -1392
1589576459216, 391602, 6352, -4432, -1424
1589576459226, 391613, 6352, -4512, -1296
1589576459238, 391624, 6304, -4432, -1344
1589576459248, 391635, 6272, -4400, -1280
1589576459259, 391646, 6336, -4384, -1248
1589576459271, 391657, 6352, -4384, -1248
1589576459282, 391668, 6336, -4336, -1104
1589576459294, 391679, 6352, -4336, -1024
1589576459304, 391690, 6304, -4432, -1024
1589576459315, 391701, 6336, -4416, -912
1589576459326, 391712, 6416, -4416, -880
1589576459337, 391723, 6432, -4352, -880
1589576459348, 391734, 6464, -4304, -864
1589576459358, 391745, 6528, -4336, -800
1589576459370, 391756, 6624, -4512, -848
1589576459381, 391767, 6688, -4720, -1024
1589576459392, 391778, 6736, -4992, -1376
1589576459403, 391789, 6800, -4960, -2128
1589576459413, 391800, 6592, -4880, -2752
1589576459425, 391811, 6560, -4720, -3648
1589576459436, 391822, 6576, -4528, -4608
1589576459447, 391833, 6896, -4304, -5520
1589576459457, 391844, 6800, -4304, -7184
1589576459469, 391855, 6848, -4176, -8096
1589576459481, 391866, 6560, -4096, -8656
1589576459491, 391877, 6160, -3728, -9344
1589576459503, 391888, 5840, -3168, -9680
1589576459513, 391899, 5328, -2496, -9936
1589576459525, 391910, 4640, -1808, -9776
1589576459535, 391921, 4224, -1440, -9424
1589576459546, 391932, 3664, -1104, -8944
1589576459557, 391943, 3520, -944, -8336
1589576459568, 391954, 2544, -976, -7888
1589576459578, 391965, 1920, -768, -6944
1589576459590, 391976, 1728, -496, -6368
1589576459600, 391987, 592, -112, -5584
1589576459611, 391998, -64, 240, -4752
1589576459622, 392009, -880, 416, -3696
1589576459634, 392020, -1504, 256, -2560
1589576459644, 392031, -2272, 0, -1360
1589576459656, 392042, -2640, -496, -416
1589576459666, 392053, -3136, -1168, 192
1589576459678, 392064, -3600, -2176, 768
1589576459689, 392075, -4080, -3168, 1216
1589576459700, 392086, -4480, -3952, 1904
1589576459711, 392097, -4544, -4576, 3248
1589576459721, 392108, -4176, -4976, 4704
1589576459734, 392119, -4096, -5824, 7216
1589576459743, 392130, -4080, -6704, 8848
1589576459755, 392141, -4064, -7808, 10080
1589576459766, 392152, -3936, -9200, 10560
1589576459777, 392163, -3968, -10128, 9632
1589576459788, 392174, -3072, -10832, 8384
1589576459800, 392185, -1968, -12112, 7248
1589576459810, 392196, -1424, -13440, 6752
1589576459821, 392207, -1024, -14272, 6448
1589576459832, 392218, -912, -15104, 5744
1589576459843, 392229, -80, -15648, 4688
1589576459853, 392240, 32, -15952, 3504
1589576459865, 392251, 80, -16160, 3552
1589576459875, 392262, 656, -16272, 4064
1589576459887, 392273, 864, -16384, 4976
1589576459897, 392284, 944, -16880, 6096
1589576459909, 392295, 544, -17552, 6496
1589576459920, 392306, 128, -18704, 5936
1589576459930, 392317, 272, -19408, 4768
1589576459942, 392328, 528, -19568, 3376
1589576459953, 392339, 768, -19056, 1360
1589576459964, 392350, 1696, -18512, 368
1589576459975, 392361, 1984, -17856, -32
1589576459986, 392372, 1776, -17168, -736
1589576459998, 392383, 1680, -16608, -1424
1589576460008, 392394, 1536, -16464, -2256
1589576460019, 392405, 1536, -16368, -1888
1589576460030, 392416, 1520, -16288, -1344
1589576460041, 392427, 1072, -15664, -1056
1589576460053, 392438, 864, -14752, -1536
1589576460063, 392449, -480, -14256, -2336
1589576460073, 392460, -1216, -14320, -3776
1589576460085, 392471, -1536, -14288, -5152
1589576460097, 392482, -1536, -14336, -6224
1589576460107, 392493, -1504, -14672, -7824
1589576460117, 392504, -1232, -14560, -8992
1589576460129, 392515, -1040, -14208, -9776
1589576460141, 392526, -976, -13520, -10096
1589576460151, 392537, -1072, -12720, -9760
1589576460162, 392548, -1216, -11952, -8848
1589576460173, 392559, -1216, -11072, -8144
1589576460184, 392570, -1648, -10576, -7472
1589576460195, 392581, -1760, -10272, -6688
1589576460206, 392592, -1568, -10016, -6256
1589576460216, 392603, -1456, -9936, -6000
1589576460228, 392614, -1248, -9664, -5680
