Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576513170, 445557, 6656, -3984, 976
1589576513181, 445568, 6800, -3984, 944
1589576513192, 445579, 6784, -3968, 1072
1589576513204, 445590, 6800, -4016, 976
1589576513214, 445601, 6736, -4000, 912
1589576513226, 445612, 6800, -3952, 1072
1589576513236, 445623, 6784, -4000, 992
1589576513248, 445634, 6816, -3904, 1024
1589576513258, 445645, 6832, -3824, 1056
1589576513270, 445656, 6848, -3904, 1088
1589576513281, 445667, 6736, -4000, 1120
1589576513292, 445678, 6720, -3888, 1088
1589576513303, 445689, 6768, -3872, 1072
1589576513314, 445700, 6816, -3872, 1008
1589576513324, 445711, 6816, -3952, 944
1589576513336, 445722, 6816, -3888, 992
1589576513347, 445733, 6816, -3840, 896
1589576513357, 445744, 6848, -3872, 1120
1589576513369, 445755, 6816, -3856, 1136
1589576513380, 445766, 6832, -3888, 1088
1589576513391, 445777, 6832, -3936, 1104
1589576513402, 445788, 6944, -3904, 1152
1589576513413, 445799, 6928, -3904, 1152
1589576513424, 445810, 6944, -3760, 1216
1589576513434, 445821, 6880, -3584, 1360
1589576513446, 445832, 6880, -3488, 1488
1589576513456, 445843, 6752, -3312, 1696
1589576513467, 445854, 6784, -3152, 1856
1589576513478, 445865, 6768, -2960, 1888
1589576513490, 445876, 6560, -2832, 2064
1589576513500, 445887, 6448, -2624, 2144
1589576513512, 445898, 6144, -2336, 2400
1589576513522, 445909, 5872, -2080, 2672
1589576513534, 445920, 5376, -1584, 2912
1589576513545, 445931, 4976, -1328, 3152
1589576513555, 445942, 4528, -1072, 3296
1589576513567, 445953, 3936, -800, 3440
1589576513577, 445964, 3456, -432, 3520
1589576513588, 445975, 3056, -16, 3568
1589576513600, 445986, 2960, 784, 3440
1589576513610, 445997, 1840, 1504, 3280
1589576513622, 446008, 1296, 2160, 3136
1589576513632, 446019, 1152, 2832, 2816
1589576513643, 446030, 64, 3024, 2576
1589576513655, 446041, -720, 3360, 1856
1589576513665, 446052, -1648, 3328, 1120
1589576513677, 446063, -2368, 2864, 576
1589576513687, 446074, -3264, 1776, -80
1589576513698, 446085, -3968, 432, -1104
1589576513710, 446096, -4704, -1008, -2560
1589576513721, 446107, -5488, -2768, -4672
1589576513732, 446118, -6112, -4288, -6080
1589576513743, 446129, -6896, -5856, -6624
1589576513754, 446140, -7008, -8768, -6944
1589576513766, 446151, -7056, -11648, -7200
1589576513776, 446162, -6928, -14144, -7568
1589576513786, 446173, -6848, -15776, -7584
1589576513798, 446184, -6512, -16064, -7296
1589576513809, 446195, -6464, -16000, -6352
1589576513820, 446206, -6512, -16240, -5328
1589576513831, 446217, -6832, -16192, -4192
1589576513841, 446228, -7216, -15712, -3120
1589576513853, 446239, -7344, -15760, -2016
1589576513864, 446250, -7344, -16528, -1120
1589576513875, 446261, -7136, -17440, -256
1589576513886, 446272, -6912, -17872, 160
1589576513896, 446283, -6384, -18384, 768
1589576513908, 446294, -6208, -19232, 1920
1589576513919, 446305, -6496, -20144, 3424
1589576513930, 446316, -7312, -20192, 6400
1589576513942, 446327, -7600, -19120, 9616
1589576513952, 446338, -7664, -17472, 12656
1589576513963, 446349, -7040, -15696, 14992
1589576513974, 446360, -6448, -15472, 15376
1589576513984, 446371, -5792, -15408, 15504
1589576513996, 446382, -5040, -15264, 15792
1589576514007, 446393, -4816, -15360, 15552
1589576514018, 446404, -4688, -14864, 15232
1589576514029, 446415, -5232, -13024, 15136
1589576514040, 446426, -5840, -10944, 14928
1589576514051, 446437, -6032, -8608, 15024
1589576514061, 446448, -6032, -6192, 15600
1589576514073, 446459, -5712, -5104, 16240
1589576514083, 446470, -5232, -5024, 16144
1589576514094, 446481, -4992, -5456, 15008
1589576514105, 446492, -4464, -5760, 13712
1589576514116, 446503, -4480, -5856, 12224
1589576514128, 446514, -4544, -5536, 11408
1589576514139, 446525, -4544, -4752, 11168
1589576514150, 446536, -4272, -3840, 11216
1589576514160, 446547, -4208, -3504, 11248
1589576514172, 446558, -4112, -3360, 11040
1589576514183, 446569, -4048, -3520, 10592
1589576514193, 446580, -3632, -3792, 9984
1589576514205, 446591, -3376, -4032, 9072
1589576514215, 446602, -3344, -4128, 8432
1589576514226, 446613, -2992, -4016, 7840
1589576514238, 446624, -2896, -3536, 7056
1589576514248, 446635, -2848, -2976, 6432
1589576514260, 446646, -2864, -2448, 5872
1589576514271, 446657, -2800, -2000, 5296
1589576514282, 446668, -2624, -1648, 5072
1589576514293, 446679, -2592, -1632, 4592
1589576514304, 446690, -2720, -2000, 4192
1589576514314, 446701, -2464, -2256, 3936
1589576514326, 446712, -2400, -2432, 3312
1589576514336, 446723, -2368, -2528, 2160
1589576514348, 446734, -1760, -2592, 1040
1589576514358, 446745, -1472, -2864, -160
1589576514370, 446756, -1424, -3120, -1008
1589576514381, 446767, -1008, -3232, -1552
1589576514392, 446778, -816, -3392, -2000
1589576514403, 446789, -560, -3696, -2688
1589576514413, 446800, 32, -4032, -3424
1589576514424, 446811, 736, -4384, -4192
1589576514436, 446822, 1376, -4736, -4736
1589576514447, 446833, 1712, -5088, -5120
1589576514457, 446844, 2368, -5520, -5472
1589576514469, 446855, 2560, -5792, -5808
1589576514479, 446866, 2576, -5776, -6256
1589576514490, 446877, 2688, -5216, -6896
1589576514501, 446888, 3344, -4928, -7216
1589576514513, 446899, 3472, -4672, -7472
1589576514524, 446910, 3472, -4464, -7776
1589576514534, 446921, 4096, -5104, -8064
1589576514546, 446932, 4624, -6192, -8336
1589576514556, 446943, 4784, -6544, -7888
1589576514568, 446954, 5344, -6832, -7456
