Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576550999, 483386, 6176, -4240, -1616
1589576551011, 483397, 6176, -4304, -1584
1589576551021, 483408, 6208, -4256, -1520
1589576551033, 483419, 6160, -4240, -1552
1589576551043, 483430, 6128, -4240, -1536
1589576551054, 483441, 6032, -4192, -1552
1589576551065, 483452, 6160, -4272, -1600
1589576551077, 483463, 6208, -4256, -1696
1589576551087, 483474, 6208, -4384, -1600
1589576551098, 483485, 6192, -4496, -1600
1589576551109, 483496, 6144, -4512, -1856
1589576551120, 483507, 6240, -4576, -1792
1589576551131, 483518, 6240, -4688, -2032
1589576551142, 483529, 6288, -4832, -2160
1589576551154, 483540, 6288, -4832, -2128
1589576551165, 483551, 6288, -4800, -2016
1589576551175, 483562, 6144, -4672, -2112
1589576551186, 483573, 6208, -4656, -2128
1589576551198, 483584, 6160, -4656, -2048
1589576551209, 483595, 6160, -4672, -2064
1589576551220, 483606, 6192, -4656, -2080
1589576551230, 483617, 6160, -4560, -2128
1589576551241, 483628, 6160, -4528, -2176
1589576551252, 483639, 6128, -4544, -2080
1589576551264, 483650, 6208, -4560, -1904
1589576551274, 483661, 6144, -4608, -1888
1589576551286, 483672, 6176, -4528, -1872
1589576551296, 483683, 6224, -4368, -1872
1589576551308, 483694, 6240, -4224, -1760
1589576551318, 483705, 6256, -4160, -1728
1589576551329, 483716, 6192, -4288, -1504
1589576551340, 483727, 6320, -4416, -1344
1589576551352, 483738, 6320, -4336, -1184
1589576551362, 483749, 6400, -4240, -1200
1589576551373, 483760, 6368, -4112, -1168
1589576551384, 483771, 6416, -4128, -1312
1589576551396, 483782, 6512, -4240, -1392
1589576551406, 483793, 6224, -4240, -1408
1589576551417, 483804, 6224, -4240, -1312
1589576551428, 483815, 6032, -4160, -1360
1589576551440, 483826, 5888, -4112, -1232
1589576551450, 483837, 5584, -3888, -1392
1589576551462, 483848, 5312, -3616, -1632
1589576551473, 483859, 4992, -3440, -2000
1589576551483, 483870, 4832, -3296, -2832
1589576551495, 483881, 4224, -3344, -3456
1589576551505, 483892, 3760, -3344, -4432
1589576551516, 483903, 3696, -3392, -4848
1589576551527, 483914, 2928, -3792, -5424
1589576551538, 483925, 2624, -4240, -6464
1589576551550, 483936, 2576, -4464, -7456
1589576551560, 483947, 2096, -4576, -8640
1589576551571, 483958, 1760, -4544, -10112
1589576551583, 483969, 1472, -4608, -10848
1589576551594, 483980, 1120, -4624, -11488
1589576551604, 483991, 496, -5008, -11776
1589576551616, 484002, 64, -5392, -12080
1589576551626, 484013, -176, -5584, -12688
1589576551637, 484024, -240, -5824, -13680
1589576551649, 484035, -976, -5888, -14096
1589576551659, 484046, -1280, -6000, -13696
1589576551671, 484057, -1408, -6000, -13056
1589576551681, 484068, -2496, -5872, -12336
1589576551693, 484079, -3280, -5776, -11344
1589576551704, 484090, -3984, -5920, -10368
1589576551714, 484101, -4160, -6176, -9568
1589576551726, 484112, -4336, -6768, -8816
1589576551737, 484123, -4576, -7424, -8128
1589576551748, 484134, -4960, -8000, -7120
1589576551759, 484145, -5744, -8320, -5040
1589576551770, 484156, -6560, -8784, -2736
1589576551781, 484167, -7360, -9616, -368
1589576551791, 484178, -7504, -10480, 1856
1589576551803, 484189, -6720, -10896, 3424
1589576551814, 484200, -6080, -10944, 4880
1589576551824, 484211, -6032, -10832, 6400
1589576551836, 484222, -6944, -9840, 8176
1589576551846, 484233, -7584, -8624, 10864
1589576551857, 484244, -8496, -7840, 13088
1589576551868, 484255, -8768, -6736, 15184
1589576551880, 484266, -8480, -4704, 17312
1589576551890, 484277, -7856, -2944, 18336
1589576551902, 484288, -7728, -1120, 19040
