Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576564661, 497048, 6272, -2960, 3904
1589576564672, 497059, 6256, -3072, 3856
1589576564684, 497070, 6160, -3216, 3792
1589576564694, 497081, 6288, -3344, 3888
1589576564705, 497092, 6384, -3424, 4048
1589576564716, 497103, 6416, -3424, 4080
1589576564727, 497114, 6432, -3312, 4080
1589576564739, 497125, 6336, -3360, 4272
1589576564749, 497136, 6320, -3296, 4272
1589576564760, 497147, 6192, -3088, 4352
1589576564771, 497158, 6224, -2864, 4400
1589576564782, 497169, 6272, -2736, 4496
1589576564793, 497180, 6208, -2784, 4416
1589576564804, 497191, 6208, -2688, 4432
1589576564815, 497202, 6064, -2544, 4512
1589576564826, 497213, 6048, -2464, 4464
1589576564838, 497224, 6032, -2304, 4448
1589576564848, 497235, 6080, -2272, 4400
1589576564860, 497246, 6128, -2320, 4272
1589576564871, 497257, 6144, -2368, 4272
1589576564881, 497268, 6192, -2464, 4208
1589576564892, 497279, 6096, -2544, 4192
1589576564903, 497290, 6144, -2448, 4288
1589576564915, 497301, 6192, -2256, 4384
1589576564926, 497312, 6240, -2096, 4400
1589576564936, 497323, 6432, -2032, 4352
1589576564947, 497334, 6656, -2080, 4512
1589576564958, 497345, 6656, -2144, 4576
1589576564970, 497356, 6848, -2192, 4736
1589576564980, 497367, 7008, -2400, 5024
1589576564991, 497378, 7024, -2496, 5184
1589576565003, 497389, 7056, -2480, 5440
1589576565013, 497400, 6928, -2432, 5904
1589576565025, 497411, 6864, -2304, 6192
1589576565035, 497422, 6560, -1936, 6752
1589576565046, 497433, 6032, -1312, 7616
1589576565057, 497444, 5536, -624, 8240
1589576565067, 497455, 5024, -48, 8896
1589576565079, 497466, 4880, 304, 9648
1589576565089, 497477, 4288, 544, 10000
1589576565101, 497488, 4016, 720, 10064
1589576565112, 497499, 3952, 1056, 10080
1589576565123, 497510, 3376, 1408, 9840
1589576565135, 497521, 3120, 1760, 9568
1589576565145, 497532, 3184, 1872, 9296
1589576565156, 497543, 2496, 1968, 9136
1589576565167, 497554, 2224, 1952, 8960
1589576565179, 497565, 2080, 1728, 8512
1589576565189, 497576, 1888, 1600, 8032
1589576565201, 497587, 1632, 1360, 7296
1589576565211, 497598, 1312, 1040, 6784
1589576565222, 497609, 992, 608, 6080
1589576565233, 497620, 784, 48, 4832
1589576565244, 497631, 128, -240, 3680
1589576565255, 497642, -192, -704, 2288
1589576565266, 497653, -272, -1200, 1072
1589576565277, 497664, -1200, -1344, 256
1589576565288, 497675, -1664, -1376, -512
1589576565299, 497686, -2288, -1696, -1248
1589576565311, 497697, -2624, -2416, -2288
1589576565321, 497708, -2912, -3264, -3712
1589576565333, 497719, -3104, -3760, -4416
1589576565343, 497730, -3152, -4016, -4960
1589576565355, 497741, -3024, -4544, -5680
1589576565365, 497752, -3008, -5120, -6528
1589576565376, 497763, -2976, -5312, -7312
1589576565388, 497774, -2928, -5232, -8160
1589576565398, 497785, -2960, -5184, -8640
1589576565410, 497796, -2912, -5344, -9152
1589576565421, 497807, -2928, -5344, -9696
1589576565432, 497818, -2528, -5568, -10064
1589576565442, 497829, -2704, -6368, -10864
1589576565454, 497840, -2640, -7344, -11408
1589576565465, 497851, -2544, -8144, -12080
1589576565475, 497862, -2608, -8928, -12608
1589576565487, 497873, -2736, -9360, -13232
1589576565498, 497884, -2704, -9424, -13552
1589576565509, 497895, -2384, -9680, -14208
1589576565520, 497906, -2288, -9888, -14576
1589576565531, 497917, -2400, -9840, -14768
1589576565541, 497928, -2416, -9888, -14272
1589576565553, 497939, -3424, -9568, -13280
1589576565563, 497950, -4176, -8912, -11744
1589576565575, 497961, -4352, -8288, -10576
1589576565585, 497972, -5712, -8160, -9296
1589576565597, 497983, -6176, -8272, -7568
1589576565607, 497994, -6464, -8528, -6112
1589576565619, 498005, -6688, -8832, -4768
1589576565629, 498016, -6704, -9520, -3728
1589576565641, 498027, -7024, -9520, -3344
1589576565652, 498038, -7504, -8928, -2160
1589576565662, 498049, -8000, -7632, -384
1589576565673, 498060, -8192, -6672, 1120
1589576565684, 498071, -8464, -6128, 2800
1589576565696, 498082, -8480, -5744, 4896
1589576565706, 498093, -7728, -5712, 6160
1589576565718, 498104, -7440, -6224, 6880
1589576565728, 498115, -7488, -6240, 6832
1589576565739, 498126, -7632, -5696, 6896
1589576565751, 498137, -7456, -5040, 7744
1589576565762, 498148, -7536, -4960, 8960
1589576565773, 498159, -7760, -5056, 10544
1589576565783, 498170, -7184, -4544, 12784
1589576565795, 498181, -7216, -4000, 14736
1589576565805, 498192, -7168, -3600, 16032
1589576565817, 498203, -7152, -3728, 16288
1589576565827, 498214, -7072, -4784, 15680
1589576565839, 498225, -7008, -7088, 14768
1589576565849, 498236, -7056, -9296, 14208
1589576565861, 498247, -6752, -9984, 14192
1589576565871, 498258, -6528, -9632, 14416
1589576565882, 498269, -6544, -9104, 14336
1589576565893, 498280, -6384, -8992, 13888
1589576565905, 498291, -6656, -8688, 13680
1589576565915, 498302, -6944, -8512, 13168
1589576565926, 498313, -7088, -8800, 12496
1589576565938, 498324, -7136, -10784, 11120
1589576565948, 498335, -7072, -12720, 9936
1589576565960, 498346, -6848, -14272, 8960
1589576565970, 498357, -7584, -13952, 8416
1589576565982, 498368, -8672, -12592, 8304
1589576565992, 498379, -9008, -11328, 7424
1589576566003, 498390, -8928, -11136, 5552
1589576566015, 498401, -9152, -12352, 4144
1589576566025, 498412, -8736, -13744, 2064
1589576566036, 498423, -8608, -15056, 720
1589576566047, 498434, -6752, -15568, -240
1589576566058, 498445, -6192, -14784, -1072
1589576566070, 498456, -6192, -13440, -1056
1589576566080, 498467, -6304, -12400, -736
1589576566092, 498478, -6656, -11856, -576
1589576566102, 498489, -6784, -11680, -672
1589576566114, 498500, -6304, -11632, -656
1589576566124, 498511, -5616, -11920, -512
1589576566135, 498522, -5152, -12256, -304
1589576566146, 498533, -4976, -12144, -208
1589576566158, 498544, -4960, -11408, -64
1589576566168, 498555, -4688, -10608, -16
1589576566179, 498566, -4816, -9792, -32
1589576566191, 498577, -4784, -8704, -48
1589576566201, 498588, -5040, -7744, -368
1589576566212, 498599, -4688, -6768, -512
1589576566223, 498610, -3920, -6512, -384
1589576566234, 498621, -3376, -6688, 80
1589576566245, 498632, -2848, -6464, 912
1589576566256, 498643, -2656, -6176, 1264
1589576566267, 498654, -2512, -5776, 1104
1589576566278, 498665, -2416, -4464, 1040
1589576566290, 498676, -2176, -3536, 960
1589576566300, 498687, -1744, -2960, 1088
1589576566312, 498698, -1616, -2944, 1200
1589576566322, 498709, -304, -3376, 1360
1589576566334, 498720, -128, -3888, 1168
1589576566344, 498731, -80, -3744, 832
1589576566356, 498742, -224, -2688, 1520
