Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576618121, 550508, -1424, -3392, 7168
1589576618133, 550519, -1440, -3344, 7408
1589576618143, 550530, -1456, -3232, 7360
1589576618154, 550541, -1472, -3280, 7360
1589576618165, 550552, -1488, -3296, 7200
1589576618176, 550563, -1504, -3344, 7168
1589576618187, 550574, -1440, -3280, 7120
1589576618197, 550585, -1424, -3328, 7056
1589576618209, 550596, -1488, -3312, 7136
1589576618221, 550607, -1488, -3248, 7248
1589576618231, 550618, -1536, -3264, 7280
1589576618242, 550629, -1536, -3248, 7200
1589576618253, 550640, -1584, -3248, 7392
1589576618265, 550651, -1584, -3264, 7424
1589576618275, 550662, -1584, -3312, 7376
1589576618286, 550673, -1536, -3312, 7456
1589576618297, 550684, -1536, -3248, 7392
1589576618308, 550695, -1440, -3344, 7280
1589576618319, 550706, -1440, -3328, 7248
1589576618330, 550717, -1472, -3280, 7232
1589576618341, 550728, -1456, -3296, 7120
1589576618352, 550739, -1424, -3296, 7152
1589576618363, 550750, -1440, -3392, 7216
1589576618373, 550761, -1504, -3360, 7264
1589576618385, 550772, -1440, -3360, 7360
1589576618396, 550783, -1456, -3376, 7264
1589576618407, 550794, -1472, -3536, 7808
1589576618418, 550805, -1632, -3808, 8432
1589576618429, 550816, -1696, -4416, 10112
1589576618440, 550827, -1568, -5440, 11872
1589576618451, 550838, -1424, -6704, 13712
1589576618462, 550849, -1504, -8400, 16080
1589576618474, 550860, -1568, -9888, 17632
1589576618484, 550871, -1568, -11536, 18576
1589576618495, 550882, -2048, -12960, 19664
1589576618506, 550893, -2864, -13872, 19904
1589576618517, 550904, -2800, -14624, 19232
1589576618528, 550915, -2624, -16720, 18544
1589576618539, 550926, -2048, -17456, 18080
1589576618551, 550937, -1968, -16480, 17392
1589576618561, 550948, -2240, -14672, 16464
1589576618573, 550959, -4528, -12672, 14032
1589576618583, 550970, -6656, -9072, 8608
1589576618593, 550981, -7712, -5632, 3968
1589576618605, 550992, -8432, -1728, 48
1589576618616, 551003, -10272, 3088, -4048
