Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589576390993, 323380, 3584, -8224, 304
1589576391005, 323391, 3536, -7632, -288
1589576391017, 323402, 3440, -7392, -752
1589576391027, 323413, 3440, -7888, -736
1589576391039, 323424, 3488, -9008, 32
1589576391049, 323435, 3344, -9760, 800
1589576391060, 323446, 3296, -10832, 1920
1589576391071, 323457, 3376, -11552, 2512
1589576391082, 323468, 3376, -11680, 2112
1589576391093, 323479, 3360, -11360, 1664
1589576391105, 323490, 3248, -10768, 1584
1589576391115, 323501, 2896, -9888, 1520
1589576391126, 323512, 2944, -8944, 1264
1589576391137, 323523, 2832, -8624, 960
1589576391148, 323534, 2720, -8256, 560
1589576391160, 323545, 2736, -8128, 160
1589576391170, 323556, 2512, -8048, 144
1589576391181, 323567, 2528, -7984, 256
1589576391192, 323578, 2480, -8304, 336
1589576391203, 323589, 2544, -8656, 384
1589576391214, 323600, 2624, -9136, 400
1589576391224, 323611, 2624, -9328, 704
1589576391236, 323622, 2544, -9232, 544
1589576391247, 323633, 2544, -8640, 480
1589576391258, 323644, 2592, -8240, 256
1589576391270, 323655, 2672, -8144, -32
1589576391280, 323666, 2704, -7872, -144
1589576391291, 323677, 2800, -7728, -80
1589576391302, 323688, 2896, -7824, -48
1589576391313, 323699, 2736, -8032, -208
1589576391324, 323710, 2832, -8128, -208
1589576391336, 323721, 2896, -8144, -48
1589576391346, 323732, 2816, -8096, -16
1589576391357, 323743, 2944, -7488, -64
1589576391368, 323754, 2944, -6928, -512
1589576391379, 323765, 2912, -6432, -928
1589576391391, 323776, 3072, -6048, -1088
1589576391401, 323787, 2928, -5632, -1680
1589576391412, 323798, 2944, -5312, -1968
1589576391423, 323809, 2992, -5280, -2096
1589576391434, 323820, 2992, -5056, -2176
1589576391446, 323831, 2528, -4288, -2048
1589576391456, 323842, 3008, -4256, -1952
1589576391468, 323853, 2992, -4176, -2016
1589576391478, 323864, 2304, -3552, -2160
1589576391489, 323875, 2352, -3360, -1696
1589576391500, 323886, 2352, -3504, -1936
1589576391511, 323897, 2128, -3184, -2288
1589576391522, 323908, 2144, -2800, -2144
1589576391533, 323919, 1792, -2320, -1968
1589576391544, 323930, 1568, -1520, -1792
1589576391556, 323941, 928, -1088, -1472
1589576391566, 323952, 608, -1088, -1056
1589576391576, 323963, 208, -848, -816
1589576391588, 323974, 112, -544, -1744
1589576391599, 323985, -448, -144, -2992
1589576391610, 323996, -704, 464, -3808
1589576391621, 324007, -816, 960, -4096
1589576391633, 324018, -1984, 1664, -4288
1589576391643, 324029, -2672, 1760, -4704
1589576391654, 324040, -2832, 1344, -5584
1589576391665, 324051, -4992, 672, -5984
1589576391676, 324062, -6240, -1584, -5424
1589576391688, 324073, -7328, -3136, -5008
1589576391698, 324084, -8352, -3648, -4128
1589576391710, 324095, -9568, -5248, -2240
1589576391720, 324106, -10112, -6800, -880
1589576391731, 324117, -10528, -6928, 416
1589576391743, 324128, -10688, -7424, 2192
1589576391753, 324139, -12256, -8192, 3664
1589576391765, 324150, -13136, -9264, 5520
1589576391775, 324161, -13184, -10544, 9040
1589576391787, 324172, -12992, -11344, 13104
1589576391797, 324183, -13120, -11376, 19584
1589576391808, 324194, -13248, -9824, 25216
1589576391819, 324205, -16192, -7392, 30416
1589576391830, 324216, -17840, -3968, 30720
1589576391841, 324227, -20224, -2720, 24816
1589576391853, 324238, -22112, -4656, 18240
1589576391863, 324249, -23344, -11008, 12224
1589576391874, 324260, -23520, -17952, 9952
1589576391886, 324271, -25264, -23072, 11472
1589576391897, 324282, -25984, -22288, 16224
1589576391907, 324293, -28272, -20656, 17856
1589576391919, 324304, -30944, -19952, 16496
1589576391929, 324315, -31344, -19600, 13984
1589576391941, 324326, -31936, -20048, 11312
1589576391952, 324337, -30960, -20112, 8416
1589576391962, 324348, -30480, -19344, 6912
1589576391974, 324359, -28016, -18496, 6608
1589576391985, 324370, -26608, -15984, 7168
1589576391996, 324381, -25264, -13088, 7488
1589576392006, 324392, -24176, -11424, 6912
1589576392017, 324403, -22688, -10944, 5968
1589576392028, 324414, -20256, -11136, 4256
1589576392039, 324425, -17408, -10992, 2448
1589576392050, 324436, -16768, -10432, 1024
1589576392061, 324447, -11024, -10128, 32
1589576392072, 324458, -8784, -9744, -864
1589576392083, 324469, -8480, -9328, -1504
1589576392095, 324480, -4624, -8784, -2016
1589576392105, 324491, -3296, -8016, -1216
1589576392117, 324502, -3120, -7088, -992
1589576392127, 324513, -2704, -6096, 160
1589576392138, 324524, -2768, -4576, 2352
1589576392149, 324535, -2928, -3472, 3680
1589576392160, 324546, -2816, -2576, 4336
1589576392171, 324557, -3104, -1440, 4576
1589576392182, 324568, -3648, -528, 4848
1589576392194, 324579, -3840, 208, 4720
1589576392205, 324590, -3872, 800, 4592
1589576392215, 324601, -3072, 1024, 4432
1589576392225, 324612, -2224, 768, 4176
1589576392237, 324623, -2080, 128, 3680
1589576392249, 324634, -704, -256, 2864
1589576392259, 324645, -48, -480, 1648
1589576392270, 324656, 64, -368, 1248
1589576392281, 324667, -960, 208, 1680
1589576392293, 324678, -896, 1792, 3408
1589576392303, 324689, -880, 2320, 5216
1589576392314, 324700, -256, 1456, 6656
1589576392324, 324711, 256, -48, 6432
