Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589741553872, 335293, -7072, -1504, 3184
1589741553882, 335304, -7056, -1392, 3344
1589741553894, 335315, -7072, -1456, 3216
1589741553904, 335326, -7136, -1408, 3200
1589741553916, 335337, -7184, -1376, 3120
1589741553927, 335348, -7136, -1456, 3152
1589741553938, 335359, -7104, -1488, 3104
1589741553949, 335370, -7168, -1472, 3152
1589741553959, 335381, -7120, -1424, 3136
1589741553971, 335392, -7072, -1488, 3024
1589741553982, 335403, -7120, -1488, 3200
1589741553993, 335414, -7072, -1472, 3216
1589741554003, 335425, -7136, -1472, 3184
1589741554015, 335436, -7088, -1488, 3216
1589741554026, 335447, -7152, -1472, 3072
1589741554038, 335458, -7056, -1488, 3136
1589741554048, 335469, -7072, -1504, 3184
1589741554059, 335480, -7104, -1456, 3184
1589741554070, 335491, -7088, -1440, 3184
1589741554080, 335502, -7072, -1408, 3232
1589741554092, 335513, -7104, -1376, 3232
1589741554102, 335524, -7120, -1424, 3280
1589741554114, 335535, -7056, -1360, 3104
1589741554125, 335546, -7040, -1488, 3088
1589741554136, 335557, -7040, -1488, 3072
1589741554146, 335568, -7056, -1552, 3104
1589741554158, 335579, -7152, -1536, 3168
1589741554169, 335590, -7088, -1488, 3152
1589741554180, 335601, -7136, -1440, 3056
1589741554191, 335612, -7152, -1424, 3168
1589741554202, 335623, -7104, -1456, 3216
1589741554213, 335634, -7280, -1440, 3168
1589741554225, 335645, -7056, -1456, 3152
1589741554235, 335656, -7056, -1504, 3040
1589741554246, 335667, -7040, -1584, 3104
1589741554258, 335678, -6992, -1504, 3024
1589741554268, 335689, -7104, -1584, 3152
1589741554279, 335700, -7040, -1488, 3200
1589741554289, 335711, -7104, -1440, 3248
1589741554301, 335722, -7120, -1392, 3232
1589741554312, 335733, -7104, -1376, 3120
1589741554323, 335744, -7104, -1424, 3104
1589741554333, 335755, -7056, -1440, 3040
1589741554345, 335766, -7072, -1472, 3072
1589741554356, 335777, -7072, -1552, 3008
1589741554367, 335788, -7104, -1536, 3200
1589741554378, 335799, -7136, -1536, 3104
1589741554389, 335810, -7136, -1456, 3120
1589741554400, 335821, -7184, -1408, 3184
1589741554411, 335832, -7120, -1472, 3136
1589741554422, 335843, -7088, -1472, 3056
1589741554433, 335854, -7104, -1456, 3152
1589741554444, 335865, -7072, -1472, 3200
1589741554455, 335876, -7072, -1456, 3120
1589741554470, 335887, -7088, -1504, 3184
1589741554477, 335898, -7088, -1504, 3168
1589741554488, 335909, -7088, -1456, 3152
1589741554499, 335920, -7088, -1456, 3152
1589741554510, 335931, -7168, -1440, 3232
1589741554520, 335942, -7120, -1424, 3168
1589741554532, 335953, -7104, -1376, 3184
1589741554543, 335964, -6960, -1488, 3216
1589741554553, 335975, -7072, -1488, 3216
1589741554564, 335986, -7120, -1456, 3216
1589741554576, 335997, -7136, -1424, 3104
1589741554587, 336008, -7120, -1488, 3152
1589741554598, 336019, -7136, -1488, 2944
1589741554609, 336030, -7104, -1504, 3088
1589741554621, 336041, -7104, -1440, 3104
1589741554630, 336052, -7104, -1392, 3056
1589741554642, 336063, -7136, -1408, 3168
1589741554653, 336074, -7088, -1456, 3152
1589741554664, 336085, -7008, -1520, 3232
1589741554675, 336096, -7088, -1568, 3120
1589741554685, 336107, -7056, -1616, 3120
1589741554697, 336118, -6896, -1504, 3152
1589741554708, 336129, -7104, -1504, 3184
1589741554718, 336140, -7104, -1504, 3184
1589741554729, 336151, -7088, -1456, 3264
1589741554741, 336162, -7120, -1488, 3280
1589741554752, 336173, -7136, -1408, 3232
1589741554763, 336184, -7120, -1408, 3200
1589741554774, 336195, -7024, -1408, 3120
1589741554784, 336206, -7088, -1424, 3040
1589741554796, 336217, -7040, -1456, 3024
1589741554807, 336228, -7136, -1472, 2992
1589741554819, 336239, -7248, -1504, 3040
1589741554829, 336250, -7136, -1456, 3168
1589741554839, 336261, -7168, -1376, 3184
1589741554850, 336272, -7152, -1360, 3200
1589741554862, 336283, -7136, -1360, 3184
1589741554873, 336294, -7008, -1424, 3216
1589741554883, 336305, -7088, -1440, 3136
1589741554894, 336316, -7024, -1504, 3104
1589741554905, 336327, -6944, -1584, 3104
1589741554917, 336338, -7088, -1616, 3168
1589741554928, 336349, -7056, -1568, 3232
1589741554939, 336360, -7200, -1584, 3296
1589741554950, 336371, -7088, -1440, 3280
1589741554961, 336382, -7120, -1408, 3232
1589741554971, 336393, -7104, -1424, 3200
1589741554983, 336404, -7072, -1456, 3200
1589741554994, 336415, -7104, -1456, 3280
1589741555005, 336426, -7088, -1440, 3264
1589741555016, 336437, -7072, -1472, 3104
1589741555026, 336448, -7056, -1424, 3216
1589741555037, 336459, -7088, -1488, 3248
1589741555049, 336470, -7104, -1472, 3072
1589741555059, 336481, -7088, -1424, 3120
1589741555070, 336492, -7168, -1440, 3088
1589741555082, 336503, -7152, -1456, 3136
1589741555093, 336514, -7056, -1440, 3184
1589741555104, 336525, -7104, -1424, 3152
1589741555116, 336536, -7184, -1504, 3184
1589741555126, 336547, -7088, -1472, 3120
1589741555138, 336558, -7088, -1456, 3120
1589741555148, 336569, -7136, -1536, 3104
1589741555159, 336580, -7104, -1536, 3040
1589741555169, 336591, -7120, -1584, 2992
1589741555180, 336602, -7120, -1536, 3088
1589741555192, 336613, -7120, -1440, 3184
1589741555202, 336624, -7168, -1456, 3200
1589741555213, 336635, -7088, -1440, 3216
1589741555225, 336646, -7136, -1456, 3200
1589741555236, 336657, -7120, -1456, 3120
1589741555247, 336668, -7088, -1504, 3072
1589741555258, 336679, -7152, -1472, 3168
1589741555269, 336690, -7168, -1488, 3040
1589741555280, 336701, -7168, -1584, 3008
1589741555290, 336712, -7168, -1424, 3104
1589741555301, 336723, -7072, -1392, 3184
1589741555313, 336734, -7088, -1392, 3200
1589741555324, 336745, -7072, -1440, 3248
1589741555335, 336756, -7104, -1424, 3152
1589741555346, 336767, -7104, -1536, 3136
1589741555357, 336778, -7232, -1568, 3056
1589741555368, 336789, -7072, -1536, 2992
1589741555379, 336800, -7168, -1472, 3120
1589741555389, 336811, -7136, -1408, 3136
1589741555402, 336822, -7152, -1408, 3136
1589741555412, 336833, -7104, -1392, 3216
1589741555423, 336844, -7120, -1408, 3296
1589741555434, 336855, -7104, -1424, 3280
1589741555445, 336866, -6976, -1472, 3216
1589741555456, 336877, -7072, -1456, 3216
1589741555467, 336888, -6992, -1536, 3152
1589741555478, 336899, -7008, -1536, 3104
1589741555489, 336910, -7088, -1584, 3072
1589741555500, 336921, -7024, -1552, 3232
1589741555511, 336932, -7088, -1440, 3200
1589741555521, 336943, -7088, -1344, 3280
1589741555533, 336954, -7184, -1360, 3264
1589741555543, 336965, -7088, -1424, 3136
1589741555555, 336976, -7088, -1408, 2944
1589741555565, 336987, -7040, -1424, 3104
1589741555576, 336998, -7136, -1472, 3104
1589741555589, 337009, -7104, -1504, 3168
1589741555599, 337020, -7056, -1472, 3168
1589741555609, 337031, -7088, -1440, 3168
1589741555620, 337042, -7136, -1552, 3152
1589741555632, 337053, -7088, -1504, 3152
1589741555643, 337064, -7136, -1440, 3152
1589741555654, 337075, -7168, -1344, 3168
1589741555664, 337086, -7120, -1408, 3120
1589741555676, 337097, -7184, -1392, 3120
1589741555687, 337108, -7200, -1424, 3184
1589741555698, 337119, -7104, -1504, 3136
1589741555709, 337130, -7136, -1520, 3168
