Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589742339462, 117328, 3408, -48, 7504
1589742339473, 117339, 3312, -96, 7456
1589742339484, 117350, 3392, -128, 7392
1589742339496, 117361, 3456, -144, 7376
1589742339507, 117372, 3376, -112, 7360
1589742339517, 117383, 3392, -64, 7408
1589742339529, 117394, 3456, -32, 7376
1589742339539, 117405, 3360, -64, 7440
1589742339550, 117416, 3376, -112, 7584
1589742339562, 117427, 3296, -112, 7456
1589742339573, 117438, 3440, -176, 7424
1589742339584, 117449, 3408, -112, 7392
1589742339595, 117460, 3392, -144, 7408
1589742339606, 117471, 3376, -128, 7456
1589742339617, 117482, 3360, -112, 7408
1589742339628, 117493, 3216, -112, 7568
1589742339639, 117504, 3280, -64, 7440
1589742339649, 117515, 3312, -80, 7376
1589742339660, 117526, 3232, -96, 7456
1589742339671, 117537, 3248, -32, 7280
1589742339683, 117548, 3264, -64, 7456
1589742339694, 117559, 3392, -256, 7360
1589742339705, 117570, 3520, -352, 7392
1589742339715, 117581, 3568, -352, 7440
1589742339726, 117592, 3632, -352, 7424
1589742339738, 117603, 3584, -432, 7520
1589742339749, 117614, 3776, -448, 7648
1589742339759, 117625, 3952, -416, 8144
1589742339771, 117636, 3968, -304, 8224
1589742339781, 117647, 4416, -320, 8528
1589742339793, 117658, 4752, -624, 8880
1589742339803, 117669, 5104, -624, 9360
1589742339814, 117680, 5232, -576, 9792
1589742339825, 117691, 5424, -288, 10384
1589742339837, 117702, 5408, -128, 10560
1589742339848, 117713, 5376, 416, 11040
1589742339859, 117724, 5472, 1024, 11088
1589742339870, 117735, 5200, 1328, 10800
1589742339880, 117746, 5072, 1712, 10256
1589742339892, 117757, 4944, 1936, 10064
1589742339902, 117768, 4944, 1936, 9808
1589742339913, 117779, 4880, 2080, 9552
1589742339925, 117790, 4608, 2048, 9536
1589742339935, 117801, 4368, 2112, 9424
1589742339948, 117812, 4384, 2432, 9152
1589742339958, 117823, 4048, 2560, 8736
1589742339968, 117834, 4000, 2608, 8384
1589742339979, 117845, 4000, 2704, 7968
1589742339991, 117856, 4144, 2880, 7584
1589742340001, 117867, 4112, 2928, 7088
1589742340012, 117878, 4032, 2944, 6704
1589742340023, 117889, 4096, 2960, 6448
1589742340035, 117900, 4032, 2992, 6160
1589742340045, 117911, 3952, 2976, 6144
