Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589741581262, 362683, 2704, -208, 7600
1589741581273, 362694, 2688, -208, 7568
1589741581284, 362705, 2640, -192, 7616
1589741581295, 362716, 2672, -160, 7728
1589741581305, 362727, 2672, -144, 7792
1589741581317, 362738, 2656, -112, 7792
1589741581327, 362749, 2592, -208, 7840
1589741581338, 362760, 2640, -176, 7728
1589741581350, 362771, 2624, -288, 7744
1589741581361, 362782, 2672, -224, 7616
1589741581372, 362793, 2624, -192, 7632
1589741581383, 362804, 2624, -96, 7520
1589741581394, 362815, 2672, -208, 7616
1589741581405, 362826, 2688, -112, 7696
1589741581416, 362837, 2672, -224, 7712
1589741581427, 362848, 2656, -240, 7728
1589741581437, 362859, 2704, -240, 7680
1589741581448, 362870, 2688, -272, 7680
1589741581460, 362881, 2752, -176, 7632
1589741581471, 362892, 2752, -160, 7568
1589741581482, 362903, 2800, -256, 7680
1589741581493, 362914, 2720, -192, 7744
1589741581504, 362925, 2672, -272, 7792
1589741581514, 362936, 2768, -208, 7792
1589741581525, 362947, 2672, -128, 7904
1589741581536, 362958, 2688, -48, 7808
1589741581547, 362969, 2592, -16, 7760
1589741581558, 362980, 2704, 16, 7696
1589741581570, 362991, 2592, -48, 7792
1589741581581, 363002, 2736, -32, 7760
1589741581592, 363013, 2800, -96, 7584
1589741581602, 363024, 2816, -96, 7664
1589741581613, 363035, 2816, -96, 7696
1589741581624, 363046, 2800, -48, 7600
1589741581636, 363057, 2800, 32, 7616
1589741581646, 363068, 2752, 80, 7440
1589741581658, 363079, 2816, 128, 7520
1589741581668, 363090, 2704, 208, 7456
1589741581679, 363101, 2736, 160, 7344
1589741581691, 363112, 2752, 240, 7472
1589741581701, 363123, 2784, 208, 7488
1589741581712, 363134, 2768, 192, 7472
1589741581723, 363145, 2768, 192, 7488
1589741581734, 363156, 2800, 288, 7520
1589741581746, 363167, 2832, 288, 7440
1589741581756, 363178, 2800, 464, 7424
1589741581767, 363189, 2736, 560, 7264
1589741581778, 363200, 2672, 512, 7360
1589741581790, 363211, 2704, 432, 7344
1589741581801, 363222, 2560, 512, 7248
1589741581811, 363233, 2688, 544, 7408
1589741581823, 363244, 2656, 592, 7360
1589741581834, 363255, 2672, 656, 7200
1589741581845, 363266, 2640, 928, 7008
1589741581856, 363277, 2560, 1072, 6672
1589741581866, 363288, 2544, 1360, 6560
1589741581878, 363299, 2384, 1584, 6480
1589741581888, 363310, 2192, 1968, 6384
1589741581900, 363321, 2064, 2096, 6352
1589741581910, 363332, 2032, 2144, 6144
1589741581922, 363343, 2112, 2176, 5920
1589741581933, 363354, 2032, 2064, 5664
1589741581943, 363365, 2000, 1968, 5456
1589741581954, 363376, 1920, 1952, 5088
1589741581966, 363387, 2064, 2000, 4960
1589741581977, 363398, 2048, 2048, 4752
1589741581987, 363409, 2064, 1968, 4736
1589741581999, 363420, 1952, 1824, 4688
1589741582009, 363431, 2016, 1568, 4608
1589741582021, 363442, 1952, 1312, 4544
1589741582032, 363453, 2016, 1152, 4640
1589741582043, 363464, 1984, 1008, 4608
1589741582053, 363475, 1968, 960, 4736
1589741582065, 363486, 1824, 816, 4800
1589741582076, 363497, 1760, 416, 5008
1589741582086, 363508, 1616, -96, 5072
1589741582098, 363519, 1584, -832, 5216
1589741582109, 363530, 1584, -1552, 5312
1589741582120, 363541, 1584, -2000, 5152
1589741582131, 363552, 1632, -1936, 5152
1589741582141, 363563, 1488, -1664, 5200
1589741582153, 363574, 1216, -1296, 5504
1589741582164, 363585, 1104, -1056, 5744
1589741582175, 363596, 576, -1216, 6064
1589741582185, 363607, 352, -1408, 6256
1589741582197, 363618, 272, -1904, 6272
1589741582207, 363629, 0, -2112, 6128
1589741582218, 363640, -80, -2000, 6176
1589741582230, 363651, -432, -1920, 6352
1589741582241, 363662, -720, -1840, 6656
1589741582252, 363673, -1056, -1792, 7040
1589741582262, 363684, -1216, -2032, 7392
1589741582274, 363695, -1264, -2064, 7696
1589741582285, 363706, -1248, -2176, 7840
1589741582296, 363717, -1488, -2368, 7968
1589741582307, 363728, -1600, -2592, 8016
1589741582318, 363739, -1664, -2720, 8064
1589741582329, 363750, -2096, -2752, 8128
1589741582340, 363761, -2320, -2720, 8128
1589741582351, 363772, -2576, -2496, 8144
1589741582361, 363783, -2768, -2288, 8192
1589741582373, 363794, -3040, -2016, 8160
1589741582383, 363805, -3232, -1872, 8256
1589741582395, 363816, -3488, -1840, 8432
1589741582406, 363827, -3504, -1920, 8496
1589741582416, 363838, -3968, -2192, 8576
1589741582428, 363849, -4096, -2400, 8624
1589741582439, 363860, -4080, -2336, 8576
1589741582450, 363871, -4160, -2208, 8528
1589741582461, 363882, -4256, -1824, 8384
1589741582472, 363893, -4432, -1616, 8368
1589741582483, 363904, -4688, -1440, 8240
1589741582494, 363915, -4672, -1344, 8208
1589741582505, 363926, -5056, -1440, 8208
1589741582515, 363937, -5168, -1616, 8320
1589741582527, 363948, -5120, -1872, 8416
1589741582538, 363959, -5312, -1856, 8352
1589741582550, 363970, -5488, -1632, 8336
1589741582561, 363981, -5584, -1552, 8368
1589741582571, 363992, -5696, -1504, 8384
1589741582582, 364003, -5840, -1696, 8272
1589741582593, 364014, -5856, -1984, 8288
1589741582604, 364025, -5904, -2336, 8096
1589741582615, 364036, -5808, -2576, 8192
1589741582625, 364047, -5824, -2416, 8160
1589741582637, 364058, -5920, -2192, 8240
1589741582648, 364069, -6128, -2064, 8288
1589741582658, 364080, -6128, -2000, 8336
1589741582669, 364091, -6320, -2080, 8384
1589741582681, 364102, -6272, -2224, 8448
1589741582691, 364113, -6192, -2416, 8432
1589741582703, 364124, -6224, -2640, 8384
1589741582714, 364135, -6208, -2576, 8192
1589741582726, 364146, -6192, -2304, 8144
1589741582736, 364157, -6160, -2112, 8016
1589741582748, 364168, -6384, -1856, 8064
1589741582759, 364179, -6576, -1616, 7984
1589741582769, 364190, -6736, -1520, 8128
1589741582780, 364201, -6864, -1312, 8224
1589741582791, 364212, -6864, -1120, 8368
1589741582801, 364223, -6848, -896, 8416
1589741582813, 364234, -6816, -768, 8384
1589741582824, 364245, -6848, -720, 8368
1589741582835, 364256, -6736, -640, 8336
1589741582846, 364267, -6736, -656, 8272
1589741582856, 364278, -6800, -624, 8400
1589741582867, 364289, -6784, -608, 8544
1589741582878, 364300, -6784, -576, 8624
1589741582889, 364311, -6656, -528, 8752
1589741582901, 364322, -6640, -432, 8832
1589741582911, 364333, -6640, -384, 8784
1589741582923, 364344, -6624, -256, 8720
1589741582934, 364355, -6624, -224, 8752
1589741582946, 364366, -6592, -128, 8544
1589741582955, 364377, -6576, -16, 8512
1589741582967, 364388, -6592, 272, 8400
1589741582978, 364399, -6496, 432, 8448
1589741582988, 364410, -6496, 560, 8496
1589741583000, 364421, -6368, 640, 8496
1589741583011, 364432, -6272, 656, 8448
1589741583022, 364443, -6128, 768, 8384
1589741583032, 364454, -6000, 848, 8224
1589741583044, 364465, -5872, 960, 8096
1589741583055, 364476, -5728, 1232, 7984
1589741583065, 364487, -5312, 1584, 7904
1589741583078, 364498, -5168, 1712, 7792
1589741583088, 364509, -4880, 1904, 7888
1589741583099, 364520, -4784, 1920, 7888
1589741583110, 364531, -4560, 1808, 7936
1589741583120, 364542, -4528, 1680, 8096
1589741583131, 364553, -4272, 1616, 8224
1589741583142, 364564, -4288, 1616, 8192
1589741583154, 364575, -4240, 1872, 8064
1589741583165, 364586, -4080, 1968, 7952
1589741583176, 364597, -4048, 2256, 7792
1589741583187, 364608, -3920, 2496, 7680
1589741583198, 364619, -3808, 2672, 7472
1589741583208, 364630, -3584, 2976, 7280
1589741583219, 364641, -3376, 2976, 7216
1589741583231, 364652, -3184, 2928, 7104
1589741583241, 364663, -3232, 2928, 7040
1589741583252, 364674, -2784, 2960, 7040
1589741583264, 364685, -2592, 2896, 7136
1589741583275, 364696, -2544, 2816, 7280
1589741583286, 364707, -2192, 2592, 7232
1589741583297, 364718, -1984, 2544, 7040
1589741583307, 364729, -2032, 2704, 6944
1589741583320, 364740, -1824, 3008, 6624
1589741583330, 364751, -1776, 3248, 6704
1589741583340, 364762, -1408, 3232, 6768
1589741583351, 364773, -1184, 3088, 6752
1589741583362, 364784, -1120, 2896, 6928
1589741583373, 364795, -736, 2848, 6832
1589741583385, 364806, -544, 2784, 6656
1589741583396, 364817, -352, 2832, 6288
1589741583407, 364828, -224, 2864, 6080
1589741583418, 364839, -16, 2944, 5792
1589741583429, 364850, 128, 3008, 5648
1589741583439, 364861, 240, 3120, 5552
1589741583451, 364872, 224, 3120, 5504
1589741583462, 364883, 608, 2960, 5488
1589741583472, 364894, 688, 2832, 5776
1589741583483, 364905, 784, 2752, 5648
1589741583494, 364916, 864, 2624, 5776
1589741583506, 364927, 1152, 2448, 5936
1589741583517, 364938, 1152, 2272, 5936
1589741583528, 364949, 1280, 2160, 5920
1589741583540, 364960, 1440, 2032, 5728
1589741583550, 364971, 1616, 2032, 5632
1589741583560, 364982, 1728, 2032, 5488
1589741583571, 364993, 1728, 1776, 5328
1589741583583, 365004, 2000, 1616, 5344
1589741583594, 365015, 2128, 1504, 5408
1589741583604, 365026, 2368, 1472, 5344
1589741583616, 365037, 2384, 1280, 5456
1589741583626, 365048, 2400, 1232, 5712
1589741583638, 365059, 2496, 1152, 5824
1589741583649, 365070, 2592, 1120, 5888
1589741583659, 365081, 2608, 1024, 5840
1589741583670, 365092, 2592, 1056, 5728
1589741583681, 365103, 2592, 1104, 5552
1589741583693, 365114, 2624, 1168, 5536
1589741583703, 365125, 2720, 1088, 5568
1589741583715, 365136, 2816, 992, 5424
1589741583726, 365147, 2912, 848, 5728
1589741583736, 365158, 2832, 640, 5872
1589741583748, 365169, 2880, 448, 6096
1589741583758, 365180, 2848, 176, 6336
1589741583770, 365191, 2944, 48, 6400
1589741583781, 365202, 2928, -144, 6544
1589741583791, 365213, 3040, -320, 6624
1589741583803, 365224, 3104, -464, 6592
1589741583813, 365235, 3120, -528, 6800
1589741583825, 365246, 3168, -592, 6800
1589741583836, 365257, 3168, -704, 6928
1589741583847, 365268, 3264, -816, 6960
1589741583857, 365279, 3248, -960, 7056
1589741583868, 365290, 3328, -1200, 6848
1589741583880, 365301, 3312, -1264, 6976
1589741583891, 365312, 3328, -1344, 7328
1589741583902, 365323, 3264, -1312, 7280
1589741583913, 365334, 3264, -1184, 7328
1589741583923, 365345, 3232, -992, 7216
1589741583935, 365356, 3360, -912, 7232
1589741583945, 365367, 3440, -848, 7136
1589741583956, 365378, 3408, -784, 7008
1589741583968, 365389, 3312, -832, 6912
1589741583978, 365400, 3360, -896, 7040
1589741583990, 365411, 3312, -880, 6960
1589741584001, 365422, 3408, -912, 7072
1589741584012, 365433, 3360, -832, 7120
1589741584022, 365444, 3392, -704, 7312
1589741584033, 365455, 3376, -352, 7328
1589741584045, 365466, 3360, -176, 7232
1589741584056, 365477, 3424, -80, 7184
1589741584066, 365488, 3392, -32, 7120
1589741584078, 365499, 3440, -48, 7168
1589741584089, 365510, 3360, -48, 7280
1589741584100, 365521, 3280, -48, 7360
1589741584111, 365532, 3376, 64, 7344
1589741584121, 365543, 3392, 80, 7296
1589741584132, 365554, 3392, 96, 7184
1589741584143, 365565, 3344, 160, 7312
1589741584155, 365576, 3296, 304, 7280
1589741584166, 365587, 3152, 352, 7472
1589741584177, 365598, 3200, 256, 7488
1589741584187, 365609, 3312, 224, 7600
1589741584198, 365620, 3280, 144, 7504
1589741584210, 365631, 3440, 112, 7536
1589741584220, 365642, 3392, 144, 7632
1589741584231, 365653, 3360, 240, 7520
1589741584243, 365664, 3408, 272, 7456
1589741584254, 365675, 3248, 304, 7424
