Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589741597310, 378732, 4016, -464, 7136
1589741597322, 378743, 4048, -592, 7200
1589741597333, 378754, 4016, -544, 7152
1589741597343, 378765, 3984, -576, 7152
1589741597355, 378776, 4064, -528, 7136
1589741597365, 378787, 4096, -496, 7136
1589741597377, 378798, 4064, -496, 7168
1589741597388, 378809, 4064, -528, 7136
1589741597398, 378820, 4112, -576, 7200
1589741597409, 378831, 4048, -544, 7216
1589741597420, 378842, 4096, -544, 7232
1589741597431, 378853, 4096, -496, 7216
1589741597443, 378864, 4064, -432, 7120
1589741597454, 378875, 3984, -336, 7104
1589741597464, 378886, 4096, -288, 7008
1589741597475, 378897, 4080, -288, 7088
1589741597487, 378908, 4064, -336, 7136
1589741597498, 378919, 4128, -400, 7152
1589741597508, 378930, 4096, -496, 7184
1589741597520, 378941, 4000, -480, 7168
1589741597530, 378952, 4000, -416, 7168
1589741597542, 378963, 3984, -368, 7152
1589741597553, 378974, 3840, -448, 7248
1589741597563, 378985, 3920, -480, 7328
1589741597575, 378996, 3904, -640, 7216
1589741597586, 379007, 3920, -800, 7360
1589741597597, 379018, 3920, -896, 7408
1589741597607, 379029, 3824, -1136, 7296
1589741597618, 379040, 3824, -1280, 7248
1589741597629, 379051, 3680, -1472, 7312
1589741597641, 379062, 3520, -1904, 7408
1589741597652, 379073, 3440, -2368, 7632
1589741597663, 379084, 3328, -2768, 7520
1589741597674, 379095, 3280, -3264, 7424
1589741597685, 379106, 3200, -3520, 7296
1589741597696, 379117, 3216, -3856, 6816
1589741597707, 379128, 3280, -4144, 6800
1589741597718, 379139, 3520, -4528, 6496
1589741597728, 379150, 3632, -5264, 6160
1589741597740, 379161, 3744, -5792, 6032
1589741597750, 379172, 3824, -6192, 5920
1589741597762, 379183, 3792, -6416, 5840
1589741597773, 379194, 3776, -6256, 5808
1589741597784, 379205, 3584, -5888, 5984
1589741597795, 379216, 3600, -5472, 5872
1589741597806, 379227, 3328, -5216, 5808
1589741597817, 379238, 3248, -4784, 5952
1589741597828, 379249, 3264, -4704, 6240
1589741597838, 379260, 3280, -4640, 6416
1589741597850, 379271, 3376, -4528, 6480
1589741597861, 379282, 3232, -4480, 6688
1589741597871, 379293, 3024, -4176, 6688
1589741597883, 379304, 2800, -3504, 6880
1589741597894, 379315, 2352, -2736, 7040
1589741597904, 379326, 2080, -1920, 7328
1589741597916, 379337, 2016, -1104, 7520
1589741597927, 379348, 1872, -944, 7792
1589741597937, 379359, 1952, -1312, 7920
1589741597949, 379370, 2144, -1504, 7808
1589741597959, 379381, 2192, -1488, 7504
1589741597970, 379392, 2144, -880, 7200
1589741597981, 379403, 1952, -384, 7136
1589741597992, 379414, 1696, 80, 7248
1589741598003, 379425, 1616, 688, 7296
1589741598014, 379436, 1440, 1072, 7424
1589741598026, 379447, 1552, 1568, 7344
1589741598037, 379458, 1664, 1968, 7280
1589741598047, 379469, 1648, 2192, 6912
1589741598059, 379480, 1472, 2512, 6528
1589741598069, 379491, 1184, 2736, 6432
1589741598081, 379502, 864, 3184, 6704
1589741598092, 379513, 800, 3632, 7248
1589741598102, 379524, 464, 4032, 7808
1589741598113, 379535, 352, 4352, 8544
1589741598124, 379546, 304, 4416, 9456
1589741598136, 379557, 352, 4064, 10256
1589741598147, 379568, 640, 3472, 10608
1589741598158, 379579, 960, 3088, 10256
1589741598168, 379590, 1104, 2880, 9584
1589741598179, 379601, 1232, 2928, 9024
1589741598190, 379612, 1248, 2928, 9072
1589741598202, 379623, 1296, 2896, 9312
1589741598212, 379634, 1296, 2784, 9440
1589741598224, 379645, 1424, 2752, 9120
1589741598235, 379656, 1632, 2832, 8448
1589741598245, 379667, 1680, 3040, 8048
1589741598257, 379678, 1792, 3120, 7680
1589741598267, 379689, 1824, 3008, 7424
1589741598278, 379700, 1680, 2848, 7632
1589741598289, 379711, 1712, 2480, 7760
1589741598301, 379722, 1728, 1968, 7776
1589741598312, 379733, 1808, 1632, 7632
1589741598323, 379744, 1776, 1408, 7296
1589741598334, 379755, 1760, 1424, 7008
1589741598344, 379766, 1760, 1440, 6640
1589741598356, 379777, 1664, 1824, 6336
1589741598367, 379788, 1408, 2224, 6112
1589741598377, 379799, 1184, 2608, 5904
1589741598388, 379810, 1040, 2912, 5696
1589741598400, 379821, 928, 2928, 5472
1589741598410, 379832, 912, 2928, 5088
1589741598422, 379843, 896, 3056, 4768
1589741598433, 379854, 624, 3232, 4544
1589741598443, 379865, 432, 3520, 4432
1589741598454, 379876, 368, 4080, 4368
1589741598468, 379887, 96, 4368, 4368
1589741598476, 379898, -128, 4528, 4384
1589741598488, 379909, -256, 4464, 4384
1589741598498, 379920, -432, 4208, 4320
1589741598510, 379931, -448, 3840, 4352
1589741598521, 379942, -496, 3600, 4368
1589741598532, 379953, -656, 3456, 4400
1589741598543, 379964, -624, 3248, 4624
1589741598553, 379975, -1152, 3152, 4656
1589741598565, 379986, -1296, 2928, 4624
1589741598576, 379997, -1296, 2512, 4688
1589741598586, 380008, -1280, 2224, 4560
1589741598598, 380019, -1392, 2144, 4384
1589741598609, 380030, -1600, 2032, 4656
1589741598619, 380041, -1744, 1824, 5104
1589741598630, 380052, -1840, 1152, 5920
1589741598641, 380063, -1776, 192, 6464
1589741598652, 380074, -1776, -592, 7024
1589741598663, 380085, -1824, -1424, 7040
1589741598675, 380096, -1872, -1888, 7232
1589741598685, 380107, -2336, -2304, 7520
1589741598697, 380118, -2640, -2064, 8064
1589741598707, 380129, -3040, -1856, 8576
1589741598719, 380140, -3536, -1952, 9248
1589741598730, 380151, -3776, -2368, 9872
1589741598740, 380162, -3904, -2928, 10480
1589741598751, 380173, -3952, -3776, 11120
1589741598762, 380184, -4192, -4336, 11632
1589741598774, 380195, -4528, -4720, 11968
1589741598785, 380206, -4560, -4416, 12384
1589741598796, 380217, -5248, -4048, 12592
1589741598808, 380228, -5520, -3536, 13040
1589741598818, 380239, -5728, -3408, 13296
1589741598829, 380250, -5712, -3392, 13552
1589741598840, 380261, -5680, -3248, 13456
1589741598851, 380272, -5632, -3120, 13088
1589741598861, 380283, -5616, -2912, 12640
1589741598872, 380294, -5632, -2688, 12288
1589741598884, 380305, -5216, -2752, 12128
1589741598894, 380316, -4864, -2832, 11568
1589741598906, 380327, -4752, -2864, 11488
1589741598917, 380338, -4288, -2752, 11104
1589741598928, 380349, -4288, -2688, 10672
1589741598939, 380360, -4272, -2384, 10400
1589741598950, 380371, -4208, -2080, 10000
1589741598960, 380382, -4256, -1776, 9552
1589741598972, 380393, -4160, -1360, 9072
1589741598982, 380404, -4032, -1648, 8768
1589741598994, 380415, -4000, -1744, 7936
1589741599005, 380426, -3600, -1968, 7584
1589741599015, 380437, -3312, -2288, 7184
1589741599027, 380448, -3264, -2448, 6832
1589741599038, 380459, -3280, -2432, 6720
1589741599048, 380470, -3248, -2416, 6560
1589741599059, 380481, -3120, -2416, 6416
1589741599071, 380492, -3072, -2544, 6304
1589741599081, 380503, -3024, -2768, 6160
1589741599093, 380514, -3072, -2976, 6032
1589741599103, 380525, -2976, -3360, 5984
1589741599114, 380536, -2960, -3552, 6016
1589741599126, 380547, -2976, -3728, 5936
1589741599137, 380558, -3072, -3920, 6048
1589741599147, 380569, -3232, -3888, 5952
1589741599158, 380580, -3328, -3776, 6160
1589741599170, 380591, -3360, -3696, 6560
1589741599181, 380602, -3776, -3488, 6896
1589741599192, 380613, -4112, -3216, 7360
1589741599202, 380624, -3968, -2704, 7728
1589741599214, 380635, -3888, -2784, 7744
1589741599225, 380646, -3568, -3536, 7568
1589741599236, 380657, -3536, -4080, 7040
1589741599247, 380668, -3808, -4016, 6784
1589741599257, 380679, -4224, -3376, 6624
1589741599269, 380690, -4640, -2400, 6736
1589741599280, 380701, -4912, -1728, 6480
1589741599290, 380712, -4880, -1088, 5728
1589741599301, 380723, -4864, -1008, 4800
1589741599313, 380734, -5408, -1296, 4048
1589741599324, 380745, -5488, -1392, 3648
1589741599335, 380756, -6256, -1280, 3488
1589741599346, 380767, -6832, -544, 3456
1589741599356, 380778, -7152, 144, 3472
1589741599368, 380789, -7792, 1216, 3920
1589741599379, 380800, -7952, 2480, 4480
1589741599389, 380811, -8608, 3056, 5328
1589741599401, 380822, -8640, 3456, 6432
1589741599412, 380833, -8640, 3392, 7184
1589741599424, 380844, -8272, 2960, 7616
1589741599433, 380855, -7648, 2928, 7872
1589741599444, 380866, -6992, 3424, 8336
1589741599455, 380877, -6528, 4192, 8960
1589741599467, 380888, -6144, 4864, 10096
1589741599480, 380899, -6032, 5120, 10992
1589741599488, 380910, -6096, 5040, 11520
1589741599499, 380921, -6112, 4304, 11200
1589741599511, 380932, -5360, 3488, 10224
1589741599522, 380943, -4784, 2240, 8928
1589741599533, 380954, -4512, 1120, 7888
1589741599544, 380965, -3872, 256, 7360
1589741599555, 380976, -3520, -496, 6928
1589741599565, 380987, -3328, -992, 6976
1589741599577, 380998, -3232, -1472, 7136
1589741599588, 381009, -3392, -1552, 7296
1589741599598, 381020, -3296, -1296, 7536
1589741599610, 381031, -3312, -1168, 7776
1589741599621, 381042, -3344, -912, 7904
1589741599632, 381053, -3280, -832, 8000
1589741599643, 381064, -3408, -1088, 7856
1589741599654, 381075, -3312, -1232, 7712
1589741599664, 381086, -3200, -1232, 7472
1589741599676, 381097, -3104, -1232, 7152
1589741599687, 381108, -2976, -1200, 7008
1589741599698, 381119, -3072, -1408, 6976
1589741599708, 381130, -3200, -1360, 7008
1589741599719, 381141, -3200, -1616, 7040
1589741599731, 381152, -3152, -1664, 6976
1589741599742, 381163, -3184, -1856, 7072
1589741599752, 381174, -3120, -2080, 7056
1589741599764, 381185, -3104, -2288, 6784
1589741599775, 381196, -3088, -2320, 6736
1589741599786, 381207, -3040, -2144, 6736
1589741599797, 381218, -3040, -1936, 6784
1589741599809, 381229, -3008, -1888, 6752
1589741599818, 381240, -3104, -1952, 6704
1589741599830, 381251, -3104, -1984, 6736
1589741599841, 381262, -3264, -2016, 6752
1589741599852, 381273, -3328, -1936, 6896
1589741599864, 381284, -3312, -1888, 6864
1589741599873, 381295, -3168, -1840, 7008
1589741599885, 381306, -3152, -1920, 6960
1589741599896, 381317, -3088, -1872, 6880
1589741599907, 381328, -3136, -2032, 6848
