Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589741416690, 198112, -5728, -2528, 4208
1589741416703, 198123, -5664, -2480, 4224
1589741416713, 198134, -5968, -2496, 4416
1589741416724, 198145, -6160, -2688, 4544
1589741416735, 198156, -6512, -2864, 4640
1589741416747, 198167, -6624, -2976, 4416
1589741416758, 198178, -6512, -3104, 3984
1589741416769, 198189, -6272, -2912, 3632
1589741416779, 198200, -6112, -3072, 3536
1589741416790, 198211, -6080, -3056, 3504
1589741416801, 198222, -5824, -3120, 3760
1589741416812, 198233, -5872, -3296, 4016
1589741416824, 198244, -6240, -3504, 4000
1589741416834, 198255, -6432, -3536, 3920
1589741416845, 198266, -6464, -3456, 3680
1589741416855, 198277, -6384, -3184, 3392
1589741416866, 198288, -6288, -3184, 3136
1589741416878, 198299, -6240, -3120, 2992
1589741416889, 198310, -6192, -3168, 2880
1589741416901, 198321, -6304, -3248, 2800
1589741416912, 198332, -6336, -3280, 2592
1589741416922, 198343, -6928, -3232, 2336
1589741416933, 198354, -7136, -3104, 2240
1589741416943, 198365, -7200, -2928, 2176
1589741416956, 198376, -7280, -2912, 1952
1589741416965, 198387, -7264, -3024, 1824
1589741416977, 198398, -7168, -3328, 1648
1589741416988, 198409, -7232, -3680, 1168
1589741416999, 198420, -7328, -4112, 1008
1589741417010, 198431, -7472, -4272, 448
1589741417021, 198442, -7616, -4272, -288
1589741417033, 198453, -7712, -4096, -784
1589741417044, 198464, -7904, -4016, -720
1589741417055, 198475, -8288, -4128, -272
1589741417065, 198486, -8784, -4176, 368
1589741417076, 198497, -9232, -4240, 1328
1589741417087, 198508, -9424, -4000, 2096
1589741417098, 198519, -9440, -3712, 2288
1589741417109, 198530, -9648, -3472, 2208
1589741417120, 198541, -9632, -3264, 2208
1589741417131, 198552, -9504, -3024, 2192
1589741417142, 198563, -9136, -2816, 2128
1589741417153, 198574, -9168, -2880, 2128
1589741417164, 198585, -9216, -2912, 2384
1589741417175, 198596, -9248, -3120, 2544
1589741417186, 198607, -9424, -3168, 2560
1589741417197, 198618, -9424, -3312, 2112
1589741417208, 198629, -9312, -3472, 1552
1589741417219, 198640, -9456, -3600, 656
1589741417230, 198651, -9440, -3440, 16
1589741417241, 198662, -9472, -3120, -112
1589741417252, 198673, -9392, -2864, 48
1589741417263, 198684, -9568, -3168, 432
1589741417274, 198695, -9872, -3600, 656
1589741417285, 198706, -10112, -3792, 864
1589741417297, 198717, -10144, -3664, 752
1589741417308, 198728, -9840, -3280, 448
1589741417318, 198739, -9616, -2944, 512
1589741417329, 198750, -9552, -2912, 240
1589741417340, 198761, -9104, -2960, -144
1589741417352, 198772, -9056, -3024, -704
1589741417362, 198783, -8784, -2944, -1296
1589741417374, 198794, -9024, -3072, -1280
1589741417383, 198805, -8688, -2208, -320
1589741417395, 198816, -8496, -1792, 400
1589741417407, 198827, -8400, -2048, 1056
1589741417417, 198838, -8432, -2320, 976
1589741417428, 198849, -7968, -2080, 1040
1589741417439, 198860, -7488, -1888, 1456
1589741417450, 198871, -7392, -1984, 1984
1589741417460, 198882, -7184, -2000, 2544
1589741417472, 198893, -6320, -2128, 2224
1589741417483, 198904, -6128, -2288, 1792
1589741417494, 198915, -5808, -2704, 1680
1589741417505, 198926, -5696, -1744, 1872
1589741417516, 198937, -5120, -1184, 2576
1589741417527, 198948, -5216, -1104, 3840
1589741417538, 198959, -5312, -736, 4944
1589741417549, 198970, -5232, -816, 5712
1589741417560, 198981, -5024, -656, 6528
1589741417571, 198992, -4352, -448, 7120
1589741417581, 199003, -4272, -464, 7504
1589741417593, 199014, -4160, -464, 7840
1589741417604, 199025, -4208, -592, 7792
1589741417615, 199036, -4528, -624, 6576
1589741417626, 199047, -4624, -432, 6640
1589741417637, 199058, -5584, -96, 6880
1589741417648, 199069, -6112, 240, 6832
1589741417658, 199080, -6272, 512, 6960
1589741417670, 199091, -7344, 864, 7008
1589741417680, 199102, -8064, 704, 7264
1589741417692, 199113, -8896, 320, 7232
1589741417703, 199124, -10288, -16, 6928
1589741417714, 199135, -10688, -352, 7024
1589741417725, 199146, -12496, -448, 6336
1589741417736, 199157, -13696, -624, 5824
1589741417747, 199168, -14048, -480, 5424
1589741417759, 199179, -16656, -912, 4736
1589741417769, 199190, -17744, -1392, 3632
1589741417780, 199201, -18752, -2080, 2752
1589741417791, 199212, -19552, -2992, 2208
1589741417803, 199223, -20496, -4592, 2160
1589741417813, 199234, -21184, -5728, 2016
