Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659295289, 253383, 5792, -5376, 2352
1589659295300, 253394, 5776, -5280, 2160
1589659295311, 253405, 5744, -5360, 2256
1589659295322, 253416, 5776, -5280, 2256
1589659295333, 253427, 5824, -5344, 2400
1589659295344, 253438, 5872, -5328, 2336
1589659295355, 253449, 5776, -5408, 2288
1589659295366, 253460, 5760, -5392, 2288
1589659295377, 253471, 5792, -5312, 2256
1589659295388, 253482, 5744, -5360, 2272
1589659295399, 253493, 5728, -5312, 2288
1589659295410, 253504, 5728, -5312, 2272
1589659295421, 253515, 5776, -5264, 2528
1589659295432, 253526, 5792, -5296, 2368
1589659295443, 253537, 5744, -5312, 2336
1589659295454, 253548, 5680, -5232, 2336
1589659295465, 253559, 5776, -5248, 2384
1589659295476, 253570, 5792, -5280, 2352
1589659295487, 253581, 5760, -5296, 2352
1589659295498, 253592, 5760, -5328, 2288
1589659295510, 253603, 5760, -5312, 2272
1589659295520, 253614, 5712, -5328, 2352
1589659295531, 253625, 5760, -5328, 2304
1589659295542, 253636, 5760, -5264, 2336
1589659295553, 253647, 5808, -5296, 2272
1589659295564, 253658, 5760, -5312, 2336
1589659295575, 253669, 5792, -5312, 2304
1589659295586, 253680, 5712, -5312, 2368
1589659295597, 253691, 5728, -5232, 2368
1589659295608, 253702, 5776, -5248, 2560
1589659295619, 253713, 5776, -5264, 2416
1589659295630, 253724, 5760, -5280, 2352
1589659295641, 253735, 5760, -5264, 2352
1589659295652, 253746, 5744, -5296, 2336
1589659295664, 253757, 5760, -5296, 2288
1589659295674, 253768, 5712, -5328, 2336
1589659295685, 253779, 5696, -5280, 2336
1589659295696, 253790, 5712, -5264, 2368
1589659295707, 253801, 5712, -5168, 2400
1589659295718, 253812, 5696, -5232, 2304
1589659295730, 253823, 5760, -5232, 2288
1589659295740, 253834, 5808, -5232, 2272
1589659295751, 253845, 5760, -5296, 2256
1589659295762, 253856, 5808, -5344, 2240
1589659295773, 253867, 5696, -5328, 2288
1589659295784, 253878, 5696, -5344, 2336
1589659295795, 253889, 5744, -5424, 2336
1589659295806, 253900, 5680, -5408, 2384
1589659295817, 253911, 5728, -5488, 2128
1589659295828, 253922, 5808, -5376, 2256
1589659295839, 253933, 5696, -5312, 2272
1589659295850, 253944, 5744, -5312, 2240
1589659295862, 253955, 5760, -5328, 2320
1589659295872, 253966, 5760, -5360, 2256
1589659295883, 253977, 5728, -5312, 2384
1589659295894, 253988, 5728, -5264, 2384
1589659295905, 253999, 5712, -5280, 2352
1589659295916, 254010, 5728, -5296, 2304
1589659295927, 254021, 5728, -5216, 2320
1589659295938, 254032, 5696, -5200, 2336
1589659295949, 254043, 5616, -5216, 2352
1589659295960, 254054, 5696, -5200, 2384
1589659295971, 254065, 5824, -5200, 2368
1589659295982, 254076, 5728, -5248, 2240
1589659295993, 254087, 5792, -5280, 2272
1589659296004, 254098, 5760, -5248, 2304
1589659296015, 254109, 5776, -5280, 2400
1589659296026, 254120, 5760, -5264, 2352
1589659296037, 254131, 5728, -5344, 2240
1589659296048, 254142, 5728, -5328, 2336
1589659296059, 254153, 5712, -5312, 2368
1589659296070, 254164, 5808, -5264, 2352
1589659296081, 254175, 5712, -5248, 2352
1589659296092, 254186, 5744, -5248, 2224
1589659296103, 254197, 5776, -5232, 2384
1589659296114, 254208, 5728, -5296, 2336
1589659296125, 254219, 5840, -5248, 2400
1589659296136, 254230, 5760, -5280, 2320
1589659296147, 254241, 5712, -5296, 2336
1589659296158, 254252, 5696, -5312, 2400
1589659296169, 254263, 5696, -5344, 2320
1589659296180, 254274, 5696, -5376, 2320
1589659296191, 254285, 5648, -5344, 2368
1589659296202, 254296, 5792, -5392, 2320
1589659296213, 254307, 5776, -5392, 2384
1589659296224, 254318, 5760, -5296, 2352
1589659296235, 254329, 5728, -5312, 2304
1589659296246, 254340, 5712, -5248, 2336
1589659296257, 254351, 5696, -5280, 2320
1589659296268, 254362, 5776, -5296, 2288
1589659296279, 254373, 5776, -5296, 2240
1589659296290, 254384, 5776, -5328, 2336
1589659296301, 254395, 5776, -5344, 2400
1589659296312, 254406, 5728, -5344, 2368
1589659296323, 254417, 5776, -5264, 2400
1589659296334, 254428, 5776, -5376, 2304
1589659296345, 254439, 5776, -5312, 2336
1589659296356, 254450, 5744, -5296, 2352
1589659296367, 254461, 5760, -5312, 2368
1589659296378, 254472, 5680, -5296, 2384
1589659296389, 254483, 5776, -5296, 2368
1589659296400, 254494, 5696, -5328, 2464
1589659296411, 254505, 5744, -5264, 2416
1589659296422, 254516, 5744, -5216, 2352
1589659296433, 254527, 5760, -5248, 2336
1589659296444, 254538, 5776, -5216, 2288
1589659296455, 254549, 5760, -5248, 2352
1589659296466, 254560, 5776, -5200, 2336
1589659296477, 254571, 5728, -5312, 2288
1589659296488, 254582, 5744, -5296, 2432
1589659296499, 254593, 5760, -5376, 2320
1589659296510, 254604, 5744, -5360, 2384
1589659296521, 254615, 5728, -5408, 2480
1589659296532, 254626, 5744, -5376, 2304
1589659296543, 254637, 5744, -5328, 2288
1589659296554, 254648, 5712, -5360, 2240
1589659296565, 254659, 5840, -5312, 2288
1589659296576, 254670, 5760, -5264, 2272
1589659296587, 254681, 5824, -5280, 2176
1589659296598, 254692, 5776, -5280, 2272
1589659296609, 254703, 5760, -5296, 2416
1589659296620, 254714, 5712, -5312, 2304
1589659296631, 254725, 5728, -5296, 2352
