Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659083391, 41490, 4672, -6288, 2640
1589659083401, 41501, 4624, -6320, 2592
1589659083412, 41512, 4592, -6352, 2544
1589659083423, 41523, 4640, -6272, 2352
1589659083435, 41534, 4656, -6256, 2336
1589659083445, 41545, 4704, -6240, 2352
1589659083456, 41556, 4704, -6176, 2256
1589659083468, 41567, 4768, -6256, 2320
1589659083479, 41578, 4624, -6240, 2400
1589659083489, 41589, 4528, -6256, 2576
1589659083500, 41600, 4464, -6240, 2544
1589659083511, 41611, 4448, -6256, 2672
1589659083522, 41622, 4432, -6240, 2656
1589659083533, 41633, 4480, -6352, 2624
1589659083544, 41644, 4400, -6448, 2448
1589659083555, 41655, 4480, -6448, 2576
1589659083567, 41666, 4416, -6480, 2496
1589659083578, 41677, 4480, -6384, 2432
1589659083588, 41688, 4480, -6336, 2384
1589659083599, 41699, 4448, -6256, 2304
1589659083610, 41710, 4480, -6160, 2288
1589659083620, 41721, 4448, -6240, 2192
1589659083633, 41732, 4400, -6384, 2064
1589659083644, 41743, 4400, -6496, 2096
1589659083654, 41754, 4320, -6736, 1984
1589659083664, 41765, 4192, -6848, 1952
1589659083677, 41776, 4208, -7088, 2016
1589659083687, 41787, 3936, -7296, 1984
1589659083698, 41798, 3760, -7344, 1808
1589659083709, 41809, 3744, -7296, 1840
1589659083721, 41820, 3600, -7392, 1696
1589659083731, 41831, 3552, -7952, 1472
1589659083742, 41842, 3296, -8368, 1184
1589659083753, 41853, 3184, -8864, 928
1589659083764, 41864, 3024, -9408, 464
1589659083774, 41875, 2832, -9648, 32
1589659083786, 41886, 2816, -10016, -448
1589659083797, 41897, 2736, -10336, -1120
1589659083808, 41908, 2848, -10384, -1568
1589659083819, 41919, 2944, -10336, -2016
1589659083830, 41930, 3056, -10064, -2192
1589659083842, 41941, 3200, -9824, -2368
1589659083853, 41952, 3408, -9744, -2784
1589659083863, 41963, 3472, -9648, -3280
1589659083875, 41974, 3568, -9680, -3840
1589659083886, 41985, 3904, -9376, -4432
1589659083897, 41996, 4320, -9120, -4992
1589659083907, 42007, 4976, -9040, -5536
1589659083918, 42018, 5088, -8752, -6288
1589659083930, 42029, 6096, -8880, -6640
1589659083940, 42040, 6624, -8976, -6960
1589659083951, 42051, 6720, -9248, -6928
1589659083963, 42062, 7168, -9680, -6816
1589659083974, 42073, 7264, -10352, -6752
1589659083984, 42084, 7280, -10336, -6640
1589659083996, 42095, 8208, -10320, -6496
1589659084007, 42106, 9040, -9936, -6928
1589659084018, 42117, 9872, -9600, -7520
1589659084029, 42128, 10624, -9632, -8000
1589659084039, 42139, 11520, -9920, -8384
1589659084050, 42150, 12000, -10064, -8480
1589659084061, 42161, 12320, -10288, -8096
1589659084072, 42172, 12352, -10336, -7360
1589659084084, 42183, 12736, -10528, -6544
1589659084094, 42194, 12688, -10400, -6016
1589659084106, 42205, 12736, -9664, -5248
1589659084117, 42216, 12400, -9024, -4976
1589659084128, 42227, 12368, -8384, -4704
1589659084139, 42238, 12240, -8592, -4800
1589659084150, 42249, 12048, -8512, -5200
1589659084161, 42260, 11648, -8256, -5744
1589659084172, 42271, 11584, -8176, -5808
1589659084183, 42282, 11568, -8240, -5696
1589659084194, 42293, 11584, -8256, -6272
1589659084205, 42304, 11424, -8176, -6480
1589659084216, 42315, 11472, -8048, -6832
1589659084227, 42326, 11424, -7712, -6368
1589659084238, 42337, 11424, -7744, -6000
1589659084249, 42348, 11120, -8128, -5760
1589659084260, 42359, 10832, -8512, -6176
1589659084270, 42370, 10592, -9344, -6800
1589659084282, 42381, 10880, -10256, -7120
1589659084293, 42392, 10640, -10656, -6624
1589659084304, 42403, 10656, -10704, -7616
1589659084315, 42414, 10960, -10752, -6640
1589659084326, 42425, 7808, -9952, 3104
1589659084337, 42436, 8880, -10464, -480
1589659084347, 42447, 8144, -9792, 880
1589659084358, 42458, 7632, -9536, 1120
1589659084369, 42469, 6752, -8880, 1296
1589659084381, 42480, 6672, -8544, 2000
1589659084392, 42491, 5840, -8288, 2512
1589659084402, 42502, 5200, -8320, 3168
1589659084413, 42513, 4672, -8128, 4256
1589659084425, 42524, 4448, -6912, 5440
