Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659098669, 56769, 6112, -4912, 2432
1589659098680, 56780, 6080, -4896, 2512
1589659098691, 56791, 5888, -4960, 2576
1589659098702, 56802, 5968, -4944, 2624
1589659098713, 56813, 6016, -5008, 2768
1589659098724, 56824, 5984, -5056, 2640
1589659098735, 56835, 5984, -5008, 2624
1589659098746, 56846, 5888, -4960, 2576
1589659098757, 56857, 5888, -4880, 2624
1589659098768, 56868, 5936, -4960, 2656
1589659098779, 56879, 6032, -4912, 2640
1589659098790, 56890, 5984, -4864, 2480
1589659098801, 56901, 6080, -4944, 2528
1589659098812, 56912, 6016, -4976, 2448
1589659098823, 56923, 6064, -4960, 2496
1589659098834, 56934, 6080, -4912, 2528
1589659098845, 56945, 6016, -4912, 2576
1589659098856, 56956, 6032, -4912, 2592
1589659098867, 56967, 5952, -4912, 2368
1589659098878, 56978, 6080, -4944, 2544
1589659098889, 56989, 6064, -4960, 2560
1589659098901, 57000, 6080, -4928, 2528
1589659098911, 57011, 5952, -4912, 2624
1589659098922, 57022, 5968, -4944, 2704
1589659098933, 57033, 5920, -5024, 2768
1589659098944, 57044, 5936, -5072, 2880
1589659098955, 57055, 5936, -5232, 3072
1589659098966, 57066, 5856, -5584, 3648
1589659098977, 57077, 5888, -5680, 4016
1589659098988, 57088, 5824, -5744, 4160
1589659098999, 57099, 5840, -5824, 4576
1589659099010, 57110, 5952, -5760, 4896
1589659099021, 57121, 5952, -5696, 5280
1589659099032, 57132, 5952, -5920, 5344
1589659099043, 57143, 6048, -6048, 5536
1589659099054, 57154, 6144, -6240, 6000
1589659099065, 57165, 6224, -6160, 6752
1589659099076, 57176, 6464, -6144, 7424
1589659099087, 57187, 6576, -6336, 7872
1589659099098, 57198, 6496, -6576, 8064
1589659099109, 57209, 6800, -6816, 7904
1589659099120, 57220, 6992, -7456, 7776
1589659099131, 57231, 7248, -7872, 7568
1589659099142, 57242, 7424, -8048, 7280
1589659099153, 57253, 7552, -8224, 7072
1589659099164, 57264, 8032, -8240, 7232
1589659099175, 57275, 8496, -8256, 7488
1589659099186, 57286, 8944, -8256, 7792
1589659099197, 57297, 9168, -8288, 7984
1589659099208, 57308, 9024, -8592, 7968
1589659099219, 57319, 8976, -8800, 8000
1589659099230, 57330, 9152, -8752, 7952
1589659099241, 57341, 9152, -8640, 7952
1589659099252, 57352, 9072, -8576, 7840
1589659099263, 57363, 9072, -8688, 7488
1589659099274, 57374, 8992, -8752, 6864
1589659099285, 57385, 9328, -8624, 6384
1589659099296, 57396, 9120, -8208, 5824
1589659099307, 57407, 9184, -7760, 6032
1589659099318, 57418, 8976, -7616, 5856
1589659099329, 57429, 8448, -7616, 5552
1589659099340, 57440, 8176, -7904, 5328
1589659099351, 57451, 7632, -8128, 4896
1589659099362, 57462, 7632, -8560, 4336
1589659099373, 57473, 7968, -8656, 3856
1589659099384, 57484, 8176, -8656, 3648
1589659099395, 57495, 8208, -8688, 3424
1589659099406, 57506, 7600, -8656, 3392
1589659099417, 57517, 7216, -8352, 3552
1589659099428, 57528, 7200, -8192, 3584
1589659099439, 57539, 5824, -8256, 3568
1589659099450, 57550, 4848, -8736, 3616
1589659099461, 57561, 4656, -8512, 3632
1589659099472, 57572, 4224, -8176, 3424
1589659099483, 57583, 4752, -7376, 3248
1589659099494, 57594, 4608, -6720, 2768
1589659099506, 57605, 3664, -6096, 2224
1589659099517, 57616, 2272, -5664, 1888
1589659099527, 57627, 1136, -5296, 2016
1589659099538, 57638, 112, -4944, 2368
1589659099549, 57649, -80, -5232, 2768
1589659099560, 57660, -1504, -5728, 2992
1589659099571, 57671, -1840, -5984, 3248
1589659099582, 57682, -1840, -5536, 2592
1589659099593, 57693, -1840, -4656, 1936
1589659099604, 57704, -1968, -3648, 1136
1589659099615, 57715, -1648, -3120, 832
1589659099626, 57726, -1584, -3040, 416
1589659099637, 57737, -1584, -2992, 64
1589659099649, 57748, -1856, -3088, -192
1589659099659, 57759, -2080, -3280, -336
1589659099670, 57770, -2160, -3744, -592
1589659099681, 57781, -2752, -3984, -1056
1589659099693, 57792, -2896, -4080, -1504
1589659099703, 57803, -2912, -3936, -1456
1589659099714, 57814, -2672, -3536, -1648
1589659099726, 57825, -2416, -2880, -2160
1589659099736, 57836, -2400, -2160, -2624
1589659099747, 57847, -2448, -1776, -3296
1589659099759, 57858, -2592, -1552, -4272
1589659099769, 57869, -2528, -1520, -4912
1589659099780, 57880, -2672, -1760, -5344
1589659099793, 57891, -2512, -1568, -5536
1589659099802, 57902, -2400, -1184, -5504
1589659099813, 57913, -2224, -976, -5472
1589659099825, 57924, -2224, -1216, -5808
1589659099835, 57935, -2160, -1344, -6032
1589659099846, 57946, -2128, -1328, -6192
1589659099858, 57957, -2064, -1536, -6464
1589659099869, 57968, -1904, -1680, -6432
1589659099879, 57979, -1712, -1632, -6288
1589659099891, 57990, -1408, -1680, -6032
1589659099902, 58001, -1152, -1792, -6048
1589659099912, 58012, -768, -2560, -5984
1589659099923, 58023, -256, -3504, -6144
1589659099934, 58034, 480, -4064, -6672
1589659099945, 58045, 784, -4656, -7088
1589659099956, 58056, 1264, -4992, -7232
1589659099967, 58067, 1744, -5456, -7664
1589659099978, 58078, 1824, -5840, -8064
1589659099989, 58089, 2816, -6080, -8464
1589659100000, 58100, 3184, -6208, -8640
1589659100011, 58111, 3424, -6144, -8416
1589659100023, 58122, 4496, -6336, -8256
1589659100033, 58133, 5024, -6768, -8112
1589659100044, 58144, 5616, -7440, -8192
1589659100055, 58155, 6544, -8064, -8208
1589659100066, 58166, 7648, -8976, -7888
1589659100077, 58177, 8384, -9728, -7632
1589659100088, 58188, 9296, -9248, -7328
1589659100099, 58199, 9520, -7696, -6672
1589659100111, 58210, 12352, -6784, -6384
1589659100121, 58221, 13248, -6832, -5840
1589659100132, 58232, 13392, -9744, -6128
1589659100144, 58243, 14288, -12288, -6176
1589659100154, 58254, 15376, -14832, -6064
1589659100165, 58265, 15584, -16160, -5664
1589659100177, 58276, 18400, -16912, -5488
1589659100187, 58287, 20432, -17104, -5152
1589659100198, 58298, 22432, -16928, -4848
1589659100210, 58309, 24080, -16512, -4448
1589659100220, 58320, 25856, -18304, -3824
1589659100231, 58331, 26656, -20640, -3760
1589659100243, 58342, 28016, -22624, -3248
1589659100254, 58353, 28240, -24176, -3216
1589659100264, 58364, 31072, -24544, -2960
1589659100276, 58375, 32496, -24928, -2304
1589659100286, 58386, 32576, -25984, -2416
1589659100297, 58397, 32640, -26624, -2272
1589659100309, 58408, 32640, -28352, -1600
1589659100319, 58419, 32640, -29888, -1216
1589659100330, 58430, 32640, -30960, -624
1589659100341, 58441, 32640, -31232, 480
1589659100352, 58452, 32640, -30928, 1440
1589659100363, 58463, 32640, -31168, 1744
1589659100375, 58474, 32640, -30848, 3584
1589659100385, 58485, 32640, -30208, 4448
1589659100396, 58496, 32640, -29088, 4608
1589659100407, 58507, 32640, -27056, 4176
1589659100418, 58518, 32640, -25648, 3680
1589659100429, 58529, 32640, -24320, 3424
1589659100441, 58540, 32640, -23296, 3888
1589659100451, 58551, 32640, -22464, 4384
1589659100462, 58562, 32640, -22256, 6064
1589659100474, 58573, 32640, -22880, 8096
1589659100484, 58584, 32640, -23376, 10304
1589659100496, 58595, 32640, -22688, 12592
1589659100507, 58606, 32640, -21200, 13296
1589659100517, 58617, 32640, -19712, 11888
1589659100528, 58628, 32640, -20144, 9344
1589659100540, 58639, 29392, -20592, 8960
1589659100550, 58650, 26880, -20608, 9376
1589659100561, 58661, 25728, -19008, 9792
1589659100572, 58672, 20112, -17280, 10320
1589659100583, 58683, 17232, -14064, 10320
1589659100595, 58694, 16688, -11808, 9248
1589659100605, 58705, 13728, -10224, 7488
1589659100616, 58716, 13680, -9232, 5504
1589659100627, 58727, 14288, -9184, 4352
1589659100638, 58738, 14320, -9984, 3872
1589659100650, 58749, 13632, -10352, 4752
1589659100660, 58760, 12224, -9552, 6336
1589659100671, 58771, 11168, -7952, 8624
1589659100682, 58782, 10736, -5984, 10640
1589659100693, 58793, 6912, -4928, 11504
1589659100704, 58804, 5808, -3488, 11200
1589659100715, 58815, 5504, -2464, 10912
1589659100726, 58826, 4880, -2208, 10416
1589659100737, 58837, 4128, -2928, 9664
1589659100748, 58848, 3632, -3552, 8864
1589659100759, 58859, 2960, -4128, 8480
1589659100770, 58870, 2256, -3536, 9136
1589659100781, 58881, 1344, -2144, 12576
1589659100792, 58892, 0, -240, 13088
1589659100803, 58903, -128, -736, 11968
1589659100814, 58914, -1184, -1600, 11152
1589659100826, 58925, -1264, -2240, 10848
1589659100836, 58936, -1328, -2656, 9760
1589659100847, 58947, -1360, -2960, 8272
1589659100858, 58958, -1520, -3856, 5728
1589659100869, 58969, -1664, -4912, 4000
1589659100880, 58980, -1872, -5616, 2608
1589659100891, 58991, -2016, -6544, 1424
1589659100902, 59002, -2336, -6992, 1792
1589659100913, 59013, -2800, -6944, 2704
1589659100925, 59024, -2992, -6816, 3200
1589659100935, 59035, -3376, -6688, 2960
1589659100946, 59046, -3312, -6800, 2624
1589659100957, 59057, -3184, -7056, 2320
1589659100968, 59068, -3104, -7088, 2336
1589659100979, 59079, -2928, -7008, 2864
1589659100991, 59090, -2848, -6624, 3504
1589659101001, 59101, -2464, -6496, 4064
1589659101012, 59112, -2496, -6768, 4832
1589659101024, 59123, -2336, -7104, 5024
1589659101034, 59134, -2208, -7216, 5040
1589659101045, 59145, -2272, -6928, 4656
1589659101056, 59156, -2256, -6688, 4464
1589659101068, 59167, -2560, -6272, 4128
1589659101079, 59178, -2608, -5712, 3696
1589659101089, 59189, -2928, -5312, 3392
1589659101100, 59200, -2272, -5200, 2816
1589659101111, 59211, -2192, -4880, 3040
