Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659243544, 201639, 1920, 2096, 7504
1589659243555, 201650, 1904, 2144, 7584
1589659243566, 201661, 1952, 2224, 7488
1589659243576, 201672, 1808, 2144, 7568
1589659243588, 201683, 2000, 2256, 7552
1589659243599, 201694, 1920, 2080, 7472
1589659243610, 201705, 1952, 2080, 7392
1589659243620, 201716, 2000, 2032, 7536
1589659243632, 201727, 1984, 2032, 7520
1589659243643, 201738, 2000, 2016, 7488
1589659243653, 201749, 1872, 1984, 7408
1589659243664, 201760, 1920, 1984, 7472
1589659243676, 201771, 1936, 2032, 7312
1589659243686, 201782, 1936, 2000, 7568
1589659243698, 201793, 1904, 2048, 7648
1589659243709, 201804, 1984, 1984, 7792
1589659243719, 201815, 1984, 1904, 7648
1589659243730, 201826, 1968, 1920, 7584
1589659243742, 201837, 1984, 2000, 7552
1589659243753, 201848, 2000, 1904, 7472
1589659243764, 201859, 2000, 1888, 7440
1589659243775, 201870, 2032, 1984, 7472
1589659243786, 201881, 2032, 2032, 7440
1589659243796, 201892, 1936, 2016, 7360
1589659243808, 201903, 1984, 2032, 7424
1589659243818, 201914, 1792, 2096, 7632
1589659243830, 201925, 1520, 2208, 7888
1589659243841, 201936, 1568, 2432, 8288
1589659243851, 201947, 576, 2576, 8720
1589659243862, 201958, 64, 3056, 9552
1589659243874, 201969, -512, 3664, 10048
1589659243885, 201980, -720, 4624, 10176
1589659243896, 201991, -1152, 5328, 10624
1589659243907, 202002, -1712, 5344, 11120
1589659243918, 202013, -2048, 5152, 11696
1589659243929, 202024, -2064, 5056, 11888
1589659243940, 202035, -1952, 5312, 11776
1589659243951, 202046, -1840, 5984, 11536
1589659243962, 202057, -1920, 6928, 11648
1589659243973, 202068, -2192, 7888, 11920
1589659243984, 202079, -2704, 8704, 12160
1589659243995, 202090, -2832, 9168, 12656
1589659244006, 202101, -2864, 9072, 13088
1589659244017, 202112, -2192, 8528, 13616
1589659244028, 202123, -1392, 8032, 13936
1589659244039, 202134, -672, 7344, 14000
1589659244049, 202145, 96, 6736, 13536
1589659244061, 202156, 672, 6368, 13104
1589659244072, 202167, 1280, 5888, 12448
1589659244083, 202178, 1504, 5360, 11984
1589659244094, 202189, 1744, 5504, 11456
1589659244105, 202200, 1312, 5648, 11296
1589659244116, 202211, 1312, 5504, 11712
1589659244127, 202222, 416, 5440, 12144
1589659244138, 202233, 800, 5136, 11984
1589659244149, 202244, 1472, 4784, 11712
1589659244160, 202255, 2000, 4272, 11344
1589659244171, 202266, 2496, 3952, 11072
1589659244182, 202277, 2448, 3712, 10432
1589659244193, 202288, 2544, 3344, 9776
1589659244204, 202299, 2704, 3168, 9376
1589659244215, 202310, 3152, 3952, 9072
1589659244226, 202321, 3328, 3952, 8032
1589659244237, 202332, 3344, 3344, 7744
1589659244248, 202343, 1936, 3488, 8016
1589659244259, 202354, 1200, 3712, 8896
1589659244270, 202365, 1104, 3456, 9184
1589659244281, 202376, 1472, 2880, 7952
1589659244292, 202387, 2512, 1712, 5296
1589659244303, 202398, 2544, 864, 2864
1589659244313, 202409, 3280, 832, 1504
1589659244325, 202420, 2736, 1904, 704
1589659244335, 202431, 2336, 2736, 1104
1589659244347, 202442, 1168, 4128, 2368
1589659244358, 202453, 816, 5744, 4240
1589659244369, 202464, -1072, 6608, 5856
1589659244380, 202475, -1856, 6864, 7584
1589659244391, 202486, -1968, 6272, 7872
1589659244402, 202497, -1840, 5328, 7312
1589659244413, 202508, -1552, 4384, 5872
1589659244424, 202519, -784, 3824, 5056
1589659244434, 202530, -256, 2992, 4096
1589659244445, 202541, -48, 2128, 2544
1589659244457, 202552, 192, 1552, 1568
1589659244467, 202563, 608, 992, 816
1589659244478, 202574, 736, 592, 352
1589659244489, 202585, 560, 688, 384
1589659244500, 202596, 128, 608, 688
1589659244511, 202607, 48, 720, 1312
1589659244523, 202618, -896, 896, 1792
1589659244533, 202629, -1120, 912, 1968
1589659244545, 202640, -1744, 912, 1856
1589659244556, 202651, -2048, 768, 1520
1589659244566, 202662, -2128, 784, 1264
1589659244578, 202673, -2288, 1008, 864
1589659244589, 202684, -2608, 1264, 752
1589659244599, 202695, -3008, 1760, 816
1589659244611, 202706, -3184, 2288, 976
1589659244621, 202717, -3456, 2704, 960
1589659244632, 202728, -3376, 3472, 848
1589659244644, 202739, -3824, 4016, 576
1589659244655, 202750, -4048, 4432, 160
1589659244666, 202761, -4048, 4640, 112
1589659244677, 202772, -4240, 5040, 352
1589659244688, 202783, -4400, 5760, 576
1589659244699, 202794, -4320, 6160, 736
1589659244710, 202805, -4272, 6096, 928
1589659244721, 202816, -4592, 6000, 1008
1589659244732, 202827, -4224, 6016, 992
1589659244743, 202838, -4096, 6208, 1008
1589659244754, 202849, -4112, 6384, 1248
1589659244765, 202860, -4112, 6512, 1216
1589659244776, 202871, -4192, 6672, 1280
1589659244787, 202882, -4272, 6752, 1392
1589659244798, 202893, -4128, 6560, 1520
1589659244809, 202904, -4256, 6352, 1600
1589659244820, 202915, -4208, 6320, 1792
1589659244831, 202926, -4288, 6528, 2032
