Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659342426, 300518, -1616, -2080, -5248
1589659342437, 300529, -2288, -1568, -5536
1589659342448, 300540, -2720, -1408, -6032
1589659342459, 300551, -3120, -1744, -6384
1589659342470, 300562, -3408, -2512, -7248
1589659342481, 300573, -3280, -3200, -7536
1589659342492, 300584, -3168, -2976, -7280
1589659342503, 300595, -2528, -2960, -7008
1589659342514, 300606, -2704, -2768, -6928
1589659342525, 300617, -2864, -2592, -6928
1589659342536, 300628, -2752, -2400, -6720
1589659342547, 300639, -2640, -1824, -6656
1589659342557, 300650, -3184, -1712, -6672
1589659342569, 300661, -4160, -1600, -6832
1589659342580, 300672, -4832, -1488, -6400
1589659342590, 300683, -4640, -1696, -6224
1589659342602, 300694, -3488, -2368, -6192
1589659342613, 300705, -2720, -2976, -6608
1589659342623, 300716, -2688, -2880, -6768
1589659342635, 300727, -2800, -2240, -6912
1589659342646, 300738, -2864, -1168, -6880
1589659342656, 300749, -3392, -496, -6880
1589659342668, 300760, -3392, -256, -7104
1589659342678, 300771, -3648, -832, -7536
1589659342690, 300782, -3968, -1472, -7920
1589659342701, 300793, -3616, -1808, -7712
1589659342711, 300804, -3280, -1952, -7760
1589659342722, 300815, -3344, -2096, -7792
1589659342734, 300826, -3504, -1776, -7520
1589659342745, 300837, -3744, -1648, -7344
1589659342756, 300848, -3824, -1248, -6944
1589659342767, 300859, -3936, -912, -6576
1589659342777, 300870, -4528, -928, -6576
1589659342788, 300881, -4368, -960, -6528
1589659342799, 300892, -4272, -1088, -6480
1589659342810, 300903, -3888, -1056, -6624
1589659342822, 300914, -4016, -1136, -6928
1589659342832, 300925, -3904, -1104, -6816
1589659342843, 300936, -3968, -1168, -6816
1589659342855, 300947, -3792, -1024, -6736
1589659342866, 300958, -3776, -1056, -6752
1589659342876, 300969, -3808, -1088, -6928
1589659342887, 300980, -3616, -800, -6928
1589659342898, 300991, -3872, -912, -6896
1589659342910, 301002, -3824, -1120, -6992
1589659342920, 301013, -3792, -1376, -7008
