Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659428392, 386483, 3520, -5088, -496
1589659428403, 386494, 3664, -5728, -1296
1589659428414, 386505, 3056, -6736, -976
1589659428425, 386516, 2848, -7472, -624
1589659428436, 386527, 2928, -8128, -816
1589659428447, 386538, 3056, -8144, -496
1589659428458, 386549, 3312, -8464, -384
1589659428469, 386560, 2784, -8304, -512
1589659428480, 386571, 2944, -8160, -560
1589659428491, 386582, 3264, -8064, -336
1589659428502, 386593, 3344, -7664, -272
1589659428513, 386604, 3408, -7488, -480
1589659428524, 386615, 3456, -7520, -800
1589659428535, 386626, 3696, -7344, -1104
1589659428546, 386637, 3776, -7216, -1088
1589659428557, 386648, 3648, -7312, -1056
1589659428568, 386659, 3680, -7248, -576
1589659428579, 386670, 4000, -7696, -512
1589659428590, 386681, 3984, -7680, -464
1589659428601, 386692, 4400, -7424, -304
1589659428612, 386703, 5088, -7056, -96
1589659428623, 386714, 4032, -6992, -608
1589659428634, 386725, 3728, -7088, -800
1589659428645, 386736, 3888, -7104, -864
1589659428656, 386747, 3952, -7056, -800
1589659428667, 386758, 4080, -6880, -720
1589659428678, 386769, 4032, -6976, -624
1589659428689, 386780, 3680, -7104, -256
1589659428700, 386791, 3616, -7488, 32
1589659428711, 386802, 3520, -7376, 16
1589659428722, 386813, 3472, -7280, 192
1589659428733, 386824, 3792, -7264, 272
1589659428744, 386835, 4160, -6656, -240
1589659428755, 386846, 4480, -6800, -336
1589659428766, 386857, 4224, -6624, -656
1589659428777, 386868, 4128, -6704, -784
1589659428788, 386879, 4240, -6704, -800
1589659428799, 386890, 4240, -6944, -960
1589659428810, 386901, 4224, -7184, -1008
1589659428821, 386912, 4080, -7056, -976
1589659428832, 386923, 4048, -7184, -880
1589659428843, 386934, 4048, -7408, -480
1589659428854, 386945, 4320, -7216, -1184
1589659428865, 386956, 4336, -7056, -400
1589659428876, 386967, 4224, -7056, -576
1589659428887, 386978, 4336, -6864, -592
1589659428898, 386989, 4384, -6720, -624
1589659428909, 387000, 4320, -6816, -560
1589659428920, 387011, 4384, -7008, -448
1589659428931, 387022, 4368, -7056, -432
1589659428942, 387033, 4416, -7072, -640
1589659428953, 387044, 4448, -7152, -800
1589659428964, 387055, 4160, -7216, -816
1589659428975, 387066, 4320, -7152, -576
1589659428986, 387077, 4224, -7184, -560
1589659428997, 387088, 4304, -7184, -384
1589659429008, 387099, 4368, -7104, -384
1589659429019, 387110, 4224, -7072, -384
1589659429030, 387121, 4272, -7136, -464
1589659429041, 387132, 4384, -7088, -496
1589659429052, 387143, 4320, -6944, -720
1589659429063, 387154, 4208, -6944, -880
1589659429074, 387165, 4288, -6976, -848
1589659429085, 387176, 4272, -7088, -752
1589659429096, 387187, 4256, -7104, -688
1589659429107, 387198, 4256, -7168, -656
1589659429118, 387209, 4256, -7120, -752
1589659429129, 387220, 4080, -7120, -608
1589659429140, 387231, 4160, -7200, -592
1589659429151, 387242, 4160, -7264, -624
1589659429162, 387253, 4144, -7088, -672
1589659429173, 387264, 4048, -6912, -720
1589659429184, 387275, 3808, -7040, -464
1589659429195, 387286, 3856, -7472, -288
1589659429206, 387297, 3520, -7792, -176
1589659429217, 387308, 3232, -7968, -48
1589659429229, 387319, 2992, -8016, -336
1589659429239, 387330, 2736, -8368, -496
1589659429250, 387341, 2768, -9600, -736
1589659429262, 387352, 2816, -11120, -880
1589659429272, 387363, 2752, -12752, -880
1589659429283, 387374, 3216, -14848, -640
1589659429294, 387385, 3584, -17168, -416
1589659429305, 387396, 3680, -19712, -592
1589659429316, 387407, 4112, -23152, -1264
1589659429327, 387418, 4816, -24960, -1408
1589659429338, 387429, 5760, -25248, -1600
1589659429349, 387440, 6080, -22832, -1968
1589659429360, 387451, 7568, -20400, -1616
1589659429371, 387462, 8080, -17792, -896
1589659429382, 387473, 8304, -15680, -976
1589659429393, 387484, 8240, -14928, -1040
1589659429405, 387495, 8784, -14816, -1200
1589659429415, 387506, 9216, -14832, -1136
1589659429426, 387517, 9408, -14480, -928
1589659429437, 387528, 9648, -13424, -160
1589659429448, 387539, 9760, -11824, 608
1589659429459, 387550, 9680, -9664, 1376
1589659429470, 387561, 9680, -7600, 2016
1589659429481, 387572, 8832, -6848, 2224
1589659429492, 387583, 6736, -5296, 2320
1589659429503, 387594, 6400, -3440, 2480
1589659429514, 387605, 5856, -1392, 2384
1589659429525, 387616, 5232, -16, 2368
1589659429536, 387627, 4368, 752, 2160
1589659429547, 387638, 3616, 1392, 1840
1589659429558, 387649, 2448, 1408, 1568
1589659429569, 387660, 1968, 1008, 1696
1589659429580, 387671, 1872, 544, 1808
1589659429591, 387682, 1936, -48, 1680
1589659429602, 387693, 1824, -416, 1328
1589659429614, 387704, 1536, -896, 864
1589659429624, 387715, 1504, -1568, 512
1589659429635, 387726, 1184, -2000, 320
1589659429646, 387737, 848, -2112, 384
1589659429657, 387748, 720, -2368, 288
1589659429668, 387759, 416, -2560, 256
1589659429679, 387770, -16, -2224, 288
1589659429690, 387781, -224, -2160, 720
1589659429701, 387792, -480, -2256, 944
1589659429712, 387803, -832, -2688, 1072
1589659429723, 387814, -1040, -3424, 912
1589659429734, 387825, -1104, -4032, 720
1589659429745, 387836, -1184, -4464, 320
1589659429756, 387847, -1360, -4624, 176
1589659429767, 387858, -1440, -4816, 144
1589659429778, 387869, -1328, -5328, 288
1589659429789, 387880, -1840, -5488, 304
1589659429800, 387891, -1968, -5808, 528
1589659429811, 387902, -1984, -5920, 912
1589659429822, 387913, -2016, -6224, 1088
1589659429833, 387924, -2032, -6688, 864
1589659429844, 387935, -1968, -7120, 736
1589659429855, 387946, -1984, -7536, 352
1589659429866, 387957, -1920, -7664, 224
1589659429878, 387968, -1936, -7648, 128
1589659429888, 387979, -2160, -7696, 240
1589659429899, 387990, -2128, -8032, 640
1589659429910, 388001, -2256, -8400, 976
1589659429921, 388012, -2288, -9312, 656
1589659429932, 388023, -2240, -10048, 704
1589659429943, 388034, -2496, -10816, 736
1589659429954, 388045, -2720, -11584, 1184
1589659429965, 388056, -2976, -12688, 2048
1589659429976, 388067, -2944, -13536, 2432
