Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659468863, 426952, -192, -96, 7696
1589659468874, 426963, -272, -16, 7776
1589659468884, 426974, -272, -16, 8080
1589659468896, 426985, -192, -112, 8016
1589659468906, 426996, 48, -368, 8176
1589659468917, 427007, 32, -576, 8208
1589659468929, 427018, 16, -656, 8096
1589659468939, 427029, 32, -544, 8128
1589659468950, 427040, 16, -496, 8048
1589659468961, 427051, 0, -464, 8160
1589659468972, 427062, 96, -400, 7968
1589659468983, 427073, 32, -272, 8032
1589659468994, 427084, -48, -304, 7904
1589659469006, 427095, -160, -384, 7936
1589659469016, 427106, 0, -464, 7968
1589659469028, 427117, 144, -592, 7968
1589659469039, 427128, 272, -608, 8016
1589659469050, 427139, 160, -624, 8080
1589659469061, 427150, 144, -528, 8144
1589659469072, 427161, 176, -480, 8208
1589659469083, 427172, 288, -608, 8208
1589659469094, 427183, 384, -752, 8224
1589659469105, 427194, 464, -688, 8320
1589659469116, 427205, 112, -400, 8272
1589659469127, 427216, -16, -176, 8192
1589659469137, 427227, 0, -48, 8064
1589659469148, 427238, 0, -208, 8000
1589659469159, 427249, 0, -512, 8112
1589659469171, 427260, -32, -464, 8224
1589659469182, 427271, -160, -240, 8368
1589659469193, 427282, -272, 240, 8608
1589659469204, 427293, -896, 864, 8880
1589659469215, 427304, -1344, 1360, 9264
1589659469226, 427315, -1456, 2208, 9328
1589659469237, 427326, -2368, 3280, 9744
1589659469248, 427337, -2736, 4368, 9728
1589659469259, 427348, -2752, 4800, 9680
1589659469270, 427359, -2384, 4352, 8848
1589659469281, 427370, -1264, 3072, 7792
1589659469292, 427381, -16, 1488, 7360
1589659469303, 427392, 1584, -928, 6592
1589659469314, 427403, 3120, -4656, 5424
1589659469325, 427414, 5456, -6896, 5360
1589659469336, 427425, 7744, -10288, 5200
1589659469347, 427436, 7856, -14080, 6224
1589659469358, 427447, 9616, -16416, 7520
1589659469369, 427458, 10368, -18944, 9024
1589659469380, 427469, 10912, -20864, 9232
1589659469391, 427480, 13360, -19152, 8624
1589659469402, 427491, 14464, -15056, 7376
1589659469413, 427502, 15792, -9360, 7312
1589659469424, 427513, 16160, 1760, 8368
1589659469435, 427524, 7824, 22224, 10768
1589659469447, 427535, -5040, 31888, 10608
1589659469457, 427546, -14640, 32608, 8496
1589659469468, 427557, -15712, 32640, 4080
1589659469479, 427568, -11008, 28560, 2288
1589659469490, 427579, -4848, 18784, 2560
1589659469501, 427590, -3792, 9056, 2624
1589659469512, 427601, 688, 3904, 2368
1589659469523, 427612, 3072, -976, 2096
1589659469534, 427623, 7072, -6640, 1696
1589659469545, 427634, 10192, -13072, 2080
1589659469556, 427645, 13584, -20304, 4240
1589659469567, 427656, 15312, -26768, 6032
1589659469578, 427667, 16016, -31584, 8000
1589659469589, 427678, 16576, -27104, 10320
1589659469600, 427689, 16256, -18432, 10944
1589659469611, 427700, 15072, -4560, 10752
1589659469622, 427711, 14224, 18864, 9296
1589659469633, 427722, -7968, 31232, 8432
1589659469644, 427733, -15280, 32608, 6144
1589659469655, 427744, -16496, 32624, 2640
1589659469666, 427755, -10992, 25808, 1136
1589659469677, 427766, -3936, 12880, 4208
1589659469688, 427777, 112, 7344, 2240
1589659469699, 427788, 3072, 1904, 2496
1589659469710, 427799, 8560, -7264, 2512
1589659469721, 427810, 12880, -16848, 2992
1589659469732, 427821, 16784, -25536, 4992
1589659469743, 427832, 17584, -32208, 9040
1589659469754, 427843, 19376, -32400, 11552
1589659469765, 427854, 18144, -26704, 11040
1589659469777, 427865, 17776, -12432, 10528
1589659469787, 427876, 12768, 2304, 9312
1589659469798, 427887, 4816, 14912, 8448
1589659469809, 427898, -5568, 24128, 9328
1589659469820, 427909, -12800, 29536, 8800
1589659469831, 427920, -17168, 29584, 7424
1589659469843, 427931, -14768, 26736, 6496
1589659469853, 427942, -9984, 21232, 5088
1589659469864, 427953, -4336, 11840, 3392
1589659469875, 427964, 880, 4240, 2080
1589659469886, 427975, 5552, -4832, 1200
1589659469897, 427986, 7056, -15760, 1424
1589659469908, 427997, 15264, -24096, 3344
1589659469919, 428008, 17632, -31968, 7312
1589659469930, 428019, 17952, -32592, 9520
1589659469941, 428030, 19824, -28672, 10624
1589659469952, 428041, 18352, -15056, 10784
1589659469963, 428052, 15680, 800, 10736
1589659469974, 428063, 6192, 15584, 11216
1589659469985, 428074, -8352, 31168, 12928
1589659469996, 428085, -16304, 32560, 11424
1589659470007, 428096, -18656, 32112, 7168
1589659470018, 428107, -18464, 25200, 3504
1589659470029, 428118, -7328, 17200, 1968
1589659470040, 428129, -2720, 8944, 960
1589659470051, 428140, -1440, -880, -224
1589659470062, 428151, 6464, -8864, -256
1589659470073, 428162, 9456, -17520, 752
1589659470084, 428173, 13312, -22944, 2784
1589659470096, 428184, 15040, -27616, 6016
1589659470106, 428195, 16608, -28448, 9600
1589659470117, 428206, 16672, -24864, 10624
1589659470128, 428217, 15552, -17584, 10704
1589659470139, 428228, 15200, -3392, 11120
1589659470150, 428239, 8400, 11936, 12400
1589659470161, 428250, -4336, 26928, 14672
1589659470172, 428261, -7408, 32464, 12768
1589659470183, 428272, -18304, 32640, 7008
1589659470194, 428283, -14880, 26416, 2032
1589659470205, 428294, -12960, 16128, 448
1589659470215, 428305, 96, 6528, -336
1589659470227, 428316, 5040, -3536, 320
1589659470238, 428327, 9552, -11792, 1024
1589659470249, 428338, 13120, -21104, 3216
1589659470260, 428349, 16512, -30944, 8176
1589659470271, 428360, 18160, -32528, 11536
1589659470282, 428371, 18864, -32512, 12432
1589659470293, 428382, 18768, -23328, 10624
1589659470304, 428393, 17216, -9424, 9488
1589659470315, 428404, 12800, 9552, 9328
1589659470326, 428415, 10080, 27840, 9680
1589659470337, 428426, -15136, 32352, 8096
1589659470348, 428437, -18336, 32640, 3456
1589659470359, 428448, -14512, 27888, 1152
1589659470370, 428459, -8128, 18480, 176
1589659470381, 428470, -2336, 8064, 464
1589659470392, 428481, 1760, 1424, 2304
1589659470403, 428492, 4864, -5376, 3024
1589659470414, 428503, 5728, -14592, 3792
1589659470425, 428514, 13584, -22144, 5616
1589659470436, 428525, 16400, -28720, 9552
1589659470447, 428536, 17040, -30976, 14400
1589659470458, 428547, 18400, -26560, 15232
1589659470469, 428558, 17840, -13376, 13920
1589659470480, 428569, 17504, 2288, 13648
1589659470491, 428580, 5664, 17456, 13520
1589659470502, 428591, -9664, 30288, 11728
1589659470513, 428602, -16992, 31872, 6672
1589659470524, 428613, -17040, 29296, 2048
1589659470535, 428624, -10176, 20752, 48
1589659470546, 428635, -4320, 11424, 448
1589659470557, 428646, -128, 3760, -144
1589659470568, 428657, 720, -5808, 48
1589659470579, 428668, 7840, -13856, 1728
1589659470590, 428679, 12112, -23184, 5376
1589659470602, 428690, 13072, -31904, 9424
1589659470612, 428701, 20144, -32592, 12768
1589659470623, 428712, 20832, -26016, 14240
1589659470634, 428723, 19728, -9536, 13552
1589659470645, 428734, 11664, 10880, 10592
1589659470656, 428745, -8512, 30816, 6880
1589659470667, 428756, -19904, 32528, 3216
1589659470678, 428767, -18800, 32640, -640
1589659470689, 428778, -17472, 23152, -2144
1589659470700, 428789, -2144, 11408, -848
1589659470710, 428800, 4336, 752, 896
1589659470722, 428811, 5264, -16192, 3952
1589659470733, 428822, 13024, -26320, 9152
1589659470744, 428833, 16464, -32384, 15968
1589659470755, 428844, 17696, -28992, 19888
1589659470766, 428855, 20176, -21344, 19760
1589659470777, 428866, 19088, -8800, 16416
1589659470788, 428877, 14640, 5664, 12432
1589659470799, 428888, 2832, 18864, 7856
1589659470810, 428899, -10976, 26208, 1984
1589659470822, 428910, -15120, 25936, -3024
1589659470832, 428921, -12576, 21360, -4288
1589659470843, 428932, -11200, 11952, -976
1589659470854, 428943, -192, 4800, 832
1589659470865, 428954, 1360, -2976, 4320
1589659470876, 428965, 1904, -9712, 8960
1589659470887, 428976, 6048, -11616, 14288
1589659470898, 428987, 7664, -12384, 18448
1589659470909, 428998, 8496, -10752, 18992
1589659470920, 429009, 8000, -7808, 17312
1589659470931, 429020, 5968, -848, 13824
1589659470942, 429031, 3360, 4448, 11296
1589659470953, 429042, -304, 8224, 8512
1589659470964, 429053, -1328, 9728, 4464
1589659470975, 429064, -6464, 8480, 2176
1589659470986, 429075, -5488, 6656, 2544
1589659470997, 429086, -5024, 4256, 3488
1589659471008, 429097, -1792, 1856, 4624
1589659471019, 429108, -880, -544, 6080
1589659471030, 429119, -736, -1184, 7344
1589659471041, 429130, -192, -1264, 8608
1589659471052, 429141, 176, -704, 9856
1589659471063, 429152, 480, -672, 10144
1589659471074, 429163, 880, -1392, 9776
1589659471085, 429174, 1200, -2656, 8912
1589659471096, 429185, 1424, -3072, 8528
1589659471107, 429196, 1152, -2368, 8448
1589659471118, 429207, 1008, -432, 8592
1589659471129, 429218, -336, 1024, 8592
1589659471140, 429229, -1024, 1808, 8288
1589659471151, 429240, -1152, 1680, 7984
1589659471162, 429251, -1328, 448, 5200
1589659471173, 429262, -784, -912, 7488
1589659471184, 429273, 48, -1744, 7312
1589659471195, 429284, -448, -1792, 7968
1589659471206, 429295, -112, -976, 8288
1589659471217, 429306, 496, -672, 8688
