Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589659148995, 107094, 4880, 480, 6560
1589659149006, 107105, 4800, 448, 6048
1589659149017, 107116, 4672, 352, 5824
1589659149028, 107127, 4432, 384, 5984
1589659149040, 107138, 4512, 368, 6432
1589659149051, 107149, 4560, 112, 6688
1589659149061, 107160, 4704, -64, 6912
1589659149072, 107171, 4928, -176, 7120
1589659149084, 107182, 4848, -288, 7104
1589659149094, 107193, 4880, -528, 6800
1589659149105, 107204, 4832, -448, 6928
1589659149117, 107215, 4736, -400, 6448
1589659149128, 107226, 4528, -352, 6192
1589659149138, 107237, 4400, -368, 6384
1589659149150, 107248, 4416, -192, 6176
1589659149160, 107259, 4480, -608, 6224
1589659149172, 107270, 4448, -512, 6192
1589659149183, 107281, 4592, -256, 6272
1589659149193, 107292, 4656, -208, 6144
1589659149204, 107303, 4656, -208, 5984
1589659149215, 107314, 4896, -384, 5888
1589659149226, 107325, 4816, -512, 5904
1589659149238, 107336, 4672, -464, 6032
1589659149249, 107347, 4384, -416, 6208
1589659149259, 107358, 4192, -384, 6288
1589659149271, 107369, 4112, -176, 6496
1589659149282, 107380, 4064, -32, 6816
1589659149292, 107391, 4144, 48, 6816
1589659149303, 107402, 4336, 192, 7024
1589659149314, 107413, 4480, 32, 7216
1589659149325, 107424, 4464, 0, 7440
1589659149336, 107435, 4736, -96, 7440
1589659149347, 107446, 4592, -272, 7344
1589659149358, 107457, 4416, -160, 7136
1589659149370, 107468, 4368, -176, 7008
1589659149380, 107479, 3760, -96, 7360
1589659149391, 107490, 3808, 32, 7296
1589659149403, 107501, 3488, -16, 7344
1589659149413, 107512, 3360, 0, 7456
1589659149425, 107523, 3104, 208, 7568
1589659149436, 107534, 2896, 256, 7872
1589659149446, 107545, 2944, 384, 8496
1589659149457, 107556, 2832, 304, 9008
1589659149469, 107567, 2816, -64, 9328
1589659149479, 107578, 2752, -448, 9376
1589659149490, 107589, 1824, -560, 9808
1589659149502, 107600, 1280, -720, 10544
1589659149513, 107611, 1056, -720, 10880
1589659149523, 107622, 912, -672, 11344
1589659149534, 107633, 880, -864, 11520
1589659149546, 107644, 848, -1008, 11648
1589659149557, 107655, 512, -1136, 12208
1589659149568, 107666, 400, -1264, 13104
1589659149579, 107677, -32, -1328, 13456
1589659149590, 107688, 64, -1648, 13200
1589659149600, 107699, 96, -1824, 12800
1589659149612, 107710, 896, -2048, 12560
1589659149623, 107721, 1312, -2384, 12320
1589659149634, 107732, 1616, -2768, 12624
1589659149645, 107743, 1504, -2944, 13456
1589659149656, 107754, 1360, -2960, 14512
1589659149667, 107765, 1168, -2800, 14784
1589659149678, 107776, 1152, -2656, 15040
1589659149689, 107787, 1424, -2304, 15264
1589659149700, 107798, 1552, -1968, 15216
1589659149711, 107809, 1888, -1968, 14976
1589659149722, 107820, 2096, -2160, 14368
1589659149733, 107831, 2832, -2144, 13904
1589659149744, 107842, 2816, -2080, 13504
1589659149755, 107853, 2896, -1680, 13392
1589659149766, 107864, 1984, -1248, 13600
1589659149777, 107875, 1680, -1184, 13968
1589659149788, 107886, 1632, -1104, 13792
1589659149799, 107897, 1744, -1248, 13536
1589659149810, 107908, 1920, -1344, 13152
1589659149821, 107919, 1648, -1072, 12784
1589659149832, 107930, 1184, -688, 12592
1589659149842, 107941, 1040, -80, 12400
1589659149853, 107952, 208, -80, 11952
1589659149865, 107963, 368, -384, 11136
1589659149875, 107974, 400, -928, 10848
1589659149887, 107985, 672, -1056, 10480
1589659149898, 107996, 560, -992, 9488
1589659149909, 108007, 480, -640, 9056
1589659149919, 108018, -96, -160, 8336
1589659149931, 108029, -480, 128, 7536
1589659149941, 108040, -1056, 1168, 7216
1589659149953, 108051, -1184, 1008, 6336
1589659149964, 108062, -304, 1088, 5232
1589659149974, 108073, -368, 1184, 4768
1589659149985, 108084, -816, 640, 4496
1589659149997, 108095, -1136, 544, 3632
1589659150008, 108106, -1424, 592, 3008
1589659150018, 108117, -1904, 944, 2752
1589659150030, 108128, -2000, 800, 2928
1589659150040, 108139, -2720, 576, 3280
1589659150052, 108150, -2464, -240, 2656
1589659150063, 108161, -1920, -768, 1904
1589659150074, 108172, -1744, -768, 1328
1589659150085, 108183, -1584, -864, 464
1589659150095, 108194, -1856, -528, -80
1589659150106, 108205, -1904, -96, -1088
1589659150118, 108216, -2000, 400, -2032
1589659150129, 108227, -2112, 1152, -2352
1589659150140, 108238, -1952, 1648, -3024
1589659150151, 108249, -1824, 2144, -3856
1589659150162, 108260, -1264, 2496, -4736
1589659150173, 108271, -1696, 2704, -5392
1589659150184, 108282, -1840, 3040, -5440
1589659150195, 108293, -1952, 3088, -6000
1589659150206, 108304, -2016, 3184, -6304
1589659150217, 108315, -2336, 3408, -6464
1589659150228, 108326, -2496, 3680, -6736
1589659150239, 108337, -2768, 3888, -6752
1589659150250, 108348, -2992, 3888, -6752
1589659150261, 108359, -3360, 3712, -6848
1589659150272, 108370, -3456, 3584, -7168
1589659150283, 108381, -3664, 3504, -7232
1589659150294, 108392, -3968, 3248, -7136
1589659150305, 108403, -4064, 2992, -6752
1589659150316, 108414, -4304, 2720, -6496
1589659150327, 108425, -4528, 2512, -6000
1589659150338, 108436, -4512, 2384, -5808
1589659150349, 108447, -5008, 2352, -5616
1589659150360, 108458, -5328, 2320, -5360
1589659150371, 108469, -5520, 2400, -5296
1589659150382, 108480, -5664, 2512, -5552
1589659150393, 108491, -5808, 2416, -5472
1589659150404, 108502, -5792, 2320, -5264
1589659150415, 108513, -5760, 2224, -5184
1589659150426, 108524, -5696, 2368, -5072
1589659150437, 108535, -5536, 2592, -5008
1589659150448, 108546, -5344, 2832, -5232
1589659150459, 108557, -5248, 2960, -5552
1589659150470, 108568, -4800, 3152, -5824
1589659150481, 108579, -4448, 3232, -6160
1589659150492, 108590, -4176, 3536, -6512
1589659150503, 108601, -4000, 3984, -6848
1589659150514, 108612, -3792, 4464, -7152
1589659150525, 108623, -3664, 4640, -7008
1589659150536, 108634, -3536, 4832, -6896
1589659150547, 108645, -3456, 4896, -6624
1589659150558, 108656, -3344, 4816, -6416
1589659150569, 108667, -3296, 4624, -6384
1589659150580, 108678, -3376, 4736, -6048
1589659150591, 108689, -3008, 4720, -5568
1589659150602, 108700, -2832, 4448, -5376
1589659150613, 108711, -2848, 4240, -4752
1589659150624, 108722, -2608, 4080, -4352
1589659150635, 108733, -2560, 3936, -3728
1589659150646, 108744, -2576, 3712, -3376
1589659150657, 108755, -2368, 3504, -2832
