Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589667764030, 114609, 1152, -416, 7856
1589667764046, 114620, 1248, -576, 7904
1589667764055, 114631, 1200, -624, 7920
1589667764063, 114642, 1184, -656, 7824
1589667764075, 114653, 1168, -672, 7792
1589667764087, 114664, 1184, -736, 7904
1589667764099, 114675, 1088, -736, 7936
1589667764099, 114686, 1104, -768, 7952
1589667764114, 114697, 1152, -720, 7920
1589667764130, 114708, 1184, -720, 7760
1589667764130, 114719, 1152, -688, 7920
1589667764151, 114730, 1248, -688, 7936
1589667764163, 114741, 1184, -736, 7984
1589667764175, 114752, 1312, -704, 7952
1589667764183, 114763, 1216, -672, 7920
1589667764195, 114774, 1296, -560, 7920
1589667764207, 114785, 1264, -368, 7984
1589667764219, 114796, 1264, -368, 7936
1589667764227, 114807, 1296, -368, 8016
1589667764239, 114818, 1296, -464, 8048
1589667764251, 114829, 1360, -448, 7984
1589667764263, 114840, 1328, -400, 8000
1589667764275, 114851, 1296, -416, 7888
1589667764283, 114862, 1408, -384, 7856
1589667764295, 114873, 1264, -432, 7824
1589667764307, 114884, 1312, -432, 7888
1589667764319, 114895, 1216, -528, 7904
1589667764327, 114906, 1296, -416, 7776
1589667764339, 114917, 1152, -368, 7824
1589667764351, 114928, 1232, -304, 7808
1589667764363, 114939, 1200, -400, 7808
1589667764371, 114950, 1120, -400, 7584
1589667764387, 114961, 1008, -320, 7584
1589667764395, 114972, 912, -384, 7936
1589667764403, 114983, 720, -464, 7872
1589667764419, 114994, 512, -736, 8080
1589667764427, 115005, 240, -1104, 7600
1589667764443, 115016, -464, -1392, 6480
1589667764451, 115027, -880, -2864, 6816
1589667764463, 115038, -960, -6032, 9168
1589667764471, 115049, -2320, -9392, 11136
1589667764483, 115060, -3104, -12880, 12144
1589667764491, 115071, -3344, -14256, 11872
1589667764491, 115082, -3856, -13792, 11168
1589667764507, 115093, -4624, -12560, 10800
1589667764523, 115104, -5008, -12192, 11744
1589667764538, 115115, -5472, -11760, 13344
1589667764547, 115126, -5568, -11856, 14096
1589667764559, 115137, -6752, -12512, 14560
1589667764567, 115148, -7264, -14480, 15536
1589667764579, 115159, -8048, -15504, 15088
1589667764592, 115170, -8992, -18336, 15008
1589667764592, 115181, -9328, -20928, 14704
1589667764607, 115192, -12160, -19888, 13904
1589667764623, 115203, -13984, -18752, 13872
1589667764623, 115214, -14432, -17968, 14448
1589667764639, 115225, -18000, -16384, 14160
1589667764659, 115236, -21664, -12800, 14000
1589667764672, 115247, -24976, -7472, 13232
1589667764680, 115258, -27168, 112, 12432
1589667764692, 115269, -27168, 9840, 13584
1589667764703, 115280, -26144, 15744, 15616
1589667764719, 115291, -22064, 21424, 14160
1589667764719, 115302, -19072, 22608, 11552
1589667764735, 115313, -16784, 22160, 8400
1589667764735, 115324, -13760, 21648, 5664
1589667764756, 115335, -11440, 21568, 4064
1589667764768, 115346, -9120, 21552, 4032
1589667764780, 115357, -8640, 20288, 4064
1589667764788, 115368, -5328, 19120, 3792
1589667764796, 115379, -3728, 18272, 3744
1589667764812, 115390, -2768, 16768, 4784
1589667764812, 115401, -1552, 14032, 5872
1589667764828, 115412, -1248, 11232, 5856
1589667764845, 115423, 752, 9696, 4896
1589667764857, 115434, 1360, 7936, 4016
1589667764869, 115445, 1552, 6160, 3904
1589667764877, 115456, 2448, 4480, 4064
1589667764889, 115467, 2896, 2336, 4224
1589667764897, 115478, 3104, 1072, 4720
1589667764897, 115489, 3568, 608, 5200
1589667764913, 115500, 3712, 704, 5600
1589667764928, 115511, 3920, 784, 5616
1589667764944, 115522, 3968, 32, 6176
1589667764953, 115533, 4080, -432, 6080
1589667764965, 115544, 4208, -624, 6176
1589667764977, 115555, 4560, -800, 6128
1589667764986, 115566, 4416, -432, 6496
1589667764990, 115577, 4432, -432, 6704
1589667765005, 115588, 4432, -560, 6816
1589667765021, 115599, 4304, -544, 7344
1589667765021, 115610, 4112, -768, 7840
1589667765036, 115621, 4208, -800, 8192
1589667765053, 115632, 4112, -688, 8144
1589667765065, 115643, 4224, -672, 7824
1589667765077, 115654, 3936, -608, 7552
1589667765085, 115665, 3440, 432, 6752
1589667765098, 115676, 3408, 2480, 6656
1589667765102, 115687, 3744, 3216, 6960
