Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589668278598, 629178, 4336, 656, 7088
1589668278606, 629189, 4448, 384, 6960
1589668278611, 629200, 4112, -96, 6928
1589668278626, 629211, 4368, 48, 7120
1589668278642, 629222, 4352, -112, 6976
1589668278642, 629233, 4176, 16, 6896
1589668278663, 629244, 4128, 96, 6496
1589668278675, 629255, 4160, 144, 6336
1589668278687, 629266, 4160, 96, 6144
1589668278699, 629277, 4256, 32, 5696
1589668278707, 629288, 4160, 128, 5376
1589668278707, 629299, 4224, 128, 4896
1589668278723, 629310, 4240, 224, 5024
1589668278738, 629321, 4128, 80, 5520
1589668278738, 629332, 4224, -160, 6256
1589668278754, 629343, 4160, -496, 6224
1589668278774, 629354, 4176, -672, 5648
1589668278790, 629365, 4256, -928, 4752
1589668278795, 629376, 4144, -864, 4288
1589668278807, 629387, 3872, -608, 4208
1589668278819, 629398, 3456, -160, 4128
1589668278819, 629409, 3040, 192, 4064
1589668278834, 629420, 2336, 784, 4240
1589668278850, 629431, 1952, 528, 4464
1589668278850, 629442, 1776, 224, 5456
1589668278871, 629453, 1648, 160, 6304
1589668278883, 629464, 1216, 144, 6464
1589668278895, 629475, 976, 256, 6896
1589668278903, 629486, 720, 656, 7408
1589668278915, 629497, 176, 1296, 7648
1589668278919, 629508, 176, 1680, 6896
1589668278935, 629519, 0, 928, 6464
1589668278950, 629530, -256, 592, 6800
1589668278962, 629541, -256, 320, 7120
1589668278970, 629552, -576, 304, 8112
1589668278982, 629563, -880, 672, 8384
1589668278994, 629574, -864, 352, 8080
1589668279002, 629585, -1152, 192, 8032
1589668279010, 629596, -1136, 144, 8000
1589668279026, 629607, -1408, 96, 8304
1589668279026, 629618, -1600, 16, 7968
1589668279041, 629629, -1616, 592, 7776
1589668279058, 629640, -1296, -1056, 8432
1589668279070, 629651, -1712, -688, 8512
1589668279082, 629662, -1920, -96, 7920
1589668279090, 629673, -2208, 672, 7728
1589668279102, 629684, -2272, 672, 7328
1589668279106, 629695, -2928, 1104, 7440
1589668279122, 629706, -2608, 336, 8096
1589668279138, 629717, -2464, -640, 7600
1589668279138, 629728, -2336, -1184, 7408
1589668279156, 629739, -2880, -720, 8048
1589668279168, 629750, -3552, 576, 8160
1589668279184, 629761, -4112, 1504, 8384
1589668279192, 629772, -4144, 1744, 8128
1589668279200, 629783, -4064, 1024, 8096
1589668279212, 629794, -4736, 672, 6880
1589668279228, 629805, -3536, 1424, 7856
