Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589667903538, 254122, 6064, -3504, -3984
1589667903555, 254133, 6048, -3600, -4320
1589667903567, 254144, 5984, -3920, -4416
1589667903575, 254155, 5952, -4080, -4240
1589667903599, 254166, 5968, -4096, -4048
1589667903599, 254177, 5952, -3952, -4096
1589667903611, 254188, 5872, -3840, -4144
1589667903619, 254199, 5776, -3888, -4128
1589667903635, 254210, 5792, -3728, -4144
1589667903635, 254221, 5776, -3632, -3888
1589667903656, 254232, 5856, -3328, -3760
1589667903664, 254243, 5552, -3232, -3968
1589667903676, 254254, 5536, -3168, -3952
1589667903684, 254265, 5424, -3152, -4048
1589667903696, 254276, 5408, -3232, -4016
1589667903696, 254287, 5552, -3616, -3936
1589667903712, 254298, 5488, -3920, -3760
1589667903728, 254309, 5472, -4032, -3664
1589667903743, 254320, 5488, -4096, -3776
1589667903752, 254331, 5344, -4128, -3680
1589667903764, 254342, 5360, -4112, -3776
1589667903772, 254353, 5424, -4112, -3600
1589667903784, 254364, 5488, -3984, -3760
1589667903797, 254375, 5408, -3776, -3856
1589667903808, 254386, 5440, -3712, -3808
1589667903812, 254397, 5520, -3840, -3856
1589667903828, 254408, 5472, -3824, -3904
1589667903828, 254419, 5440, -3760, -4048
1589667903852, 254430, 5472, -3744, -4160
1589667903864, 254441, 5424, -3840, -4208
1589667903872, 254452, 5440, -3952, -4480
1589667903884, 254463, 5408, -3936, -4816
1589667903900, 254474, 5408, -3920, -5344
1589667903908, 254485, 5344, -4016, -5856
1589667903920, 254496, 5328, -4192, -6192
1589667903932, 254507, 5232, -4240, -6656
1589667903936, 254518, 5040, -4416, -7088
1589667903936, 254529, 4992, -4352, -7488
1589667903961, 254540, 4848, -4304, -7728
1589667903973, 254551, 4784, -4176, -7808
1589667903985, 254562, 4464, -4016, -8160
1589667903993, 254573, 4400, -3792, -8384
1589667904001, 254584, 4160, -3712, -8608
1589667904017, 254595, 4048, -3440, -8800
1589667904017, 254606, 4096, -3136, -9280
1589667904032, 254617, 3728, -2624, -9728
1589667904054, 254628, 3616, -2096, -10256
1589667904062, 254639, 3584, -2128, -10048
1589667904070, 254650, 3472, -2144, -10112
1589667904082, 254661, 3328, -1856, -9952
1589667904095, 254672, 3216, -1552, -9488
1589667904095, 254683, 3168, -1120, -8976
1589667904110, 254694, 3120, -768, -8368
1589667904126, 254705, 2848, -736, -8000
1589667904126, 254716, 2752, -848, -7872
1589667904147, 254727, 2752, -976, -7328
1589667904159, 254738, 2672, -1120, -6640
1589667904171, 254749, 2752, -1424, -6176
1589667904183, 254760, 2752, -1488, -6208
1589667904195, 254771, 2688, -1408, -6240
1589667904203, 254782, 2672, -1136, -6240
1589667904215, 254793, 2448, -1136, -5824
1589667904227, 254804, 2224, -896, -4768
1589667904235, 254815, 2016, -560, -4432
1589667904247, 254826, 1952, -272, -4192
1589667904259, 254837, 1728, -496, -4240
1589667904271, 254848, 1552, -864, -3440
1589667904283, 254859, 1456, -1248, -2928
1589667904291, 254870, 1472, -1136, -2208
1589667904303, 254881, 816, -992, -1472
1589667904315, 254892, 432, -896, -1200
1589667904323, 254903, 304, -1120, -624
1589667904335, 254914, 320, -1232, -112
1589667904347, 254925, 368, -1360, 1312
1589667904359, 254936, 384, -1072, 2576
1589667904371, 254947, 448, -1168, 3792
1589667904379, 254958, 368, -1952, 4752
1589667904391, 254969, 144, -2272, 4672
1589667904403, 254980, -192, -2144, 4544
1589667904411, 254991, -624, -2032, 5472
1589667904423, 255002, -832, -1856, 6416
1589667904435, 255013, -736, -2176, 7040
1589667904443, 255024, -288, -2064, 8176
1589667904459, 255035, -512, -2416, 9696
1589667904467, 255046, -768, -3440, 10080
1589667904479, 255057, -1392, -4032, 8976
1589667904487, 255068, -1504, -4560, 8064
1589667904499, 255079, -1808, -4512, 9232
1589667904499, 255090, -1840, -4304, 10368
1589667904515, 255101, -1904, -5104, 11264
1589667904531, 255112, -2496, -5856, 11008
1589667904531, 255123, -3072, -7168, 10736
1589667904555, 255134, -3216, -8416, 10496
1589667904567, 255145, -3072, -9920, 10544
1589667904579, 255156, -2960, -11296, 10720
1589667904587, 255167, -3008, -11552, 10624
1589667904595, 255178, -2752, -12448, 10032
1589667904611, 255189, -2736, -13840, 8480
1589667904611, 255200, -2592, -14672, 8384
1589667904626, 255211, -2672, -16288, 8624
1589667904642, 255222, -2464, -17872, 8128
1589667904642, 255233, -2112, -19936, 6000
1589667904667, 255244, -1984, -22064, 2704
1589667904675, 255255, -1088, -22864, 1856
1589667904687, 255266, -1040, -23264, 2752
1589667904700, 255277, -1120, -23440, 3296
1589667904708, 255288, -1728, -23808, 3552
1589667904723, 255299, -1984, -25056, 656
1589667904739, 255310, -2048, -25936, -2080
1589667904739, 255321, -2192, -26144, -3312
1589667904755, 255332, -2160, -25712, -4080
1589667904764, 255343, -2784, -24608, -3552
1589667904776, 255354, -3360, -23088, -3856
1589667904788, 255365, -3968, -22144, -6688
1589667904797, 255376, -3888, -21360, -9248
1589667904797, 255387, -3888, -20032, -9616
1589667904813, 255398, -4000, -18592, -9248
1589667904828, 255409, -4128, -16800, -8032
1589667904828, 255420, -4160, -14528, -6992
1589667904853, 255431, -4752, -13024, -7424
1589667904865, 255442, -5008, -11600, -7648
1589667904877, 255453, -5024, -10416, -7808
1589667904889, 255464, -4928, -9488, -7104
1589667904897, 255475, -4608, -9152, -6448
1589667904897, 255486, -4416, -8848, -6400
1589667904913, 255497, -4416, -8368, -6672
1589667904928, 255508, -4464, -7504, -6656
1589667904944, 255519, -4608, -7264, -6784
1589667904944, 255530, -4448, -7104, -7024
1589667904964, 255541, -4464, -6464, -7152
1589667904972, 255552, -4672, -5456, -7056
1589667904984, 255563, -4560, -3664, -7008
1589667904996, 255574, -4400, -2224, -6992
1589667905008, 255585, -4192, -1536, -6320
1589667905016, 255596, -4128, -1440, -6016
1589667905024, 255607, -4032, -1248, -5440
1589667905040, 255618, -3952, -864, -5440
1589667905040, 255629, -3904, -512, -5936
1589667905064, 255640, -3952, 496, -5696
1589667905072, 255651, -3952, 1888, -4576
1589667905084, 255662, -3408, 2784, -3728
1589667905096, 255673, -2896, 3856, -2400
1589667905104, 255684, -2128, 4688, -1344
1589667905104, 255695, -1632, 5136, -528
1589667905120, 255706, -560, 5232, 736
1589667905136, 255717, 272, 5040, 2032
1589667905136, 255728, 1216, 5056, 3216
1589667905160, 255739, 1408, 4624, 4368
1589667905176, 255750, 3600, 4256, 5072
1589667905184, 255761, 4608, 2912, 6176
1589667905196, 255772, 5440, 736, 7936
1589667905204, 255783, 6512, -1744, 9280
1589667905216, 255794, 6768, -3664, 10160
1589667905228, 255805, 8000, -4448, 10672
1589667905236, 255816, 8432, -5008, 11952
1589667905248, 255827, 8560, -5952, 11984
1589667905264, 255838, 9008, -7088, 10912
1589667905272, 255849, 9296, -8144, 9056
1589667905284, 255860, 9456, -8576, 8640
1589667905292, 255871, 9328, -8432, 8432
1589667905304, 255882, 9184, -7584, 7024
1589667905316, 255893, 8688, -7328, 5760
1589667905324, 255904, 8144, -6800, 3680
1589667905336, 255915, 7984, -6400, 2928
1589667905348, 255926, 7664, -6256, 2752
1589667905360, 255937, 7088, -6048, 1840
1589667905372, 255948, 6896, -6160, 864
1589667905380, 255959, 6160, -5488, 144
