Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589667978331, 328911, 6192, -2432, 3968
1589667978331, 328922, 6128, -2384, 4000
1589667978362, 328933, 6176, -2288, 4032
1589667978363, 328944, 6192, -2240, 3888
1589667978375, 328955, 6208, -2192, 3968
1589667978387, 328966, 6096, -2208, 3968
1589667978399, 328977, 6112, -2128, 4064
1589667978411, 328988, 6032, -2128, 4192
1589667978423, 328999, 6096, -2048, 4352
1589667978424, 329010, 6096, -2048, 4256
1589667978440, 329021, 6080, -2112, 4288
1589667978455, 329032, 6064, -2416, 4272
1589667978465, 329043, 6080, -2592, 4192
1589667978477, 329054, 6128, -2560, 4256
1589667978485, 329065, 6112, -2496, 4176
1589667978497, 329076, 6144, -2448, 4064
1589667978509, 329087, 6112, -2560, 3968
1589667978509, 329098, 6160, -2624, 4000
1589667978525, 329109, 6192, -2624, 3856
1589667978540, 329120, 6160, -2560, 4000
1589667978540, 329131, 6176, -2560, 3904
1589667978565, 329142, 6320, -2672, 3696
1589667978577, 329153, 6224, -2656, 4000
1589667978585, 329164, 6288, -2688, 3888
1589667978597, 329175, 6288, -2624, 4080
1589667978609, 329186, 6192, -2576, 4112
1589667978625, 329197, 6128, -2576, 4160
1589667978625, 329208, 6176, -2576, 4304
1589667978642, 329219, 6192, -2592, 4240
1589667978654, 329230, 6256, -2624, 4240
1589667978662, 329241, 6256, -2704, 4288
1589667978674, 329252, 6240, -2688, 4112
1589667978686, 329263, 6240, -2608, 4096
1589667978694, 329274, 6176, -2608, 4080
1589667978710, 329285, 6160, -2432, 4128
1589667978714, 329296, 6176, -2368, 4048
1589667978729, 329307, 6224, -2416, 3872
1589667978729, 329318, 6320, -2464, 3824
1589667978750, 329329, 6208, -2608, 3792
1589667978762, 329340, 6240, -2672, 3680
1589667978774, 329351, 6256, -2752, 3600
1589667978779, 329362, 6160, -2848, 3664
1589667978794, 329373, 6208, -2960, 3728
1589667978794, 329384, 6192, -2992, 3584
1589667978810, 329395, 6176, -2848, 3664
1589667978826, 329406, 6208, -2736, 3728
1589667978826, 329417, 6160, -2624, 3824
1589667978841, 329428, 6064, -2592, 4112
1589667978862, 329439, 6096, -2672, 4144
1589667978874, 329450, 6032, -2800, 4256
1589667978882, 329461, 6160, -2880, 4256
1589667978894, 329472, 6112, -2848, 4336
1589667978906, 329483, 6176, -2800, 4432
1589667978906, 329494, 6240, -2704, 4304
1589667978923, 329505, 6256, -2624, 4320
1589667978938, 329516, 6240, -2576, 4480
1589667978938, 329527, 6192, -2560, 4448
1589667978958, 329538, 6288, -2512, 4480
1589667978971, 329549, 6240, -2544, 4416
1589667978982, 329560, 6352, -2544, 4400
1589667978991, 329571, 6416, -2736, 4480
1589667978991, 329582, 6576, -2928, 4320
1589667979006, 329593, 6608, -2928, 4336
1589667979023, 329604, 6608, -2992, 4432
1589667979038, 329615, 6704, -2848, 4528
1589667979054, 329626, 6640, -2832, 4640
1589667979058, 329637, 6640, -2832, 4496
1589667979070, 329648, 6832, -2752, 4752
1589667979078, 329659, 6928, -2624, 4816
1589667979090, 329670, 7072, -2448, 5072
1589667979102, 329681, 7216, -2144, 5312
1589667979107, 329692, 7232, -1728, 5584
1589667979122, 329703, 7536, -1712, 5968
1589667979122, 329714, 7504, -1568, 6224
1589667979147, 329725, 7392, -1280, 6592
1589667979155, 329736, 7392, -1008, 6576
1589667979171, 329747, 7104, -656, 6288
1589667979179, 329758, 7040, -352, 5744
1589667979191, 329769, 6976, -112, 5376
1589667979199, 329780, 7024, 64, 4832
1589667979211, 329791, 6800, 64, 4560
1589667979223, 329802, 6496, 192, 4352
1589667979235, 329813, 6352, 256, 4704
1589667979247, 329824, 5744, 64, 5344
1589667979259, 329835, 5504, 32, 5760
1589667979267, 329846, 5216, 192, 5696
1589667979279, 329857, 4976, 688, 5616
1589667979291, 329868, 4928, 1152, 5280
1589667979299, 329879, 4448, 1680, 4928
1589667979299, 329890, 4176, 2400, 4688
1589667979315, 329901, 4032, 2736, 4320
1589667979330, 329912, 3664, 2848, 4080
1589667979330, 329923, 3456, 2672, 4000
1589667979346, 329934, 3264, 2208, 3904
1589667979367, 329945, 3136, 1856, 3664
1589667979379, 329956, 3040, 1280, 3296
1589667979387, 329967, 2896, 928, 2832
1589667979399, 329978, 2752, 784, 2064
1589667979411, 329989, 2576, 512, 1664
1589667979411, 330000, 2432, 96, 1328
1589667979427, 330011, 2368, -208, 1168
1589667979442, 330022, 1552, -768, 1264
1589667979442, 330033, 1200, -1568, 1584
1589667979467, 330044, 1040, -2224, 1376
1589667979475, 330055, 768, -2800, 1008
1589667979491, 330066, 848, -3456, 816
1589667979499, 330077, 768, -3616, 912
1589667979507, 330088, 688, -3888, 896
1589667979507, 330099, 704, -3840, 480
1589667979523, 330110, 480, -4080, -112
1589667979539, 330121, 528, -5536, -1344
1589667979554, 330132, 576, -6784, -1776
1589667979563, 330143, 544, -7680, -1488
1589667979575, 330154, 496, -7904, -240
1589667979587, 330165, 464, -8048, -112
1589667979599, 330176, 656, -9040, -1008
1589667979603, 330187, 624, -11008, -1920
1589667979619, 330198, 608, -11904, -1696
1589667979619, 330209, 528, -11936, -912
1589667979634, 330220, 448, -11360, -704
1589667979652, 330231, 464, -11088, -336
1589667979664, 330242, 496, -11520, 48
1589667979672, 330253, 320, -11808, 336
1589667979684, 330264, 64, -11968, 544
1589667979700, 330275, -64, -12256, 896
1589667979700, 330286, -752, -12864, 1728
1589667979716, 330297, -848, -13872, 1792
1589667979716, 330308, -848, -14480, 1728
1589667979732, 330319, -1008, -14912, 1920
1589667979748, 330330, -1024, -14912, 2304
